Programme,Sub-Programme,"Approved Estimates
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"0701000 P1 General Admin-
istration Planning And Sup-
port Services","0701010 SP.1.1 General
Administration Planning
and Support Services","130,276,670","3,861,815","126,414,855",2.96,250,0
"Total 5311000000 County
Public Service Board",,"130,276,670","3,861,815","126,414,855",2.96,250,0
"0718005310 General Admin-
istrative Services","0718015310 Sp1 General
Administration & Support
Services","677,648,844","62,158,522","615,490,322",9.17,250,0
,"0718025310 Sp2 Sub
County Administration","1,795,986,053","254,556,118","1,541,429,935",14.17,250,0
,"0718075310 Sp7 County
Executive","216,659,348","4,951,112","211,708,236",2.29,250,0
,0718095310 Sp9 Audit,"119,979,556","7,714,064","112,265,492",6.43,250,0
"0724005310 P 24 Security
And Safety Management",0724055310 Inspectorate,"1,279,810,756","151,854,610","1,127,956,146",11.87,250,0
,"0724015310 sp 24.1 inves-
tigative Services","89,112,541","3,612,995","85,499,546",4.05,250,0
"P; 0726005310:Disaster Man-
agement Coordination","072601510: Fire & Disas-
ter Management","573,846,845","92,491,810","481,355,035",16.12,250,0
"0725005310 P 25 Manage-
ment Of Legal Affairs","0725015310 sp 25.1 legal
services","638,564,439","11,911,529","626,652,911",1.87,250,0
"Total 5312000000 Office Of
Governor & Deputy Gover-
nor",,"5,391,608,383","589,250,760","4,802,357,623",10.93,250,0
"0207000 P1: General Admin-
istration Planning And Sup-
port Services","0207010 SP 1: General
Administration, Planning
And Support Services","162,049,683","10,935,140","151,114,543",6.75,250,0
"0208000 P2: Information And
Communication Services","0208010 SP 2.1: News And
Information Services","86,423,012",-,"86,423,012",-,250,0
,"0208030 SP 2.3: ICT and
Media Regulatory Ser-
vices","14,231,192",-,"14,231,192",-,250,0
,"0208040 SP 2.4 E-Govern-
ment Services","344,129,700",-,"344,129,700",-,250,0
"0210005310 ICT Infrastruc-
ture Development","0210010 SP1: ICT Infra-
structure Connectivity","96,447,600",-,"96,447,600",-,250,0
,"0210035310 sp 3:Informa-
tion Security","23,505,500",-,"23,505,500",-,250,0
"Total 5313000000 ICT,
E-Govt & Public Communi-
cations",,"726,786,687","10,935,140","715,851,547",1.50,250,0
"0701005310 Public Financial
Management","0701015310 Assets Man-
agement Services","285,650,000","2,303,724","283,346,276",0.81,250,0
,"0701065310 sp1.6 Ac-
counting Services","406,819,081","96,094,030","310,725,051",23.62,250,0
,"0701075310 sp1.7 Budget
Formulation Coordina-
tion and mgt","174,533,760","11,191,286","163,342,474",6.41,250,0
,"0701085310 sp1.8 Re-
source Mobilisation","597,800,000","320,749,400","277,050,600",53.65,250,0
,"070115310 Debt Manage-
ment Services","111,850,000","1,995,248","109,854,752",1.78,250,0
,"0718085310 Sp8 Supply
Chain Management","126,279,326","15,295,123","110,984,203",12.11,250,0
"0718015310 Sp1 General Ad-
ministration & Support Ser-
vices","0718015310 Sp1 General
Administration & Support
Services","387,923,892","30,869,245","357,054,647",7.96,250,0
"0719000 P3: Economic And
Financial Policy Formulation
And Management","0719010 SP 3.1 Fiscal Pol-
icy Formulation, Develop-
ment and Management","117,390,993","6,989,500","110,401,493",5.95,250,0
"Total 5314000000 Finance &
Economic Planning",,"2,208,247,052","485,487,556","1,722,759,496",21.99,251,0
"0404005310 General Admin-
istration, Planning And Sup-
port Services","0404015310 Sp4.1 Ad-
ministration/Human Re-
source for Health","69,518,950","13,565,300","55,953,650",19.51,251,0
Total 5315000000 Health,,"69,518,950","13,565,300","55,953,650",19.51,251,0
"0106000 P 6 General Admin-
istration Planning And Sup-
port Services","0106010 SP.6.1 Adminis-
tration, Planning & Sup-
port Services","51,680,314","755,108","50,925,206",1.46,251,0
"Total 5316000000 Urban
Planning And Lands",,"51,680,314","755,108","50,925,206",1.46,251,0
"0207000 P1: General Admin-
istration Planning And Sup-
port Services","0207010 SP 1: General
Administration, Planning
And Support Services","51,398,929","353,149","51,045,780",0.69,251,0
"Total 5317000000 Public
Works, Transport & Infra-
structure",,"51,398,929","353,149","51,045,780",0.69,251,0
"0508005310 General Admin-
istration, Planning And Sup-
port Services","0508025310 sp 8.2 Gener-
al Administration & Sup-
port Services","1,460,926,346","98,069,312","1,362,857,034",6.71,251,0
"0509005310 P9 Education
Services","0509015310 sp 9.1 Quality
Assurance and Co-curric-
ulum","1,597,000",-,"1,597,000",-,251,0
,"0509025310 sp 9.2 Early
Childhood Development
Centres","309,270,000",-,"309,270,000",-,251,0
,"0509035310 sp 9.3 Techni-
cal and Vocational Train-
ing","70,103,300",-,"70,103,300",-,251,0
"0902005310 2.1 Social Ser-
vices","0902015310 General Ad-
ministration & Support
Services","178,856,577","23,024,464","155,832,113",12.87,251,0
,"0902025310 Sp.2.2 Gen-
der and Community Em-
powerment","91,535,700",-,"91,535,700",-,251,0
,"0902045310 Sp2.4 Devel-
opment and promotion of
sports","85,226,600",-,"85,226,600",-,251,0
,"0902055310 Sp2.5 Youth
Empowerment and Pro-
motion","169,072,000",-,"169,072,000",-,251,0
,"0902065310 Sp 2.6 Social
welfare and care for the
Aged","9,604,100",-,"9,604,100",-,251,0
,"0902075310 Sp 2.7 Pro-
motion of Library and In-
formation Services","2,088,100",-,"2,088,100",-,251,0
,"0902085310 Sp.2 8 Res-
cue and Rehabilitation of
Children Services","10,035,200",-,"10,035,200",-,251,0
"Total 5318000000 Education,
Youth Affairs, Sports, Culture
& Social Services",,"2,388,314,923","121,093,776","2,267,221,147",5.07,251,0
"0301000 P.1 General Admin-
istration Planning And Sup-
port Services","0301010 SP1 General Ad-
ministration Planning and
Support Services","304,527,155","36,488,445","268,038,709",11.98,251,0
"0310005310 P.10 Co-Opera-
tive Development And Audit
Services","0310015310 sp 10.1 Co-
operative Development
Services","28,457,320",-,"28,457,320",-,251,0
,"0310025310 sp 10.2 Coop-
erative Audit Services","6,950,400",-,"6,950,400",-,251,0
"0311005310 P.11 Tourism
Promotion And Marketing","0311015310 sp 11.1 Tour-
ism Development","88,728,688",-,"88,728,688",-,251,0
"0312005310 P.12 Trade De-
velopment and Market Ser-
vices","0312015310 sp 12.1 Trade
Development","332,500,819",-,"332,500,819",-,252,0
,"0312025310 sp 12.2 Mar-
ket Services","172,256,999",-,"172,256,999",-,252,0
,"0313025310 sp 13.2
Weights & Measures Ser-
vices","61,179,544",-,"61,179,544",-,252,0
,"0313035310 sp 13.3 Trade
Licensing Services","40,648,077",-,"40,648,077",-,252,0
,"0313045310 sp 13.4 Bet-
ting & Gaming Services","26,742,595",-,"26,742,595",-,252,0
"Total 5319000000 Trade,
Commerce, Tourism & Co-
operatives",,"1,061,991,597","36,488,445","1,025,503,151",3.44,252,0
"0701000 P1 General Admin-
istration Planning and Sup-
port Services","0701010 SP.1.1 General
Administration Planning
and Support Services","785,763,596","27,154,714","758,608,882",3.46,252,0
"0710000 P 5: Public Service
Transformation","0710010 S.P.5.1 Human
Resource Management","794,732,948","3,185,000","791,547,948",0.40,252,0
,"0710020 S.P.5.2 Human
Resource Development","316,446,607","1,052,044","315,394,563",0.33,252,0
"0723005310 P 23 Perfor-
mance Management and
Public Service Delivery","0723015310 sp 23.1 Per-
formance Contracting
management","14,069,964","320,000","13,749,964",2.27,252,0
,"0723025310 sp 23.2 Gov-
ernance Monitoring and
Evaluation","12,325,361",-,"12,325,361",-,252,0
,"0723035310 sp 23.3 Qual-
ity Management Systems
and ISO certification","4,823,028",-,"4,823,028",-,252,0
"Total 5320000000 Public Ser-
vice Management",,"1,928,161,504","31,711,758","1,896,449,746",1.64,252,0
"0106000 P 6 General Admin-
istration Planning and Sup-
port Services","0106010 SP.6.1 Adminis-
tration, Planning & Sup-
port Services","232,436,527","27,776,589","204,659,938",11.95,252,0
"P;0119005310: Urban Agri-
culture Promotion & Regu-
lation","019015310: Crop Devel-
opment and Management","34,980,000",-,"34,980,000",-,252,0
,"0119025310: Fisheries De-
velopment and manage-
ment","22,880,968",-,"22,880,968",-,252,0
,"0119035310: Livestock
Resources management
and development","39,311,180",-,"39,311,180",-,252,0
"0116005310 P.10: Animal
Health, Safety, and Quality
Assurance","0116015310 sp 10.1 An-
imal Research, Diseases,
Pest Control & Quality
Assurance","38,310,000",-,"38,310,000",-,252,0
"0117005310 P.11: Afforesta-
tion","0117015310 sp 11.1 For-
estry Services","17,202,575",-,"17,202,575",-,252,0
"0118015310 Food Systems
and Surveillance","0118015310 sp18:1 Food
Systems and Surveillance
Services","31,848,037",-,"31,848,037",-,252,0
"Total 5321000000 Agricul-
ture, Livestock Development,
Fisheries & Forestry",,"416,969,287","27,776,589","389,192,698",6.66,252,0
"1001005310 P1 General Ad-
ministration & Support Ser-
vices","1001015310 Sp1 General
Administration & Support
Services","53,606,355","729,133","52,877,222",1.36,252,0
"Total 5323000000 Environ-
ment, Water, Energy & Natu-
ral Resources",,"53,606,355","729,133","52,877,222",1.36,252,0
