Programme,Sub- Programme/Description,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
101003260,Administration Planning and Support Services,"84,968,590",-,"84,968,590",-,311,1
,Administration Planning and Support Services,"84,968,590",-,"84,968,590",-,311,1
102003260,Development programme,"374,943,825",-,"374,943,825",-,311,1
,Development programme,"374,943,825",-,"374,943,825",-,311,1
104003260,Agricultural Development Programme,"515,608,014",-,"515,608,014",-,311,1
,Agricultural Development Programme,"515,608,014",-,"515,608,014",-,311,1
105003260,Livestock and Fisheries Development,"26,114,201",-,"26,114,201",-,311,1
,Livestock and Fisheries Development,"26,114,201",-,"26,114,201",-,311,1
301003260,"General Administration and support services
programme","25,098,799",-,"25,098,799",-,311,1
,"General Administration and support services
programme","25,098,799",-,"25,098,799",-,311,1
302003260,Trade Development programme.,"38,790,468",-,"38,790,468",-,311,1
,Trade Development programme.,"38,790,468",-,"38,790,468",-,311,1
401003260,Administration and Support Services,"319,424,626","44,647,542","274,777,084",14.0,311,1
,Administration and Support Services,"319,424,626","44,647,542","274,777,084",14.0,311,1
402003260,Health Development Programme,"295,368,189",-,"295,368,189",-,311,1
,Health Development Programme,"295,368,189",-,"295,368,189",-,311,1
