Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Agriculture and Livestock,,,,,,332,1
Crop Development,"Crop Diversifica-
tion","531,017,155",-,"604,532,234",-,332,1
Crop Development,"Post-Harvest Man-
agement and Value
Addition","73,515,079",-,"531,017,155",-,332,1
"Administrative and Support
Services","Administrative and
Support Services","276,231,746",-,"73,515,079",-,332,1
Sub total,,"880,763,980","80,795,647","195,436,099",9.2,332,1
"Trade, Commerce and Industry",,,,,-,332,1
Medium and Small Enterprises,"Medium and Small
Enterprises","89,257,025",-,"89,257,025",-,332,1
"Administrative and Support
Services","Administrative and
Support Services","63,466,876","13,980,912","49,485,964",22.0,332,1
Subtotal,,"152,723,901","13,980,912","138,742,989",9.2,332,1
"Water, Environment and Natural
Resources",,,,,-,332,1
"Environment Management and
Protection",Waste Management,"260,069,115",-,"260,069,115",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","98,494,569","14,639,280","83,855,289",14.9,333,0
Subtotal,,"358,563,684","14,639,280","343,924,404",4.1,333,0
"Public Works, Roads and Infra-
structure",,,,,-,333,0
"Road Construction and Road
Maintenance","Maintenance of
Roads","417,879,433",-,"417,879,433",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","201,937,869","13,776,945","188,160,924",6.8,333,0
Subtotal,,"619,817,302","13,776,945","606,040,357",2.2,333,0
"Lands, Housing and Urban
Planning",,,,,-,333,0
"Administrative and Support
Services","Administrative and
Support Services","198,021,203","6,135,452","191,885,752",3.1,333,0
Subtotal,,"198,021,203","6,135,452","191,885,752",3.1,333,0
"Gender, Sports, Culture and
Tourism",,,,,-,333,0
Culture Development,"Culture Develop-
ment","221,591,180",-,"221,591,180",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","55,707,902","13,668,522","42,039,380",24.5,333,0
Subtotal,,"277,299,082","13,668,522","263,630,560",4.9,333,0
"Governance and Public Service
Management",,,,,-,333,0
Infrastructure Development,"Supervision and
Management of
Projects","243,393,837",-,"243,393,837",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","504,632,901","59,462,878","445,170,023",11.8,333,0
Infrastructure Development,"Supervision and
Management of
Projects","52,325,000",-,"52,325,000",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","188,324,246","4,365,287","183,958,959",2.3,333,0
Subtotal,,"988,675,984","63,828,166","924,847,818",6.5,333,0
Education and ICT,,,,,-,333,0
Vocational Training Development,"Vocational Training
Development","164,401,494",-,"164,401,494",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","393,026,371","84,338,092","308,688,279",21.5,333,0
Subtotal,,"557,427,865","84,338,092","473,089,773",15.1,333,0
Municipality Board of Kitale,,,,,-,333,0
"Administrative and Support
Services","Administrative and
Support Services","292,412,959",-,"292,412,959",-,333,0
Subtotal,,"292,412,959",-,"292,412,959",-,333,0
County Public Service Board,,,,,-,333,0
Governance and County Values,"Infrastructure De-
velopment","8,465,000",-,"8,465,000",-,333,0
"Administrative and Support
Services","Administrative and
Support Services","78,150,170",-,"78,150,170",-,333,0
Subtotal,,"86,615,170",-,"86,615,170",-,333,0
Health Corporate,,,,,-,333,0
Preventive Health Services,"Preventive Health
Services","654,517,568",-,"654,517,568",-,333,0
"Administrative and Support Ser-
vices","Administrative and
Support Services","1,793,096,885","25,305","1,793,071,580",-,333,0
Subtotal,,"2,447,614,453","25,305","2,447,589,148",-,333,0
Finance and Economic Planning,,,,,-,333,0
"County Research and Develop-
ment Planning","County Devel-
opment Planning
Services","441,874,451",-,"441,874,451",-,333,0
