Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Pay-
ments (Ksh)",Variance,"Absorption
(%)",page_number,table_index
"General administration,
planning, and support services",Service Delivery Unit,"27,600,000","529,000","27,071,000",1.9,285,0
,"Governor's Office & Investment
Promotion","65,920,000","4,911,000","61,009,000",7.4,285,0
,"Liaison and Intergovernmental
Relations","16,186,000",,"16,186,000",-,285,0
,"Civic Education and Public Par-
ticipation","11,180,997",,"11,180,997",-,285,0
Sub Total,,"120,886,997","5,440,000","115,446,997",4.5,285,0
County Secretary,"County Secretary-Administra-
tion","50,470,000",,"50,470,000",-,285,0
,Cabinet Affairs,"830,000",,"830,000",-,285,0
"Human Resource Manage-
ment","Payroll (Including Compensation
to employees)","2,068,000,000","355,797,642","1,712,202,358",17.2,285,0
,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)","154,520,000","17,134,224","137,385,776",11.1,285,0
Sub Total,,"2,273,820,000","372,931,866","1,900,888,134",16.4,285,0
County Attorney Services,legal and public affairs,"60,350,000",,"60,350,000",-,285,0
Sub Total,,"60,350,000",,"60,350,000",-,285,0
Public administration,Public Administration,"8,700,000",,"8,700,000",-,285,0
,"sub-County and ward adminis-
tration","23,090,000",,"23,090,000",-,285,0
,"Communication and Public Re-
lations","7,600,000",,"7,600,000",-,285,0
,Enforcement and Compliance,"17,600,000",,"17,600,000",-,285,0
"ICT and E-government Ser-
vices",ICT and E-government Services,"10,000,000",,"10,000,000",-,285,0
Sub Total,,"66,990,000",-,"66,990,000",-,285,0
County Public Service Board,County Public Service Board,"22,789,000",,"22,789,000",-,285,0
Sub Total,,"22,789,000",-,"22,789,000",-,285,0
Public Finance Management,County Funds,"289,000,000",-,"289,000,000",-,285,0
,treasury services,"16,903,117",,"16,903,117",-,285,0
,Financial reporting,"5,315,000",,"5,315,000",-,285,0
,"Revenue Collection and Admin-
istration (Including automation)","20,150,000",,"20,150,000",-,285,0
,"Revenue Enhancement and
Monitoring","16,700,000",,"16,700,000",-,285,0
,Supply Chain Management,6880000,,"6,880,000",-,285,0
,"Internal Audit and Risk Manage-
ment","8,000,000",,"8,000,000",-,285,0
,Internal Audit committee,"3,000,000",,"3,000,000",-,285,0
"Economic planning and devel-
opment",County Budgeting,"13,898,750",,"13,898,750",-,285,0
,County Statistics and Data Bank,"4,950,000",,"4,950,000",-,285,0
,Monitoring and Evaluation,"9,365,260",,"9,365,260",-,285,0
,"Economic Modelling and Re-
search","3,051,700",,"3,051,700",-,285,0
,"Economic Development Plan-
ning","56,750,000",,"56,750,000",-,285,0
Sub Total,,"453,963,827",-,"453,963,827",-,285,0
"Preventive and Promotive Ser-
vices","Preventive and Promotive Ser-
vices","6,271,274",,"6,271,274",-,285,0
Curative Services,Curative Services,"218,199,497",,"218,199,497",-,286,0
,universal health care and grants,"309,636,578",,"309,636,578",-,286,0
"General administration, plan-
ning, and support services",Solid Waste and Cemeteries,"4,900,000",,"4,900,000",-,286,0
,Infrastructure and Equipment,"301,971,038",-,"301,971,038",-,286,0
Sub total,,"840,978,387",-,"840,978,387",-,286,0
Primary education,ECDE,"83,652,219",,"83,652,219",-,286,0
"Youth training and develop-
ment","Revitization of youth polytech-
nics","6,050,106",,"6,050,106",-,286,0
Culture,"development and promotion of
culture","7,830,000",,"7,830,000",-,286,0
Arts & Theatre,Arts & Theatre,"29,288,954",,"29,288,954",-,286,0
Sub Total,,"126,821,279",-,"126,821,279",-,286,0
"Trade development and pro-
motion",Financial and Trade Services,"43,910,000",,"43,910,000",-,286,0
"Industrial development and
investment","Industrial and Enterprise Devel-
opment","134,825,000",,"134,825,000",-,286,0
,Weights & Measures,"2,920,000",,"2,920,000",-,286,0
"Cooperative development and
management",Cooperative advisory services,"16,530,000",,"16,530,000",-,286,0
,"cooperative audit extension ser-
vices","5,240,458",,"5,240,458",-,286,0
Urban development,Urban development,"42,759,912",,"42,759,912",-,286,0
Ol-Kalou municipality,Ol-Kalou municipality,"65,956,600",,"65,956,600",-,286,0
Sub Total,,"312,141,970",-,"312,141,970",-,286,0
Sports,Sports Development,"92,725,000",,"92,725,000",-,286,0
Youth Affairs,Youth Affairs,"30,950,000",,"30,950,000",-,286,0
"Gender Affairs and Social Ser-
vices & youth empowerment","Gender Affairs and Social Ser-
vices","125,360,000",,"125,360,000",-,286,0
,social services,"3,950,000",,"3,950,000",-,286,0
"General administration, plan-
ning, and support services","Alcohol Drinks Control and Civ-
ic Education","6,750,000",,"6,750,000",-,286,0
Sub Total,,"259,735,000",-,"259,735,000",-,286,0
Water Resource Development.,"Water resource conservation and
protection, infrastructure and
flood control","224,521,789",,"224,521,789",-,286,0
Environment,"Environmental support and
management","26,850,000",,"26,850,000",-,286,0
,Climate change resilience,"24,600,000",,,-,286,0
,natural resource,"1,800,000",,,-,286,0
"Tourism development and
promotion","Tourism infrastructure develop-
ment","77,226,469",,"77,226,469",-,286,0
"Irrigation and Drainage infra-
structure","Promotion of irrigation and
drainage development and man-
agement","8,400,000",,"8,400,000",-,286,0
Sub Total,,"363,398,258",-,"336,998,258",-,286,0
Road transport,"Transport (Including fuel level,
General Administration & Sup-
port Services)","636,046,261",,"636,046,261",-,286,0
,Public Works,"233,363,199",,"233,363,199",-,286,0
"Alternative energy technolo-
gies",Alternative energy technologies,"75,210,000",,"75,210,000",-,286,0
"General administration, plan-
ning, and support services","Emergency Response & Pre-
paredness","4,100,000",,"4,100,000",-,286,0
Sub Total,,"948,719,460",-,"948,719,460",-,286,0
Land policy and planning,Physical Planning,"9,510,455",,"9,510,455",-,286,0
,Survey and Mapping,"8,988,000",,"8,988,000",-,286,0
,"Land Administration and Man-
agement","49,851,545",,"49,851,545",-,286,0
Housing,Housing,"8,170,000",,"8,170,000",-,286,0
Sub Total,,"76,520,000",-,"76,520,000",-,286,0
