Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,"Variance
(Kshs.)",Absorption (%)
"Sub-pro-
gramme 9",Athi River Level 4,"14,446,569",-,,,197,0,"14,446,569",-
"Sub-pro-
gramme 10",Mutituni Level 4,"14,446,569",-,,,197,0,"14,446,569",-
"Sub-pro-
gramme 11",Ndithini Level 4,"14,446,569",-,,,197,0,"14,446,569",-
"Sub-pro-
gramme 12",Kalama Level 4,"14,396,569",-,,,197,0,"14,396,569",-
"Sub-pro-
gramme 10","Public Health and Community Out-
reach","230,761,382","10,000,000",,,197,0,"220,761,382",4.3
"Sub-pro-
gramme 11",Emergency Services,"11,495,381",-,,,197,0,"11,495,381",-
TOTAL,,"4,423,762,274","872,157,776",,,197,0,"3,551,604,498",19.7
"Water, Irrigation, Environment, and Natural Resources",,,,,,197,0,,
"Sub-pro-
gramme 1",Water Supply and Sewerage,"189,616,575","4,160,277",,,197,0,"185,456,298",2.2
"Sub-pro-
gramme 2","Irrigation Schemes, Development and
Promotion","66,538,486",-,,,197,0,"66,538,486",-
"Sub-pro-
gramme 3","Development and Promotion of Irriga-
tion Schemes","85,585,853","318,200",,,197,0,"85,267,653",0.4
"Sub-pro-
gramme 4",Environment and Natural Resources,"81,586,368","180,000",,,197,0,"81,406,368",0.2
TOTAL,,"423,327,282","4,658,477",,,197,0,"418,668,805",1.1
"Agriculture, Food Security, and Co-operative Development",,,,,,197,0,,
"Sub-pro-
gramme 1","General Administration and support
services","663,991,187","109,702,278",,,197,0,"554,288,909",16.5
"Sub-pro-
gramme 2",Crop Development and Management,"53,150,000",-,,,197,0,"53,150,000",-
"Sub-pro-
gramme 3","Livestock Resources Management and
Development","13,810,000",-,,,197,0,"13,810,000",-
"Sub-pro-
gramme 4",Fisheries Development,"5,050,000",-,,,197,0,"5,050,000",-
"Sub-pro-
gramme 5",Veterinary Services,"13,469,664",-,,,198,0,"13,469,664",-
"Sub-pro-
gramme 6",Agriculture Training Centre,"5,550,000",-,,,198,0,"5,550,000",-
"Sub-pro-
gramme 7","Co-operative Development and Mar-
keting","4,153,251",-,,,198,0,"4,153,251",-
"Sub-pro-
gramme 8","Capacity Building to Co-operative
Societies","2,692,000",-,,,198,0,"2,692,000",-
"Sub-pro-
gramme 7","Promotion of Co-operative Marketing
and Value Chain","38,561,000",-,,,198,0,"38,561,000",-
"Sub-pro-
gramme 8",Co-operative Financial Services,"3,324,000",-,,,198,0,"3,324,000",-
"Sub-pro-
gramme 9","Promotion and growth of Co-operative
Societies","3,630,000",-,,,198,0,"3,630,000",-
"Sub-pro-
gramme 10",Co-operative Audit Support Services,"3,916,000",-,,,198,0,"3,916,000",-
TOTAL,,"811,297,102","109,702,278",,,198,0,"701,594,824",13.5
Finance And Economic Planning,,,,,,198,0,,
"Sub-pro-
gramme 1",Revenue Management,"84,235,160","5,532,330",,,198,0,"78,702,830",6.6
"Sub-pro-
gramme 2","Budget formulation, Coordination and
Implementation Section","20,449,479","1,549,000",,,198,0,"18,900,479",7.6
"Sub-pro-
gramme 3",Supply Chain Management Section,"7,687,354",-,,,198,0,"7,687,354",-
"Sub-pro-
gramme 4",Accounts Services,"9,329,209",-,,,198,0,"9,329,209",-
"Sub-pro-
gramme 5",Audit Section,"8,758,779","2,330,350",,,198,0,"6,428,429",26.6
"Sub-pro-
gramme 6","Human Resource Management and
Support Services","392,919,205","197,292,965",,,198,0,"195,626,240",50.2
"Sub-pro-
gramme 7","Economic Planning and Statistical
Services","21,025,974",-,,,198,0,"21,025,974",-
"Sub-pro-
gramme 8",External Resource Mobilization,"950,000",-,,,198,0,"950,000",-
TOTAL,,"545,355,160","206,704,645",,,198,0,"338,650,515",37.9
"Public Service, Quality Management And ICT",,,,,,198,0,,
"Sub-pro-
gramme 1","General Administration and support
services","388,694,074","120,832,167",,,198,0,"267,861,907",31.1
"Sub-pro-
gramme 2",Quality Management,"625,000",-,,,198,0,"625,000",-
"Sub-pro-
gramme 3","Training, Research, and Development","5,009,500",-,,,198,0,"5,009,500",-
"Sub-pro-
gramme 4","ICT General Administration and sup-
port services","7,975,000",-,,,198,0,"7,975,000",-
"Sub-pro-
gramme 5",ICT Infrastructure,"5,647,000",-,,,198,0,"5,647,000",-
"Sub-pro-
gramme 6",Closed Circuit Television,"8,729,343",-,,,198,0,"8,729,343",-
TOTAL,,"416,679,917","120,832,167",,,198,0,"295,847,750",29.0
"Tourism, Culture, Youth, and Sports",,,,,,198,0,,
"Sub-pro-
gramme 1","General administrative and Support
Services","95,546,573","1,042,680",,,198,0,"94,503,893",1.1
"Sub-pro-
gramme 2",Heritage & Culture,"1,740,919",-,,,198,0,"1,740,919",-
"Sub-pro-
gramme 3",Liquor Management,"807,867",-,,,198,0,"807,867",-
"Sub-pro-
gramme 4",Tourism Development and Marketing,"8,157,888",-,,,198,0,"8,157,888",-
"Sub-pro-
gramme 5",Management of Recreational Services,"2,158,750",,,,198,0,"2,158,750",-
"Sub-pro-
gramme 6",Machawood,"3,196,115","231,000",,,198,0,"2,965,115",7.2
"Sub-pro-
gramme 7",County Image Directorate,"3,166,000",-,,,199,0,"3,166,000",-
"Sub-pro-
gramme 8",Youth Development,"2,495,799",-,,,199,0,"2,495,799",-
"Sub-pro-
gramme 9",Stadium Management,"73,307,031",-,,,199,0,"73,307,031",-
"Sub-pro-
gramme 10",Youth Empowerment,"6,864,765","170,000",,,199,0,"6,694,765",2.5
"Sub-pro-
gramme 11",Sports Promotion,"7,920,000",-,,,199,0,"7,920,000",-
TOTAL,,"205,361,707","1,443,680",,,199,0,"203,918,027",0.7
"Trade, Industrialization, and Innovation",,,,,,199,0,,
"Sub-pro-
gramme 1",Headquarter Administration Services,"59,545,491","71,800",,,199,0,"59,473,691",0.1
"Sub-pro-
gramme 2",Trade Development,"221,906,472",,,,199,0,"221,906,472",-
"Sub-pro-
gramme 3",Business and Enterprise Development,"13,297,300","175,000",,,199,0,"13,122,300",1.3
"Sub-pro-
gramme 4",Industrialization and Innovation,"56,000,000",-,,,199,0,"56,000,000",-
"Sub-pro-
gramme 5",Investment Facilitation and Support,"3,333,000",-,,,199,0,"3,333,000",-
"Sub-pro-
gramme 6",Hygiene and Sanitation,"5,340,000","250,000",,,199,0,"5,090,000",4.7
