Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,258,0
"Programme 1: Administra-
tion and Human Resource
Planning","Programme 1: Administration
and Human Resource Planning",,,-,,258,0
,SP 1.1: Administration Services,"200,942,522","6,007,024","94,464,237",6.0%,258,0
,SP 1.2: Financial Services,"4,000,000",,"2,000,000",0.0%,258,0
,"SP 1.3: Human Resource Plan-
ning","8,000,000",,"4,000,000",0.0%,258,0
,"SP 1.4: Provision of Human
Resource Advisory Services","6,000,000",,"3,000,000",0.0%,258,0
"DEPARTMENT: WATER, ENVIRONMENT, ENERGY AND NATURAL RESOURCES",,,,,,258,0
"PROGRAMME 1: ADMIN-
ISTRATION PLANNING &
SUPPORT SERVICES","PROGRAMME 1: ADMIN-
ISTRATION PLANNING &
SUPPORT SERVICES",-,,-,,258,0
,SP 1.1 Administration Services,"60,690,000",,"30,345,000",0.0%,258,0
,SP 1.2: Human Resource,"478,107,660","40,558,133","198,495,697",17.0%,258,0
,"TOTAL EXPENDITURE PROG
1","538,797,660","40,558,133","228,840,697",15.1%,258,0
"PROGRAMME 2: PRO-
VISION OF WATER AND
SEWERAGE SERVICES","PROGRAMME 2: PROVISION
OF WATER AND SEWERAGE
SERVICES",-,,-,,258,0
,SP 2.1 Provision of Water,"2,143,483,330",,"1,071,741,665",0.0%,258,0
,"SP 2.2 Provision of Sewerage
Services",-,,-,,258,0
,"TOTAL EXPENDITURE PROG
2","2,143,483,330",-,,,258,0
"PROGRAMME 3: ENVI-
RONMENTAL MANAGE-
MENT","PROGRAMME 3: ENVIRON-
MENTAL MANAGEMENT",-,,-,,258,0
,SP 3.1 Pollution Control,"189,782,552",,"94,891,276",0.0%,258,0
,SP 3.2 Solid Waste Management,-,,-,,258,0
,"SP 3.3 Greening and Beautifi-
cation","81,081,446",,"40,540,723",0.0%,258,0
,"SP 3.4 Regulation and protection
of Riparian Areas",-,,-,,258,0
,"SP 3.5 Regulation of Mining
areas",-,,-,,258,0
,"SP 3.6 Environmental Resources
Mapping",-,,-,,258,0
,"TOTAL EXPENDITURE PROG
3","270,863,998",-,,,258,0
"PROGRAMME 4: COUNTY
ENERGY PLANNING, REG-
ULATION, OPERATION
AND DEVELOPMENT","PROGRAMME 4: COUNTY
ENERGY PLANNING, REGU-
LATION, OPERATION AND
DEVELOPMENT",-,,-,,258,0
,"SP 4.1 Physical planning relating
to energy","4,000,000",,"2,000,000",0.0%,258,0
,"SP 4.2 Regulation and licensing
of retail supply of petroleum and
coal products",-,,-,,258,0
,"SP 4.3 Electricity and gas retic-
ulation",-,,-,,258,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,258,0
"Programme 1: Administra-
tion, Planning and Support
Services","Programme 1: Administration,
Planning and Support Services",-,,-,,258,0
,"SP 1.1: Administration, Planning
and Support Services","672,171,564",,"336,085,782",0.0%,258,0
,"SP 1.2: Human Resources
Services","756,151,906","88,638,213","289,437,740",23.4%,258,0
