Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"County Planning
and Economic Pol-
icy Management","070501 Economic Planning
Services","3,599,000","507,000.00","3,092,000",14.10,145,0
Sub Total,,"601,850,395.00","151,148,621.95","450,701,773.05",25.10%,145,0
"Curative and Reha-
bilitative Services","040301 Curative and Rehabili-
tative Services","2,921,022,278","481,967,930.29","2,439,054,348",16.50,145,0
Sub Total,,"2,921,022,278","481,967,930","2,439,054,348",16.50%,145,0
Basic Education,"050101 General Administra-
tion","264,796,229","42,649,960.95","222,146,268",16.10,145,0
,"050102 Free Pre- Primary Ed-
ucation","19,840,000","106,000.00","19,734,000",0.50,145,0
"State Education
Function Support",050203 Tertiary Education,0,-,-,0.00,145,0
"Technical and Vo-
cational Training",050301 Village Polytechnic,"37,186,304",-,"37,186,304",0.00,145,0
Sub Total,,"321,822,533","42,755,961","279,066,572",13.30%,145,0
"Livestock Resource
Management and
Development","010102 Livestock Extension
and Capacity Building Ser-
vices","305,000",-,"305,000",0.00,145,0
,"010105 Livestock Production
Management","2,480,000","448,776.00","2,031,224",18.10,145,0
,"010106 Livestock Disease
Management & Control","1,200,000",-,"1,200,000",0.00,145,0
"Crop Development
and Management","010202 Agricultural Extension
Services","1,500,000","361,104.00","1,138,896",24.10,146,0
,"010203 Agribusiness and Mar-
ket Development","320,000",-,"320,000",0.00,146,0
,"010206 Land and Crop Devel-
opment","1,331,000","325,456.00","1,005,544",24.50,146,0
,"010207 Food Security Initia-
tives","400,000",-,"400,000",0.00,146,0
"Kamweti Agricul-
tural Training Cen-
tre",Extension and Training,,,-,0.00,146,0
"Fisheries Develop-
ment","010402 Aquaculture Develop-
ment","200,000",-,"200,000",0.00,146,0
"Policy Strategy and
Management of
Agriculture","010801 Development of Agri-
cultural Policy","2,543,000",-,"2,543,000",0.00,146,0
,"011001 General Administra-
tion and Planning","1,037,317,762","33,135,219.20","1,004,182,543",3.20,146,0
Sub Total,,"1,047,596,762","34,270,555","1,013,326,207",3.30%,146,0
Culture,"090702 Social Welfare Ser-
vices","10,687,000",-,"10,687,000",0.00,146,0
,"091201 Gender Administra-
tion Services","30,821,210","7,124,741.10","23,696,469",23.10,146,0
,"091301 Gender and Social De-
velopment","8,990,000",-,"8,990,000",0.00,146,0
Youth,"090901 Youth Development
and Empowerment Services","670,000",-,"670,000",0.00,146,0
Sub Total,,"51,168,210","7,124,741","44,043,469",13.90%,146,0
Sports,"090701 General Administra-
tion","12,221,217","3,087,147.70","9,134,069",25.30,146,0
,"090801 Development of
Sports and Sports Facilities","19,937,353",-,"19,937,353",0.00,146,0
,"091401 Management & De-
velopment of Sports and
Sports Facilities","2,925,000",-,"2,925,000",0.00,146,0
,"091601Control & Campaign
Against Drug & Substance
Abuse","1,549,000",-,"1,549,000",0.00,146,0
,"091701 Preservation & Pro-
motion of Heritage and Cul-
ture","248,800",-,"248,800",0.00,146,0
Children Services,"091101 Child Community
Support Services","5,764,000",-,"5,764,000",0.00,146,0
Sub Total,,"42,645,370","3,087,148","39,558,222",7.20%,146,0
"Trade Development
and Investment","030401 General Administra-
tion and Planning","37,773,441","6,078,436.95","31,695,004",16.10,146,0
,"030103 Capacity building for
Traders and SME's","1,527,000",-,"1,527,000",0.00,146,0
,"030104 promotion, Develop-
ment & Growth of Trade","354,000",-,"354,000",0.00,146,0
,"030105 Fair Trade Practises
and Consumer Protection","205,000",-,"205,000",0.00,146,0
"Tourism Develop-
ment and Market-
ing","030302 Tourism Promotion
and Marketing","195,500",-,"195,500",0.00,146,0
,"030304 International Tourism
Promotion and Marketing","310,000",-,"310,000",0.00,146,0
,"030305 Promotion of Industri-
al Development","1,268,500",-,"1,268,500",0.00,146,0
,"030306 Provision of Industrial
Training","140,000",-,"140,000",0.00,146,0
