Programme,"Sub Pro-
gramme",Description,"Approved
Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
704004610,,"Legislation and Repre-
sentation","606,663,256","152,840,400","453,822,856",25.2,275,0
,704014610,Legislative Oversight,"392,522,712","111,750,000","280,772,712",28.5,275,0
,704024610,"County Co-ordination
Services","207,540,000","41,090,400","166,449,600",19.8,275,0
,704034610,Research and Policy,"6,600,544",-,"6,600,544",-,275,0
706000000,,"Economic Policy and
National Planning",-,-,-,-,275,0
,706019999,"Economic Planning Co-
ordination services",-,-,-,-,275,0
722000000,,Legislative Oversight,-,-,-,-,275,0
,722019999,"Legislation and Repre-
sentation",-,-,-,-,275,0
724000000,,"Inter-Governmental
Revenue and Financial
Matters",-,-,-,-,275,0
,724029999,Research and Policy,-,-,-,-,275,0
725000000,,"General Administra-
tion, Planning and Sup-
port Services",-,-,-,-,275,0
,725019999,Administration,-,-,-,-,275,0
,725029999,"Board Management Ser-
vice",-,-,-,-,275,0
729000000,,Audit Services,-,-,-,-,275,0
,729029999,"County Governments
Audit",-,-,-,-,275,0
901000000,,Sports,-,-,-,-,275,0
,901019999,"Sports Training and
competitions",-,-,-,-,275,0
901004610,,"Social Development
and Children Services","351,888,730","63,540,148","288,348,582",18.1,275,0
,901014610,"Gender and Youth De-
velopment","29,739,090","9,000,000","20,739,090",30.3,275,0
,901024610,"Social Assistance to Vul-
nerable Groups","21,646,436",-,"21,646,436",-,275,0
,901034610,"Development and Pro-
motion of culture","19,710,027","138,000","19,572,027",0.7,275,0
,901044610,"Development and Man-
agement of sports facil-
ities","155,000,000","54,402,148","100,597,852",35.1,275,0
,901054610,Sports Services,,,,-,275,0
,901064610,"Voluntary Training Ser-
vices","125,793,177",-,"125,793,177",-,275,0
907000000,,"Manpower Develop-
ment, Employment and
Productivity Manage-
ment",-,-,-,-,275,0
,907019999,"Human Resource Plan-
ning & Development",-,-,-,-,275,0
