Programme,"Sub-pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index
,402083510,Beyond Zero Campaigns,-,-,-,-,102,0
,402093510,"Preventive and Promotive Ser-
vices",-,-,-,-,102,0
403003510,,"Administration and Plan-
ning","159,625,997",-,"159,625,997",-,102,0
,403013510,"Curative and Rehabilitative
Health Services","159,625,997",-,"159,625,997",-,102,0
,403023510,Health Information System,-,-,-,-,102,0
,403033510,Leadership/Governance,-,-,-,-,102,0
,403043510,Human Resources for health,-,-,-,-,102,0
,403053510,"Curative Infrastructure Sup-
port",-,-,-,-,102,0
404003510,,"Health systems for universal
care project",-,-,-,-,102,0
,404013510,"World Bank Loan for Trans-
forming Health System for
Universal Car",-,-,-,-,102,0
501003510,,"Administration, Planning,
and Support Services.","201,898,884",-,"201,898,884",-,102,0
,501013510,Administration,"166,898,884",-,"166,898,884",-,102,0
,501023510,Personnel services,-,-,-,-,102,0
,501033510,Contracted Services,"35,000,000",-,"35,000,000",-,102,0
502003510,,"Provision of education and
training services","20,000,000",-,"20,000,000",-,102,0
,502013510,"ECDE Classroom Infrastruc-
ture","16,000,000",-,"16,000,000",-,102,0
,502023510,Vocational Training,-,-,-,-,102,0
,502033510,Youth Polytechnics,-,-,-,-,102,0
,502043510,"Promotion of Quality Youth
empowerment","4,000,000",-,"4,000,000",-,102,0
,502063510,Child Rescue Centre In Isiolo,-,-,-,-,102,0
503003510,,"Cultural and Arts Empower-
ment","3,000,000",-,"3,000,000",-,102,0
,503013510,"Promotion of culture, arts, and
talents",-,-,-,-,102,0
,503023510,"Education and Vocational
Training Support",-,-,-,-,102,0
,503033510,"Sports, Youth, and Gender",-,-,-,-,102,0
,503053510,,"3,000,000",-,"3,000,000",-,102,0
,503103510,"Construction of Youth Poly-
technic",-,-,-,-,102,0
504003510,,"Management and develop-
ment of Sports and sports
facilities","130,331,991",-,"130,331,991",-,102,0
,504013510,Sports Academy Centre,"130,331,991",-,"130,331,991",-,102,0
,504023510,"Youth and Women Empower-
ment",-,-,-,-,102,0
505003510,,Culture and Social Services,"20,884,319",953,"20,883,366",0.0,102,0
,505013510,Culture Development,"20,884,319",953,"20,883,366",0.0,102,0
701003510,,"Management of County Af-
fairs","302,040,316","7,288,300","294,752,016",2.4,102,0
,701013510,Personnel Services,"302,040,316","7,288,300","294,752,016",2.4,102,0
,701023510,"Administration and Coordi-
nation of County Affairs",-,-,-,-,102,0
,701033510,County Executive Services,-,-,-,-,103,0
702003510,,"Operationalization of the
Secretariat",-,-,-,-,103,0
,702033510,"Capacity building - induction
programs",-,-,-,-,103,0
705003510,,Promotion of Use of ICT,-,-,-,-,103,0
,705013510,Internet Connectivity,-,-,-,-,103,0
,705023510,E-data Storage,-,-,-,-,103,0
,705033510,ICT Training,-,-,-,-,103,0
708003510,,"Prudent use of Financial Re-
sources","22,204,882",-,"22,204,882",-,103,0
,708013510,Governors Delivery Unit,"22,204,882",-,"22,204,882",-,103,0
709003510,,"Administration and support
services","690,571,994","117,833,250","572,738,744",17.1,103,0
,709013510,Personnel Services,"94,364,868","210,000","94,154,868",0.2,103,0
,709023510,Support Services,"57,762,511","6,093,683","51,668,828",10.5,103,0
,709043510,Purchase of Pool Transport,-,-,-,-,103,0
,709053510,Other Support Services,-,-,-,-,103,0
,709073510,ICT Infrastructure Support,-,-,-,-,103,0
,709083510,"Administrative Infrastructure
support","87,924,615","2,426,256","85,498,359",2.8,103,0
,709093510,Peace Dividend Projects,-,-,-,-,103,0
