Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Office of the Governor,,,,,,167,0
"General Administration And Planning Head-
quarters",701013710,"1,525,237,968","117,307,364","1,407,930,604",7.7,167,0
"General Administration And Planning Head-
quarters",702013710,"114,100,000","9,681,003","104,418,997",8.5,167,0
Headquarters,703013710,"132,200,000","1,271,100","130,928,900",1.0,167,0
Procurement Headquarters,704023710,"95,544,000","5,007,048","90,536,952",5.2,167,0
Sub-total Office of The Governor,,"1,867,081,968","133,266,515","1,733,815,453",7.1,167,0
"Public Service Management and Adminis-
tration",,,,,,167,0
General Administration And Planning,701013710,"165,954,712","4,900,811","161,053,901",3.0,167,0
Coordination And Administrative Services,705013710,"150,068,010","9,486,162","140,581,848",6.3,167,0
Coordination And Administrative Services,706013710,"223,611,270","2,800,029","220,811,241",1.3,167,0
Coordination And Administrative Services,707013710,"13,999,998","2,365,000","11,634,998",16.9,167,0
"Sub-total Administration and Coordina-
tion of County Affairs",,"553,633,990","19,552,002","534,081,988",3.5,167,0
"Agriculture Water and Livestock Develop-
ment",,,,,,167,0
General Administration And Planning,101013710,"306,562,732","2,315,533","304,247,199",0.8,167,0
Water,101013710,"75,865,748","920,610","74,945,138",1.2,167,0
Agriculture,102013710,"362,927,848","6,546,600","356,381,248",1.8,167,0
Agriculture,103013710,"41,960,326","1,018,110","40,942,216",2.4,167,0
Agriculture,103023710,"131,440,809","10,685,245","120,755,564",8.1,167,0
Agriculture,104013710,"4,833,762",-,"4,833,762",0.0,167,0
Water,111013710,"391,417,698","84,306,022","307,111,676",21.5,167,0
Water,111023710,"70,359,278","52,153,705","18,205,573",74.1,167,0
"Sub-total Agriculture Water and Livestock
Development",,"1,385,368,201","157,945,825","1,227,422,376",11.4,167,0
"Basic Education, ICT, and Youth Develop-
ment",,,,,,167,0
"General Administration And Planning Head-
quarters",501013710,"144,585,934","3,907,021","140,678,913",2.7,167,0
Basic Education,502013710,"422,467,178","88,160,644","334,306,534",20.9,167,0
Training And Skills Development,503013710,"112,837,660","19,174,058","93,663,602",17.0,167,0
Training And Skills Development,504013710,"4,618,280",-,"4,618,280",0.0,167,0
ICT,505013710,"9,400,000","1,715,150","7,684,850",18.2,167,0
Training And Skills Development,506013710,"62,547,998","11,275,039","51,272,959",18.0,167,0
"Sub-total Basic Education, ICT, and Youth
Development",,"756,457,050","124,231,912","632,225,138",16.4,167,0
"Infrastructure, Housing and Urban Devel-
opment",,,,,,167,0
"General Administration And Planning Head-
quarters",101013710,"124,816,908","10,962,885","113,854,023",8.8,167,0
Housing,107013710,"33,757,160","3,336,820","30,420,340",9.9,167,0
Housing,109013710,"38,586,044","1,106,951","37,479,093",2.9,167,0
"Roads, Transport And Mechanical Services",110013710,"717,775,373","133,646,257","584,129,116",18.6,167,0
"Roads, Transport And Mechanical Services",203013710,"38,403,760","1,337,160","37,066,600",3.5,167,0
"Sub-total Infrastructure, Housing, and Ur-
ban Development",,"953,339,245","150,390,073","802,949,172",15.8,167,0
Health and Sanitation,,,,,,167,0
"General Administration And Planning Head-
quarters",401013710,"136,314,134","10,460,809","125,853,325",7.7,167,0
"General Administration And Planning Head-
quarters",401023710,"74,322,752","1,615,600","72,707,152",2.2,167,0
"General Administration And Planning Head-
quarters",401033710,"4,844,080","51,040","4,793,040",1.1,167,0
Medical Services,402013710,"2,856,757,384","1,079,726,070","1,777,031,314",37.8,168,0
Medical Services,402023710,"28,800,000","8,248,200","20,551,800",28.6,168,0
Rural Health Services,402033710,"322,746,480","184,452,884","138,293,596",57.2,168,0
Public Health Headquarters,403013710,"17,125,684","2,994,203","14,131,481",17.5,168,0
Medical Services,403023710,"133,042,972","564,846","132,478,126",0.4,168,0
Public Health Headquarters,403023710,"1,700,000","449,600","1,250,400",26.4,168,0
Public Health Headquarters,403033710,"2,150,000",-,"2,150,000",0.0,168,0
Health Promotion and Disease Control,404013710,"3,677,302","585,600","3,091,702",15.9,168,0
Rural Health Services,404023710,"13,901,500","476,600","13,424,900",3.4,168,0
Rural Health Services,404033710,"63,692,024","5,738,620","57,953,404",9.0,168,0
Sub-total Health and Sanitation,,"3,659,074,312","1,295,364,072","2,363,710,240",35.4,168,0
"Trade, Cooperatives and Investments",,,,,,168,0
"General Administration And Planning Head-
quarters",301013710,"97,571,376","10,519,215","87,052,161",10.8,168,0
Trade And Markets Headquarters,301013710,"267,383,928","19,925,491","247,458,437",7.5,168,0
Trade And Markets Headquarters,303023710,"7,116,676","213,810","6,902,866",3.0,168,0
cooperatives Headquarters,304013710,"11,479,708","1,774,665","9,705,043",15.5,168,0
cooperatives Headquarters,304023710,"42,870,316","1,834,600","41,035,716",4.3,168,0
"Sub-total Trade, Cooperatives and Invest-
ments",,"426,422,004","34,267,781","392,154,223",8.0,168,0
"Environment Tourism and Natural Re-
sources",,,,,,168,0
Tourism,305013710,"4,209,922","141,000","4,068,922",3.3,168,0
Tourism,305033710,"9,570,570","36,000","9,534,570",0.4,168,0
"General Administration And Planning Head-
quarters",1001013710,"47,315,506","3,136,195","44,179,311",6.6,168,0
Environment Headquarters,1002013710,"12,994,240","1,592,276","11,401,964",12.3,168,0
Environment Headquarters,1003013710,"24,425,940","10,499,400","13,926,540",43.0,168,0
Mineral Resources,1003013710,"1,663,314","435,500","1,227,814",26.2,168,0
Tourism,1003023710,"22,957,892","270,000","22,687,892",1.2,168,0
Mineral Resources,1003023710,"9,981,288","319,000","9,662,288",3.2,168,0
Mineral Resources,1003043710,"10,676,630","2,226,045","8,450,585",20.8,168,0
Environment Headquarters,1004013710,"1,418,940","285,500","1,133,440",20.1,168,0
Energy Headquarters,1005013710,"19,638,302","307,800","19,330,502",1.6,168,0
Energy Headquarters,1006013710,"90,390,024","7,384,818","83,005,206",8.2,168,0
Mineral Resources,1007013710,"1,750,548","259,200","1,491,348",14.8,168,0
Mineral Resources,1008013710,"9,117,236","310,700","8,806,536",3.4,168,0
"Sub-total Environment Tourism and Natu-
ral Resources",,"266,110,352","27,203,434","238,906,918",10.2,168,0
Sports Gender and Culture,,,,,,168,0
"General Administration And Planning Head-
quarters",301013710,"37,271,702","2,966,133","34,305,569",8.0,168,0
sports,306013710,"22,895,926","368,400","22,527,526",1.6,168,0
