Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture, Livestock,
and Cooperative",,,,,,85,0
Agriculture Service,"Agriculture Extension
and Exhibition","1,200,000",-,"1,200,000",-,85,0
Livestock Service,Livestock,"96,224,397","6,550,000","89,674,397",6.8,85,0
,Livestock Production,"5,550,000",-,"5,550,000",-,85,0
Veterinary Service,Veterinary,"33,350,000","300,000","33,050,000",0.9,85,0
Fisheries Services,Fisheries,"200,000",-,"200,000",-,85,0
"General Administration
and Support Services","General Administration
and Support Services","558,257,309","13,839,860","544,417,449",2.5,85,0
Cooperative Services,Cooperative,"600,000",-,"600,000",-,85,0
,Sub Total,"695,381,706","20,689,860","674,691,846",3,85,0
"Energy, Environment
and Natural Resource",,,,,,85,0
Energy Service,Energy,"81,205,000",-,"81,205,000",-,85,0
Environment,Environment,"1,100,000",-,"1,100,000",-,85,0
Natural Resource,Natural Resource,"1,600,000",-,"1,600,000",-,85,0
"General Administration
and Support Services","General Administration
and Support Services","59,243,025","4,500,000","54,743,025",7.6,85,0
,Sub Total,"143,148,025","4,500,000","138,648,025",3.1,85,0
Road and Transport,,,,,,85,0
Road Service,Road,"306,417,200","900,000","305,517,200",0.3,85,0
"General Administration
and Support Services","General Administration
and Support Services","37,906,400","5,270,000","32,636,400",13.9,85,0
,Sub Total,"344,323,600","6,170,000","338,153,600",1.8,85,0
"Trade, Tourism and
Enterprise",,,,,,85,0
Trade Service,Trade,"102,400,000","500,000","101,900,000",0.5,85,0
Weight and Measure,Weight and Measure,"1,350,000",-,"1,350,000",-,85,0
"General Administration
and Support Services","General Administration
and Support Services","85,447,996","10,350,100","75,097,896",12.1,85,0
Tourism Service,Tourism,"802,259",-,"802,259",-,85,0
,Sub Total,"190,000,255","10,850,100","179,150,155",5.7,85,0
Health and Sanitation,,,,,,85,0
"Preventive and Promo-
tive",Preventive,"497,297,872","17,381,731","479,916,141",3.5,85,0
Curative,Curative,"207,997,156","37,500,000","170,497,156",18,85,0
"General Administration
and Support Services","General Administration
and Support Services","2,319,087,436","251,875,794","2,067,211,642",10.9,85,0
,Sub Total,"3,024,382,464","306,757,525","2,717,624,939",10.1,85,0
Education and Labour,,,,,,85,0
"General Administration
and Support Services","General Administration
and Support Services","574,889,663","40,531,000","534,358,663",7.1,85,0
Vocational Services,"Vocational Training
Centres","12,601,200",-,"12,601,200",-,85,0
ECD,ECD,"44,412,400","5,401,000","39,011,400",12.2,85,0
"General Administration
and Support Services","General Administration
and Support Services","244,219,292","70,433,906","173,785,386",28.8,86,0
Information and ICT,Information and ICT,"23,282,733","9,135,000","14,147,733",39.2,86,0
,Sub Total,"899,405,288","125,500,906","773,904,382",14,86,0
County Assembly,,,,,,86,0
"General Administration
and Support Services","General Administration
and Support Services","1,004,003,881","153,997,466","850,006,415",15.3,86,0
,Sub Total,"1,004,003,881","153,997,466","850,006,415",15.3,86,0
Office of the Governor,,,,,,86,0
Governor's Office,Governor,"105,400,000","6,600,000","98,800,000",6.3,86,0
Deputy Governor,Deputy Governor,"36,120,000","4,800,000","31,320,000",-,86,0
"General Administration
and Support Services","General Administration
and Support Services","120,810,000","16,760,000","104,050,000",13.9,86,0
Street Lighting,Street Lighting,"48,656,215","4,250,000","44,406,215",8.7,86,0
"Intergovernmental and
Institutional",Intergovernmental,"18,812,430","4,770,000","14,042,430",25.4,86,0
County Attorney,County Attorney,"20,000,000","5,530,000","14,470,000",27.7,86,0
,Sub Total,"349,798,645","42,710,000","307,088,645",12.2,86,0
"Finance, Revenue,
Economic Planning,
and County Affairs",,,,,,86,0
Accounting Service,Accounting,"3,713,739",-,"3,713,739",-,86,0
Budget Service,Budget,"6,780,000",-,"6,780,000",-,86,0
Revenue Service,Revenue,"208,927,781","22,238,000","186,689,781",10.6,86,0
Economic and Statistic,Economic Planning,"34,086,000","5,080,000","29,006,000",14.9,86,0
Supply Chain Service,Procurement,"5,630,000","750,000","4,880,000",13.3,86,0
