Description (Program and Sub Program),"Approved Bud-
get FY 2021/22","Actual Pay-
ments","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,Kshs.,Kshs.,Kshs.,Percentage,354,1
,,,,,354,1
Governor's Office,,,,,354,1
Administration,"108,215,739","14,905,141","93,310,598",13.8,354,1
Administration And Support Services,"108,215,739","14,905,141","93,310,598",13.8,354,1
Inter-Governmental Committee,"500,000",-,"500,000",0.0,354,1
Administration and Support Services,"500,000",-,"500,000",0.0,354,1
,"9,183,890","2,816,390","6,367,500",30.7,354,1
Administration and Support Services,"9,183,890","2,816,390","6,367,500",30.7,354,1
,"4,500,000","2,159,460","2,340,540",48.0,354,1
Administration and Support Services,"4,500,000","2,159,460","2,340,540",48.0,354,1
,,,,,354,1
Finance And Economic Planning,,,,,354,1
Administration,"244,644,959","14,798,949","229,846,010",6.0,354,1
Public Finance Management,"244,644,959","14,798,949","229,846,010",6.0,354,1
Revenue Section,"29,500,000","12,008,946","17,491,054",40.7,354,1
Public Finance Management,"29,500,000","12,008,946","17,491,054",40.7,354,1
Accounts Section,"4,350,000","1,703,750","2,646,250",39.2,354,1
,Kshs.,Kshs.,Kshs.,Percentage,355,0
Procurement And Supplies Section,"3,500,000","1,103,000","2,397,000",31.5,355,0
Public Finance Management,"3,500,000","1,103,000","2,397,000",31.5,355,0
Internal Audit Section,"2,000,000","385,355","1,614,645",19.3,355,0
Public Finance Management,"2,000,000","385,355","1,614,645",19.3,355,0
,,,,,355,0
Public Service Management,,,,,355,0
Administration,"748,990,499","194,262,040","554,728,459",25.9,355,0
Administration And Support Services,"738,575,231","194,262,040","544,313,191",26.3,355,0
Human Resource Management And Development,"2,000,000",-,"2,000,000",0.0,355,0
County Governance Support Services,"8,415,268",-,"8,415,268",0.0,355,0
Communication Section,"13,170,000","1,051,160","12,118,840",8.0,355,0
Administration And Support Services,"13,170,000","1,051,160","12,118,840",8.0,355,0
Legal Section,"54,304,731","900,000","53,404,731",1.7,355,0
Administration and Support Services,"54,304,731","900,000","53,404,731",1.7,355,0
Registry Section,"405,000","30,000","375,000",7.4,355,0
Administration and Support Services,"405,000","30,000","375,000",7.4,355,0
Human Resource Section,"6,390,000","1,831,800","4,558,200",28.7,355,0
Administration And Support Services,"6,390,000","1,831,800","4,558,200",28.7,355,0
,,,,,355,0
ICT And E-Government,,,,,355,0
Administration- ICT And E-Government,"83,271,842","10,500,000","72,771,842",12.6,355,0
Ict Infrastructure Development,"20,622,902",-,"20,622,902",0.0,355,0
Administrative Support Services,"62,648,940","10,500,000","52,148,940",16.8,355,0
,,,,,355,0
"Roads, Transport And Infrastructure",,,,,355,0
Administration,"210,118,213","10,136,171","199,982,042",4.8,355,0
Roads Infrastructure Development,"210,118,213","10,136,171","199,982,042",4.8,355,0
Roads Department,"776,623,085",-,"776,623,085",0.0,355,0
Roads Infrastructure Development,"776,623,085",-,"776,623,085",0.0,355,0
Public Works Department,"12,250,000","363,741","11,886,259",3.0,355,0
Roads Infrastructure Development,"2,250,000","363,741","1,886,259",16.2,355,0
