Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
County Assembly,Legislation,"482,874,928","61,815,336","421,059,592",12.8,139,0
,Oversight,"129,050,000","30,907,667","98,142,333",24.0,139,0
,Administration,"289,575,072","72,723,003","316,852,069",18.7,139,0
,Development,"98,500,000",,"118,500,000",-,139,0
,Sub Total,"1,000,000,000","165,446,006","834,553,994",1.0,139,0
"Office of the Gov-
ernor",Intergovernmental relations,"17,800,000","8,438,088","3,613,220",47.4,139,0
,"Administration, planning and
support services","179,130,782","52,959,696","48,287,683",29.6,139,0
,Sub Total,"196,930,782","61,397,784","51,900,903",77.0,139,0
County Attorney,"Administration Planning And
Support Services","129,193,400",-,"54,295,300",-,139,0
,Sub Total,"129,193,400",-,"54,295,300",-,139,0
Finance,"Administration, Planning and
Support Services","260,400,000","88,987,420","171,412,580",34.2,139,0
,"Budget Formulation, Coordina-
tion and Management","47,912,336","154,680","47,757,656",0.3,139,0
,Audit Services,"9,030,000","198,200","8,831,800",2.2,139,0
,Accounting Services,"9,800,000","378,710","9,421,290",3.9,139,0
,"Supply Chain Management Ser-
vices","8,444,000","246,340","8,197,660",2.9,139,0
,"Resource Mobilisation/Debt Man-
agement","84,831,001","365,285","123,999,171",0.4,139,0
,Development,"2,173,008,617",,,,139,0
,Sub Total,"2,593,425,954","90,330,635","369,620,157",-,139,0
Economic Planning,County Fiscal Planning,"47,100,000",-,"47,100,000",-,139,0
,"Statistical Information Services/
Monitoring","63,493,608","1,267,540","63,493,608",2.0,139,0
,Sub Total,"110,593,608","1,267,540","110,593,608",-,139,0
Agriculture,"General Administration, Planning
and Support Services","60,411,065",-,"60,411,065",-,139,0
,"Crop Production and Manage-
ment","19,153,135",-,"19,153,135",-,139,0
,"Agribusiness and Information
Management","28,292,811",-,"28,292,811",-,139,0
,"Irrigation and Drainage Infra-
structure","11,831,678",-,"11,831,678",-,139,0
,Sub Total,"119,688,689",-,"119,688,689",-,139,0
Livestock,"Administration, Planning and
Support services","16,592,695",-,"16,592,695",-,139,0
,"Livestock Policy and Capacity De-
velopment","3,360,000",-,"3,360,000",-,139,0
,"Livestock Production and Man-
agement","6,090,000",-,"6,090,000",-,139,0
,"Livestock Value Addition and
Marketing","10,309,188",-,"10,309,188",-,139,0
,"Food Safety and Animal Products
Development","9,345,000",-,"9,345,000",-,139,0
,"Livestock Disease Management
and Control","6,270,000",-,"6,270,000",-,139,0
,Sub Total,"51,966,883",-,"51,966,883",-,139,0
