Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"Approved Bud-
get (Kshs.)"
"Programme 3: Coordination
and Supervisory Service","Programme 3: Coordination and
Supervisory Service",-,,-,,262,0,
,"SP 3.1. Organisation of County
Business","34,341,370",,"17,170,685",0.0%,262,0,
,SP 3.2. Special Programmes,"21,296,630",,"10,648,315",0.0%,262,0,
DEPARTMENT: INFRASTRUCTURE,,,,,,262,0,
"PROGRAM 1. Administra-
tion, Planning and Support
Services.","PROGRAM 1. Administration,
Planning and Support Services.",-,,-,,262,0,
,SP 1.1.Administrative services.,"102,910,820",,"51,455,410",0.0%,262,0,
,SP 1.2: Personnel services.,"285,489,604","26,619,927","116,124,875",18.6%,262,0,
,SP 1.3: Financial Services.,-,,-,,262,0,
,"TOTAL EXPENDITURE PRO-
GRAMME 1.","388,400,424","26,619,927","167,580,285",13.7%,262,0,
"PROGRAM 2. Infrastructure,
Development & Maintenance.","PROGRAM 2. Infrastructure,
Development & Maintenance.",-,,-,,262,0,
,SP 2.1: Roads Rehabilitation,"4,735,709,520",,"2,367,854,760",0.0%,262,0,
,SP 2.2: Transport,"6,320,000",,"3,160,000",0.0%,262,0,
,SP 2.3: Public Works,"42,520,000",,"21,260,000",0.0%,262,0,
,SP 2.4: Street Lighting,"207,220,000",,"103,610,000",0.0%,262,0,
,"TOTAL EXPENDITURE PRO-
GRAMME 2.","4,991,769,520",-,,,262,0,
"PROGRAM 3. Firefighting &
Disaster Management.","PROGRAM 3. Firefighting &
Disaster Management.",-,,-,,262,0,
,"SP 3.1: Firefighting and Emer-
gency Services","15,320,000",,"7,660,000",0.0%,262,0,
TOTAL,,"20,348,120,121","505,043,892","19,843,076,229",2.5%,262,0,
County Executive,,,,,,266,1,
"General Administration and
Planning","General Administration and Sup-
port services",,"101,880,954","579,851,176",14.9,266,1,"681,732,130"
,Subtotal,,"101,880,954","579,851,176",14.9,266,1,"681,732,130"
Physical Infrastructure,Physical Infrastructure,,-,"58,000,000",-,266,1,"58,000,000"
,Subtotal,,-,"58,000,000",-,266,1,"58,000,000"
"Finance and Economic Plan-
ning",,,,,,266,1,
Finance and Accounting,"General Administration and Sup-
port services",,"77,687,678","474,930,700",14.1,266,1,"552,618,378"
,Sub total,,"77,687,678","474,930,700",14.1,266,1,"552,618,378"
Revenue,"Revenue Collection and Manage-
ment",,-,"12,560,000",-,267,0,"12,560,000"
,Subtotal,,-,"12,560,000",-,267,0,"12,560,000"
"Devolved Units and Special
Programmes",,,,,,267,0,
Sub-County Administration,"Administrative & Support of Hu-
man Resources",,"9,966,182","63,009,723",13.7,267,0,"72,975,905"
,Subtotal,,"9,966,182","63,009,723",13.7,267,0,"72,975,905"
Town Administration Section,"Administration and Support of
Human Services",,-,"204,821,516",-,267,0,"204,821,516"
,Subtotal,,-,"204,821,516",-,267,0,"204,821,516"
Health and Sanitation,,,,,,267,0,
Public Health and Sanitation,"Health Service Delivery Adminis-
tration Services",,"611,683,499","2,081,994,375",22.7,267,0,"2,693,677,874"
,Sub total,,"611,683,499","2,081,994,375",22.7,267,0,"2,693,677,874"
Curative Health Services,Physical Planning,,"8,422,200","594,024,073",1.4,267,0,"602,446,273"
,Sub total,,"8,422,200","594,024,073",1.4,267,0,"602,446,273"
,,,,,,267,0,
"Agriculture, Livestock and
Fisheries",,,,,,267,0,
"Agriculture and Crop Produc-
tion","Administration and General Sup-
port services",,"102,935,686","176,313,158",36.9,267,0,"279,248,844"
,Sub total,,"102,935,686","176,313,158",36.9,267,0,"279,248,844"
Livestock and Veterinary,Livestock Resources Management,,-,"688,929,847",-,267,0,"688,929,847"
,Subtotal,,-,"688,929,847",-,267,0,"688,929,847"
"Tourism, Culture and Coop-
erative Development",,,,,,267,0,
Tourism,"General Administration and Sup-
port Services",,"11,432,220","39,412,430",22.5,267,0,"50,844,650"
,Sub total,,"11,432,220","39,412,430",22.5,267,0,"50,844,650"
Culture,"Development and Promotion of
Culture",,-,"37,299,290",-,267,0,"37,299,290"
,Sub total,,-,"37,299,290",-,267,0,"37,299,290"
"Youth, Gender and Social Ser-
vices",,,,,,267,0,
Youth Affairs,"General Administration and Sup-
port Services",,"40,548,950","74,730,797",35.2,267,0,"115,279,747"
,Sub total,,"40,548,950","74,730,797",35.2,267,0,"115,279,747"
Sports,Sports Development,,-,"138,277,558",-,267,0,"138,277,558"
,Sub total,,-,"138,277,558",-,267,0,"138,277,558"
"Education, Research and Vo-
cational Training",,,,,,267,0,
"Pre-education and Care Ser-
vices","General Administration and Sup-
port Services",,"94,841,503","254,690,720",27.1,267,0,"349,532,223"
,Education,,"8,449,980","219,928,994",3.7,267,0,"228,378,974"
,Sub total,,"103,291,483","474,619,714",17.9,267,0,"577,911,197"
"Lands, Environment and Nat-
ural Resources",,,,,,267,0,
Natural Resources and Mining,"General Administration and Sup-
port Services",,"26,709,291","76,260,361",25.9,267,0,"102,969,652"
,Sub total,,"26,709,291","76,260,361",25.9,267,0,"102,969,652"
Lands,Lands Adjudication,,-,"2,600,000",-,267,0,"2,600,000"
,Sub total,,-,"2,600,000",-,267,0,"2,600,000"
Water,Water Supply,,"15,350,000","361,497,634",4.1,267,0,"376,847,634"
,Sub total,,"15,350,000","361,497,634",4.1,267,0,"376,847,634"
"Roads, Transport and Public
Works",,,,,,267,0,
Public Works,"General Administration and Sup-
port Services",,"26,488,334","189,891,459",12.2,267,0,"216,379,793"
,Sub total,,"26,488,334","189,891,459",12.2,267,0,"216,379,793"
Roads and Infrastructure,Roads Transport,,"66,000,637","508,044,404",11.5,267,0,"574,045,041"
,Sub total,,"66,000,637","508,044,404",11.5,267,0,"574,045,041"
