Name of the Programme,"Recurrent
Estimates","Development
Estimates","Printed /
Revised Gross
Estimates","Recurrent
Expenditure","Development
Expenditure","Total Ex-
penditure","Absorption
Rate
(%)",page_number,table_index
,A,B,C=A+B,D,E,F=D+E,G=F/C*100,174,1
3061,,,,,,,,174,1
"Budget formulation, coor-
dination, and management
(0703023060)",57.54,-,57.54,16.68,-,16.68,29.0,174,1
"General Administration
(0704043060)",274.72,12.99,287.71,6.77,-,6.77,2.4,174,1
"Revenue Collection Manage-
ment (0710013060)",34.53,13.00,47.53,3.07,-,3.07,6.5,174,1
"Public Finance and Account-
ing Services (0711013060)",7.17,-,7.17,2.37,-,2.37,33.0,174,1
"Procurement Services
(0711023060)",4.76,-,4.76,0.55,-,0.55,11.5,174,1
"Risk Assurance Services
(0711033060)",4.44,3.00,7.44,0.78,-,0.78,10.5,174,1
"Personal Ser-
vices(0704013060)",105.03,-,105.03,44.64,-,44.64,42.5,174,1
TOTALS,488.19,28.99,517.17,74.86,-,74.86,14.5,174,1
3062,,- -,-,-,-,-,-,174,1
"General Administration
And Support Services
{0102053060}",93.02,216.31,309.33,41.57,-,41.57,13.4,174,1
"Crop Production & Food Se-
curity {0107013060}",0.63,120.60,121.23,0.19,-,0.19,0.2,174,1
,A,B,C=A+B,D,E,F=D+E,G=F/C*100,175,0
"Dairy And Meat Production
{0108013060}",0.63,16.33,16.96,0.15,-,0.15,0.9,175,0
"Fish Production Manage-
ment {0109013060}",1.11,6.72,7.83,0.32,-,0.32,4.1,175,0
"Livestock Disease Control
{0108033060}",0.88,13.60,14.48,0.10,-,0.10,0.7,175,0
"Farm Land Utilization,
Mechanization & Crop Stor-
age {0107033060}",8.62,9.25,17.87,1.11,-,1.11,6.2,175,0
"Agricultural Extension,
Research & Training.
{0107023060}",0.50,3.50,4.00,0.04,-,0.04,0.9,175,0
Total,105.39,386.32,491.71,43.48,-,43.48,8.8,175,0
3063,-,-,-,-,-,-,-,175,0
"0102053060 (General ad-
ministration and Support
services",9.53,117.45,126.98,4.10,-,4.10,3.2,175,0
"0102063060 (Personnel Ser-
vices)",17.27,-,17.27,7.01,-,7.01,40.6,175,0
'0102073060,35.27,-,35.27,-,-,-,-,175,0
"0104013060 (Physical devel-
opment plans)",11.05,5.07,16.12,0.64,-,0.64,4.0,175,0
"0105013060 (Establish-
ment of squatter settlement
schemes",28.90,-,28.90,1.01,-,1.01,3.5,175,0
"0106023060 (County Envi-
ronmental Awareness Initia-
tive)",4.10,10.00,14.10,-,-,-,-,175,0
0901023060,0.45,-,0.45,-,-,-,-,175,0
TOTAL,106.57,132.52,239.09,12.75,-,12.75,5.3,175,0
3064,-,-,-,-,-,-,-,175,0
"General Administra-
tion(0403013060)",65.55,591.25,656.81,17.96,-,17.96,2.7,175,0
Medical Drugs(0402043060)),195.11,-,195.11,108.81,-,108.81,55.8,175,0
"Personnel Ser-
vices(0403053060)",934.54,-,934.54,402.44,-,402.44,43.1,175,0
"Msambweni Hospital
(0405013060)",28.48,5.00,33.48,16.45,-,16.45,49.1,175,0
"Kinango Hospi-
tal(0406013060)",13.39,5.00,18.39,7.40,-,7.40,40.2,175,0
Kwale Hospital(0407013060),11.33,15.00,26.33,4.02,-,4.02,15.3,175,0
"Tiwi Rural Health Facili-
ty(0408013060)",3.64,5.30,8.94,1.26,-,1.26,14.1,175,0
"Samburu Hospi-
tal(0409013060)",7.20,10.00,17.20,2.13,-,2.13,12.4,175,0
"Lungalunga Hospi-
tal(0410013060)",8.82,5.28,14.10,3.97,-,3.97,28.2,175,0
Public Health(0401053060),1.61,-,1.61,0.30,-,0.30,18.4,175,0
"Rural Health Facili-
ties(0412013060)",62.61,151.95,214.56,15.76,-,15.76,7.3,175,0
"Diani Health Cen-
tre(0413013060)",1.06,-,1.06,0.33,-,0.33,31.3,175,0
"Maternal New Born And
Child Health(0401023060)",124.65,-,124.65,1.20,-,1.20,1.0,175,0
Total,"1,457.99",788.78,"2,246.77",582.02,-,582.02,25.9,175,0
,A,B,C=A+B,D,E,F=D+E,G=F/C*100,176,0
3065,-,-,-,-,-,-,-,176,0
"General Administration And
Support Services",321.92,229.84,551.76,29.92,-,29.92,5.4,176,0
"Oversight, Legislation, and
Representation",67.30,-,67.30,32.47,-,32.47,48.2,176,0
Total,389.22,229.84,619.06,62.39,-,62.39,10.1,176,0
3066,-,-,-,-,-,-,-,176,0
"Administration ser-
vices(0305023060)",8.26,99.21,107.48,2.66,-,2.66,2.5,176,0
"Construction of new mar-
kets(0306023060)",1.94,28.34,30.28,0.66,-,0.66,2.2,176,0
Weights and Measures,1.38,1.50,2.88,0.34,-,0.34,11.9,176,0
"Trade Development and In-
vestment",4.77,-,4.77,0.91,-,0.91,19.0,176,0
"Other Current Trans-
fers(0306023060)",-,-,-,-,-,-,-,176,0
"Personnel Services
(305013060)",20.60,-,20.60,11.82,-,11.82,57.4,176,0
Cooperative Development,2.69,3.10,5.78,0.60,-,0.60,10.4,176,0
"Industry and Enterprise De-
velopment",1.15,27.50,28.65,-,-,-,-,176,0
TOTAL,40.78,159.65,200.43,16.99,-,16.99,8.5,176,0
3067,-,-,-,-,-,-,-,176,0
Administration,25.25,125.36,150.61,11.57,-,11.57,7.7,176,0
Community Development,9.08,25.31,34.39,3.31,-,3.31,9.6,176,0
Culture And Heritage,8.76,-,8.76,1.51,-,1.51,17.2,176,0
"Sports And Talent Manage-
ment",20.38,32.88,53.26,4.65,-,4.65,8.7,176,0
Total,63.47,183.55,247.02,21.04,-,21.04,8.5,176,0
3068,-,-,-,-,-,-,-,176,0
Audit Services704013060,36.37,-,36.37,15.41,-,15.41,42.4,176,0
"General Administra-
tion704043060",26.00,36.00,62.00,2.44,-,2.44,3.9,176,0
"Legal Advisory Ser-
vices707013060",1.63,-,1.63,-,-,-,-,176,0
"Media and Communication
Services707033060",2.36,-,2.36,-,-,-,-,176,0
TOTAL,66.35,36.00,102.35,17.85,-,17.85,17.4,176,0
3069,-,-,-,-,-,-,-,176,0
"Personnel Services
(0502023060)",254.36,-,254.36,107.23,-,107.23,42.2,176,0
"Scholarship and Bursary
(0504013060)",200.00,-,200.00,200.00,-,200.00,100.0,176,0
"Administration Planning
support service (0502013060)",7.26,346.52,353.78,1.86,-,1.86,0.5,176,0
"Infrastructure develop-
ment (0503023060) &
(0501043060)",-,237.89,237.89,-,-,-,-,176,0
"Youth Training Develop-
ment( 0503013060)",5.18,-,5.18,0.84,0.85,1.69,32.7,176,0
"Early Childhood Develop-
ment (0501043060)",23.78,-,23.78,1.02,-,1.02,4.3,176,0
,A,B,C=A+B,D,E,F=D+E,G=F/C*100,177,0
Total,490.57,584.41,"1,074.98",310.95,0.85,311.81,29.0,177,0
3070,-,-,-,-,-,-,-,177,0
"Construction & Maintenance
of water pipeline supply sys-
tems (1001023060)",-,46.18,46.18,-,-,-,-,177,0
"Development of Bore-
hole water supply system
(1001033060)",-,75.37,75.37,-,-,-,-,177,0
"Development/Construction
of surface water supply sys-
tems ( 1001043060)",-,84.68,84.68,-,-,-,-,177,0
"Community Water Project (
1001063060)",-,20.14,20.14,-,3.10,3.10,15.4,177,0
"Personnel Services
(1002013060)",22.71,-,22.71,9.11,-,9.11,40.1,177,0
"Administration Services
(1002023060)",22.13,493.17,515.30,12.96,20.00,32.96,6.4,177,0
TOTAL,44.84,719.54,764.38,22.07,23.10,45.18,5.9,177,0
3071,-,-,-,-,-,-,-,177,0
"Administration Services
(0305023060)",43.09,222.22,265.32,27.69,-,27.69,10.4,177,0
"Rehabilitations of Roads,
Drainage, and Bridges
(0202013060)",-,304.67,304.67,-,-,-,-,177,0
"Personnel Services
(0305013060)",73.27,-,73.27,15.05,-,15.05,20.5,177,0
"Installation of Street Lighting
Facilities (0203013060)",-,33.60,33.60,-,-,-,-,177,0
TOTAL,116.37,560.49,676.85,42.74,-,42.74,6.3,177,0
3072,-,-,-,-,-,-,-,177,0
"Personnel services
{0305013060}",13.41,-,13.41,5.62,-,5.62,41.9,177,0
"Administration services
{0305023060}",3.82,31.71,35.53,0.06,-,0.06,0.2,177,0
"Local area network instal-
lation and ICT support
{0308013060}",3.92,10.63,14.54,2.15,-,2.15,14.8,177,0
"Tourism Promotion
{0304013060}",3.41,12.25,15.66,0.00,-,0.00,0.0,177,0
TOTAL,24.56,54.59,79.15,7.83,-,7.83,9.9,177,0
3073,-,-,-,-,-,-,-,177,0
"Human Resource Planning
(706013060)",4.75,-,4.75,1.98,-,1.98,41.8,177,0
"Transformation of Service
Delivery in Public Service
(706023060)",0.45,-,0.45,0.49,-,0.49,108.7,177,0
"Hr Management And Skill
Development (706033060)",-,-,-,-,-,-,-,177,0
"Compensation To Employees
(706043060)",18.78,-,18.78,5.48,-,5.48,29.2,177,0
"Human Resource Planning
(706053060)",-,-,-,0.45,-,0.45,-,177,0
"Staff Rationalization
(706063060)",6.45,-,6.45,-,-,-,-,177,0
TOTAL,30.44,-,30.44,8.40,-,8.40,27.6,177,0
3074,-,-,-,-,-,-,-,177,0
