Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Executive,,,,,,366,1
Coordination and Supervisory Services,Governor,"492,168,510","109,176,339","382,992,171",22.2%,366,1
Coordination and Supervisory Services,Deputy Governor,"20,000,000",-,,0.0%,366,1
Coordination and Supervisory Services,County Secretary,"10,320,000",-,,0.0%,367,0
,Sub Total,"522,488,510","109,176,339","382,992,171",20.9%,367,0
County Assembly,,,,,,367,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","893,341,593","185,297,814","708,043,779",20.7%,367,0
,Sub Total,"893,341,593","185,297,814","708,043,779",20.7%,367,0
Finance and Economic Planning,,,,,,367,0
Accounting Services,Treasury,"643,190,612","61,341,708","581,848,904",9.5%,367,0
County Statistics,Economic planning,"32,452,200","600,000",-,1.8%,367,0
Revenue Services,Revenue,"29,813,792","250,000",-,0.8%,367,0
Budget management Services,Budget,"14,796,700","1,600,000",-,10.8%,367,0
Internal Audit,Internal Audit,"9,520,725","700,000",-,7.4%,367,0
Supply Chain Management,Procurement,"20,276,000",-,-,0.0%,367,0
,Sub Total,"750,050,029","64,491,708","581,848,904",8.6%,367,0
Road and Transport,,,,,,367,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","205,696,574","24,475,778","181,220,796",11.9%,367,0
County Transport Services,Transport,"421,429,086",,,0.0%,367,0
,Sub Total,"627,125,660","24,475,778","181,220,796",3.9%,367,0
Water and Irrigation,,,,,,367,0
"Water Supplies Overhaul and maintenance
Services","Water Supplies Over-
haul","390,000,000",-,"390,000,000",0.0%,367,0
Infrastructure development Services,"New Infrastructure de-
velopment Services","317,000,000",-,"317,000,000",0.0%,367,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","292,561,124","23,639,025","268,922,099",8.1%,367,0
,Sub Total,"999,561,124","23,639,025","975,922,099",2.4%,367,0
"Energy, Environment and Natural Re-
sources",,,,,,367,0
Energy Service,Energy,"35,485,724",-,"35,485,724",0.0%,367,0
Environment Conservative Services,Environment,"242,383,304","13,438,240","228,945,064",5.5%,367,0
Wildlife and Tourism,Natural Resources,"7,954,800",,,,367,0
,Sub Total,"285,823,828","13,438,240","272,385,588",4.7%,367,0
"Public Health, Medical Service and San-
itation",,,,,,367,0
"Curative, Rehabilitative and Referral Ser-
vices",Curative,"831,812,000","250,000","831,562,000",0.0%,367,0
Preventive and Promotive Services,Preventive,"151,787,000","250,000","151,537,000",0.2%,367,0
Special Program Service,Special Programme,"17,600,000",-,"17,600,000",0.0%,367,0
Health Research,Research,"13,256,000",-,"13,256,000",0.0%,367,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","2,008,254,734","367,198,971","1,641,055,763",18.3%,367,0
Family Health,Family Health,"108,119,183",,,,367,0
,Sub Total,"3,130,828,917","367,698,971","2,655,010,763",11.7%,367,0
"Education , Youth, Gender and Social
Services",,,,,,367,0
ECD Support Service,ECD,"674,919,328","71,260,840","603,658,488",10.6%,367,0
Infrastructure development,"Vocational training
and Youth Affairs","17,653,000",,"17,653,000",0.0%,367,0
Social Services,Social Services,"40,044,400",,"40,044,400",0.0%,367,0
Gender/Social Services,Gender,"44,484,100",,"44,484,100",0.0%,367,0
