Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"Agriculture, Livestock De-
velopment and Fisheries
Development",,,,,,228,1
"Policy, planning, general
administration and support
services (Agriculture)",General administration,"236,433,710","23,834,918","212,598,792",10.1,228,1
,"Field extension services
and support Programme","10,947,800",-,"10,947,800",-,228,1
,"Agriculture, research
training, and infrastruc-
ture development","2,419,790",-,"2,419,790",-,228,1
,"Agricultural mechani-
zation","1,700,000",-,"1,700,000",-,228,1
"Crop development and
management",Crop development,"6,820,400",-,"6,820,400",-,228,1
External funding,Donor funds,"333,708,021",-,"333,708,021",-,228,1
"Policy, planning, general
administration, and sup-
port services (Fisheries)",General administration,"9,551,744",-,"9,551,744",-,228,1
,"Field extension services
and support programme","320,000",-,"320,000",-,228,1
"Fisheries development and
management","Capture fisheries devel-
opment","6,212,000",-,"6,212,000",-,229,0
,"Fish safety, assurance,
value addition, and mar-
keting","500,000",-,"500,000",-,229,0
,"Fisheries policy, strate-
gy, and capacity build-
ing","480,000",-,"480,000",-,229,0
Pending bills,Pending bills,"880,000",-,"880,000",-,229,0
"Policy, planning, general
administration, and sup-
port services (Livestock)",General administration,"9,691,300",-,"9,691,300",-,229,0
"Livestock production and
management","Enterprise development
and value addition","4,690,000",-,"4,690,000",-,229,0
"Policy, planning, general
administration, and sup-
port services (Veterinary
services)",General administration,"10,243,150",-,"10,243,150",-,229,0
,"Field extension services
and support programme","500,000",-,"500,000",-,229,0
"Veterinary services and
management","Livestock disease and
vector control and man-
agement","1,750,000",-,"1,750,000",-,229,0
,"Veterinary public health
management","1,186,000",-,"1,186,000",-,229,0
,"Livestock breeding ser-
vices","780,000",-,"780,000",-,229,0
,Sub-total,"638,493,915","23,834,918","614,658,997",3.7,229,0
County Assembly,,,,,-,229,0
"General administration
and support services",Administrative services,"35,103,069.00",-,"35,103,069.00",-,229,0
"Oversight management
services","Committee manage-
ment services","121,626,000",-,"121,626,000",-,229,0
Legislative services,Representation,"150,913,098",-,"150,913,098",-,229,0
"General administration
and support services",Administrative services,"698,216,731","80,000,000","618,216,731",11.5,229,0
Pending bills,Pending bills,"12,627,200",-,"12,627,200",-,229,0
,Sub-total,"1,018,486,098","80,000,000","938,486,098",7.9,229,0
County Attorney,,,,,-,229,0
"Management and adminis-
tration",General administration,"28,030,000",-,"28,030,000",-,229,0
Legal education,Finance,"67,900,000",-,"67,900,000",-,229,0
,"Professional and career
development","2,600,000",-,"2,600,000",-,229,0
Pending bills,Pending bills,"36,970,000",-,"36,970,000",-,229,0
,Sub-total,"135,500,000",-,"135,500,000",-,229,0
County Executive,,,,,-,229,0
"Governance and executive
management (Governor)","Citizen service delivery
services","167,847,000","2,899,295","164,947,705",1.7,229,0
,Pending bills,"31,000,000",-,"31,000,000",-,229,0
"Governance and executive
management (Deputy gov-
ernor's office)","Coordination of de-
volved ministries and
departments","22,285,000",-,"22,285,000",-,229,0
"Cohesion and peacebuild-
ing","Peacebuilding, educa-
tion, advocacy, and re-
search","3,715,000",-,"3,715,000",-,229,0
"Governance and executive
management (County sec-
retary)","Citizen service delivery
services","25,000,000",-,"25,000,000",-,229,0
,Sub-total,"249,847,000","2,899,295","246,947,705",1.2,229,0
"Education, Gender,
Sports, Youth Develop-
ment and Culture",,,,,-,229,0
Education support services,Bursary and scholarship,"40,000,000","38,079,228","1,920,772",95.2,229,0
"Youth development and
empowerment","Vocational education
training","5,000,000","2,000,000","3,000,000",40.0,230,0
,Youth empowerment,"1,500,000",-,"1,500,000",-,230,0
"Sports and culture develop-
ment","Sports and talent devel-
opment","6,000,000",-,"6,000,000",-,230,0
"General administration
and support services",Personnel emoluments,"204,071,688","35,705,854","168,365,835",17.5,230,0
,"General administrative
services","197,581,992","1,565,000","196,016,992",0.8,230,0
"Sports and culture develop-
ment","Talent development
services","3,500,000",-,"3,500,000",-,230,0
,"Culture and heritage
conservation","370,950,000",-,"370,950,000",-,230,0
,"Arts promotion and de-
velopment","1,000,000",-,"1,000,000",-,230,0
"Gender and equality ser-
vices","Women empowerment
enterprises and support
services","1,000,000",-,"1,000,000",-,230,0
"General administration
and support services","General administrative
services","7,820,000","1,134,826","6,685,174",14.5,230,0
,Sub-total,"841,423,680","78,484,907","762,938,773",9.3,230,0
"Environment, Natural Re-
source, and Disaster Man-
agement",,,,,-,230,0
"Environment management
and protection","General administration
and support services","43,660,000",-,"43,660,000",-,230,0
