Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorp-
tion Rate
(%)",page_number,table_index
County Assembly,,,,,,131,1
"Legislation and Oversight
of County Government",,"670,400,000","184,739,735","485,660,265",27.6,131,1
,Legislation and Oversight services,"670,400,000","184,739,735","485,660,265",27.6,131,1
Representation services,,"152,250,000","31,216,077","121,033,923",20.5,131,1
,Representation services,"152,250,000","31,216,077","121,033,923",20.5,131,1
"General Administration
and support services",,"523,530,907","81,046,494","442,484,413",15.5,131,1
,"General Administration and support
services","523,530,907","81,046,494","442,484,413",15.5,131,1
,Sub-Total,"1,346,180,907","297,002,306","1,049,178,601",63.5,131,1
County Executive,,,,,,131,1
"General Administration
and Support Services",,"282,967,486","75,287,996","207,679,490",53.2,131,1
,Administration,"282,967,486","75,287,996","207,679,490",53.2,131,1
,,"58,613,506","5,711,287","52,902,219",19.5,131,1
,County attorney,"58,613,506","5,711,287","52,902,219",19.5,131,1
,Sub-Total,"341,580,992","71,129,702","270,451,290",20.8,131,1
County Public Service Board,,,,,,131,1
"Leadership and Admin of
HR management and dev
in County Public Service",,"62,096,211","9,138,549","52,957,662",14.7,131,1
,"Human Resource development and
management services","62,096,211","9,138,549","52,957,662",14.7,131,1
,Sub-Total,"62,096,211","9,138,549","52,957,662",14.7,131,1
Finance & Economic Planning & ICT,,,,,,131,1
"Public Finance Manage-
ment, Economic Policy,
and Strategy",,"1,615,986,168","295,800,540","1,320,185,628",18.3,132,0
,"General Administration and support
services","1,442,721,545","223,417,421","1,219,304,124",15.5,132,0
,financial management services,"165,264,623","71,796,029","93,468,594",43.4,132,0
,Economic planning services,"8,000,000","587,090","7,412,910",7.3,132,0
,Sub-Total,"1,615,986,168","295,800,540","1,320,185,628",18.3,132,0
Administration & Public Service,,,,,,132,0
"Admin & co-ord of County
affairs, HR Dev, Mngt, Ca-
pacity Building",,"19,121,529","7,958,364","11,163,165",41.6,132,0
,"Human resource development and
management","19,121,529","7,958,364","11,163,165",41.6,132,0
"General Administration
Planning and Support Ser-
vices","Economic Policy and National Plan-
ning","847,866,812","122,342,513","725,524,299",14.4,132,0
,"Economic Planning Coordination
services","847,866,812","122,342,513","725,524,299",14.4,132,0
,Sub-Total,"866,988,341","130,300,877","736,687,464",15.0,132,0
"Agriculture, Livestock, and Fisheries",,,,,,132,0
"Crop, Livestock and Fisher-
ies Development and Man-
agement",,"1,300,689,749","65,726,228","1,234,963,521",5.1,132,0
,"General administration and support
services","440,662,497","65,726,228","374,936,269",14.9,132,0
,"Livestock resource management and
development","73,000,000",-,"73,000,000",-,132,0
,Fisheries Development,"15,000,000",-,"15,000,000",-,132,0
,Crop production and management,"772,027,252",-,"772,027,252",-,132,0
,Sub-Total,"1,300,689,749","65,726,228","1,234,963,521",5.1,132,0
"Water, Environment & Natural Resources",,,,,,132,0
"Water Resources Mngt, En-
vironment Protection and
Conservation",,"293,000,000","9,000,000","284,000,000",3.1,132,0
,"General administration and support
services",-,-,-,-,132,0
,Environmental management,"59,000,000","9,000,000","50,000,000",15.3,132,0
,Water provision and management,"224,000,000",-,"224,000,000",-,132,0
,"Natural Resources Conservation and
Management","5,000,000",-,"5,000,000",-,132,0
,"Renewable Energy and Climate
Change","5,000,000",-,"5,000,000",-,132,0
"General Administration
and Support Services",,"341,523,466","37,557,855","303,965,611",11.0,132,0
,"General Administration and Support
Services","341,523,466","37,557,855","303,965,611",11.0,132,0
,Sub-Total,"634,523,466","46,557,855","587,965,611",7.3,132,0
Health Services,,,,,,132,0
"Curative and Preventive
Health care services",,"821,636,481",-,"821,636,481",-,132,0
,"General administration and support
services",-,-,-,-,132,0
,Health curative services,"821,636,481",-,"821,636,481",-,132,0
,"Preventive and promotive health ser-
vices",-,-,-,-,132,0
"Administration, Planning
and Support Services",,"4,212,282,316","1,247,406,318","2,964,875,998",29.6,132,0
,"General Administration and Support
Services","4,212,282,316","1,247,406,318","2,964,875,998",29.6,133,0
Preventive Health Services,,"46,333,390",-,"46,333,390",-,133,0
,Community Health Services,"46,333,390",-,"46,333,390",-,133,0
"Curative & Rehabilitative
Health Services",,"535,824,221","942,000","534,882,221",0.2,133,0
,County Hospital Infrastructure,"535,824,221","942,000","534,882,221",0.2,133,0
"County Pharmaceutical
Services",,"80,000,000","22,168,472","57,831,528",27.7,133,0
,"Pharmaceutical and Non-Pharma-
ceutical supplies","80,000,000","22,168,472","57,831,528",27.7,133,0
,Sub-Total,"5,696,076,408","1,270,516,790","4,425,559,618",22.3,133,0
"Education, Culture & Social Services",,,,,,133,0
"Pre-primary education
Promotion of Culture; ICT
and social Services",,"233,969,788",-,"233,969,788",-,133,0
,"General administration and support
services",-,-,-,-,133,0
,"Pre-primary education and youth
polytechnics services","233,969,788",-,"233,969,788",-,133,0
,ICT services,-,-,-,-,133,0
,Culture and social service,-,-,-,-,133,0
"General Administration
and support Services",,"730,202,219","106,074,522","624,127,697",14.5,133,0
,"General Administration and support
Services","730,202,219","106,074,522","624,127,697",14.5,133,0
