"S
Programme
g","ub- Pro-
ramme","Approved Budget
by Court (Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
"Administration, Planning and
Support Service",,"102,183,513","29,012,524","73,170,989",28.4,361,1
"A
S","dministrative
ervices","102,183,513","29,012,524","73,170,989",28.4,361,1
