Programme,Sub Programme,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,Water Management Services,"257,940,175",,"257,940,175",,321,0
,Sanitation,"2,368,960",,"2,368,960",,321,0
,Storm Water Management,"1,283,868",,"1,283,868",,321,0
,,"1,438,400",,"1,438,400",,321,0
,"Irrigation Management
Services","1,438,400",,"1,438,400",,321,0
"County Assembly
Administration","General Administration and
services","588,390,000","139,707,205","448,682,795",23.7,321,0
,Grand Total,"5,233,286,117","735,606,220","4,497,679,897",14.1,321,0
