Department,Programme,Sub-Programme,"Approved Bud-
get (Kshs.)","Actual Expen-
diture (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
County Executive,"Operations & Main-
tenance","Use of Goods & Ser-
vices","185,000,000","19,019,460","165,980,540",10.3,43,1
Total,,,"185,000,000","19,019,460","165,980,540",10.3,43,1
Public Service Board,"Operations & Main-
tenance","Use of Goods & Ser-
vices","34,406,540","3,312,040","31,094,500",9.6,43,1
,Development,Development,"6,000,000",-,"6,000,000",-,43,1
Total,,,"40,406,540","3,312,040","37,094,500",8.2,43,1
Administration,Development,Development,"24,000,000",-,"24,000,000",-,43,1
,"Centre for Devolved
Governance","Other Recurrent Ex-
penditure","200,000",-,"200,000",-,43,1
,"Operations & Main-
tenance","Use of Goods & Ser-
vices","31,835,461","4,000,000","27,835,461",12.6,43,1
Total,,,"56,035,461","4,000,000","52,035,461",7.1,43,1
Public Service,"Operations & Main-
tenance","Use of Goods & Ser-
vices","205,000,000",-,"205,000,000",-,43,1
,Salaries & Wages,"Compensation to Em-
ployees","1,851,933,665","388,071,744","1,463,861,920",21.0,43,1
Total,,,"2,056,933,665","388,071,744","1,668,861,920",18.9,43,1
Finance,"Financial Manage-
ment Services",Development,"123,963,859","146,779,763","-22,815,904",118.4,43,1
,"Operations & Main-
tenance","Other Recurrent Ex-
penditure","15,750,000","4,800,000","10,950,000",30.5,43,1
,,"Use of Goods & Ser-
vices","93,255,430","23,114,100","70,141,330",24.8,43,1
Total,,,"232,969,289","174,693,863","58,275,427",75.0,43,1
"Information, Com-
munication, and
Technology","Information Com-
munication Tech-
nology (ICT) Ser-
vices","Development of ICT
infrastructure","4,000,000",-,"4,000,000",-,43,1
,,"E-government ser-
vices","6,000,000",-,"6,000,000",-,43,1
,,"ICT Connectivity en-
hancement","2,000,000",-,"2,000,000",-,43,1
,"Operations & Main-
tenance","Use of Goods & Ser-
vices","23,205,000",-,"23,205,000",-,43,1
Total,,,"35,205,000",-,"35,205,000",-,43,1
Economic Planning,"Budget Preparation
& Management","Preparation of Budget
Documents","6,000,000",-,"6,000,000",-,43,1
,,Training,"1,000,000",-,"1,000,000",-,43,1
,KDSP Level 1 Grant,"Other Recurrent Ex-
penditure","48,000,000",-,"48,000,000",-,43,1
,KDSP Level 2 Grant,KDSP (Level 2 Grant),"167,353,974",-,"167,353,974",-,43,1
,"Monitoring & Eval-
uation Services",Monitoring services,"2,000,000",-,"2,000,000",-,44,0
,,Policy Development,"2,000,000",-,"2,000,000",-,44,0
,"Operations & Main-
tenance","Use of Goods & Ser-
vices","36,831,091",-,"36,831,091",-,44,0
,"Planning & Statis-
tics","County Plans & re-
view of the CIDP","12,000,000",-,"12,000,000",-,44,0
,,County Statistics,"1,187,874",-,"1,187,874",-,44,0
Total,,,"276,372,939",-,"276,372,939",-,44,0
"Lands, Housing and
Urban Planning","Housing Develop-
ment",Development,"2,800,000",-,"2,800,000",-,44,0
,,"Use of Goods & Ser-
vices","3,350,000",-,"3,350,000",-,44,0
,Lands,"Acquisition of lands-
EPZ","10,000,000",-,"10,000,000",-,44,0
,,Land Purchase-Wards,"25,000,000","360,000","24,640,000",1.4,44,0
,,"Land title deeds acqui-
sition","4,000,000",-,"4,000,000",-,44,0
,,"Use of Goods & Ser-
vices","4,615,000",-,"4,615,000",-,44,0
,Municipality,"Compensation to Em-
ployees","40,000,000",-,"40,000,000",-,44,0
,,"KUSP (Municipal in-
frastructure)","168,000,000",-,"168,000,000",-,44,0
,,"Use of Goods & Ser-
vices","5,000,000",-,"5,000,000",-,44,0
,Urban Management,"Development of public
utilities","20,000,000",-,"20,000,000",-,44,0
,,"Use of Goods & Ser-
vices","15,235,000","216,000","15,019,000",1.4,44,0
Total,,,"298,000,000","576,000","297,424,000",0.2,44,0
"Youth, Sports, Gen-
der and Culture","Culture & library
services","Cultural Development
(Other Infrastructure
& Civil Works)","7,000,000",-,"7,000,000",-,44,0
,,"Public Records & Ar-
chives Management","2,600,000",-,"2,600,000",-,44,0
,"Gender, Children
Services & Social
Protection",Social Protection,"5,500,000",-,"5,500,000",-,44,0
,,"Social Protection &
Children Services
(Other Infrastructure
& Civil Works) Rescue
Centre","8,000,000",-,"8,000,000",-,44,0
,,"Training & gender em-
powerment (gender
mainstreaming)","4,000,000",-,"4,000,000",-,44,0
,"Operations & Main-
tenance","Use of Goods & Ser-
vices","8,180,777",-,"8,180,777",-,44,0
,"Policy Development
& Administrative
Services","Other Recurrent Ex-
penditure","3,000,000",-,"3,000,000",-,44,0
,"Youth & Sports De-
velopment","Development of sport-
ing facilities (Overhaul
of Other Infrastruc-
ture & Civil Works)","17,000,000",-,"17,000,000",-,44,0
,,"Establishment of
Youth Empowerment
facilities & equipment","4,700,000",-,"4,700,000",-,44,0
,,"Other Infrastructure
& Civil Works Sports
Academy","4,000,000",-,"4,000,000",-,44,0
,,"Overhaul of Other
Infrastructure & Civil
Works)","3,000,000",-,"3,000,000",-,45,0
,,Sports Enhancement,"11,200,000","2,518,000","8,682,000",22.5,45,0
