Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
The County Assembly,,,,,,297,1
,"0707014210 SP1 Legislative and
Oversight","75,997,492","13,559,037","62,438,455",17.8,297,1
,"0707024210 SP2 County Assembly
Administration","403,575,595","14,446,271","389,129,324",3.6,297,1
,0707034210 SP3 Representation,"223,723,947","43,541,091","180,182,856",19.5,297,1
,Subtotal,"703,297,034","71,546,399","631,750,635",10.2,297,1
The County Executive,,,,,,297,1
"0701004210 P1
Management of
County Affairs","0701014210 SP1 General Admin-
istration and Support Services
(Governor, Deputy Governor)","209,757,844","41,301,130","168,456,714",19.7,297,1
,"0704014210 SP2 Administration
of Human Resources in County
Public Service","62,775,309","10,942,083","51,833,226",17.4,297,1
,"0701034210 SP3 Sub County Ad-
ministration","174,747,707","44,569,285","130,178,422",25.5,298,0
,"0701044210 SP4 Coordination,
Supervision and Human Resource
services (C S)","39,472,837","5,366,604","34,106,233",13.6,298,0
,Subtotal,"486,753,697","102,179,101","384,574,596",21.0,298,0
"Department of Finance, Economic Planning, and ICT",,,,,,298,0
"0705004210
P1 General
Administration
Planning and
Support Services","0705014210 SP1 Administration
Services","277,191,065","28,675,261","248,515,805",10.3,298,0
,0705024210 SP2 ICT Services,"40,634,788","3,431,392","37,203,396",8.4,298,0
,Subtotal,"317,825,853","32,106,653","285,719,201",10.1,298,0
"0706004210 P2
Public Finance
Management","0706054210 SP5 Accounting
Services","35,811,010","2,710,374","33,100,636",7.6,298,0
,"0706024210 SP2 Resource Mobi-
lization","67,991,938","5,439,333","62,552,605",8.0,298,0
,0706034210 SP3 Internal Audit,"19,013,870","5,241,919","13,771,951",27.6,298,0
,"0706044210 SP4 Supply Chain
Management","20,618,886","3,765,355","16,853,531",18.3,298,0
,"0706014210 SP1 Budget Formu-
lation Coordination and Manage-
ment","12,542,800","2,469,956","10,072,844",19.7,298,0
,0706064210 SP6 Fiscal Planning,"39,767,280","5,108,280","34,659,000",12.8,298,0
,Subtotal,"195,745,784","24,735,217","171,010,567",12.6,298,0
"0713004210
P3 General
Administration
Planning and
Support Services","0713014210 SP1 General Admin-
istration Planning and Support
Services","7,551,952",-,"7,551,952",0.0,298,0
,Subtotal,"7,551,952",-,"7,551,952",0.0,298,0
"0712004210 P4
Special Pro-
grams",0712014210 SP 1 Special Programs,"21,442,922","4,274,949","17,167,973",19.9,298,0
,Subtotal,"21,442,922","4,274,949","17,167,973",19.9,298,0
"Department Agriculture, Livestock Development, Veterinary Services, and Fisheries",,,,,,298,0
"0101004210
P1 General
Administration
Planning and
Support Services","0101014210 SP1 Administration,
Planning and Support Services","469,171,572","13,571,570","455,600,002",2.9,298,0
,Subtotal,"469,171,572","13,571,570","455,600,002",2.9,298,0
"0103004210
P2 Livestock
Resource Man-
agement and
Development","0103014210 SP1 Livestock Policy
Development and Capacity Build-
ing","12,748,584","3,992,740","8,755,844",31.3,298,0
,"0103024210 SP2 Livestock Produc-
tion and Management","110,667,032","2,993,641","107,673,391",2.7,298,0
,"0103034210 SP3 Livestock Diseases
Management and Control","30,799,666","1,951,119","28,848,547",6.3,298,0
,"0103044210 SP4 Livestock Market-
ing and Rangeland Management","33,895,235","367,000","33,528,235",1.1,298,0
,Subtotal,"188,110,517","9,304,500","178,806,017",4.9,298,0
"0104004210 P4
Fisheries De-
velopment and
Management","0104014210 SP1 Management and
Development of Fisheries","11,149,552","1,510,162","9,639,390",13.5,298,0
,Subtotal,"11,149,552","1,510,162","9,639,390",13.5,298,0
"0105004210 P3
Crop Devel-
opment and
Management","0105014210 SP1 Lands and Crops
Development","58,738,776","2,963,841","55,774,935",5.0,298,0
,"0105024210 SP2 Food Security
Initiatives","20,987,190","213,273","20,773,917",1.0,298,0
,Subtotal,"79,725,966","3,177,114","76,548,852",4.0,298,0
"Department Water, Environment, Natural Resources, and Energy",,,,,,299,0
"1001004210
P1 General
Administration
Planning and
Support Services","1001014210 SP1 General Admin-
istration Planning and Support
Services","20,301,883","2,145,987","18,155,896",10.6,299,0
,Subtotal,"20,301,883","2,145,987","18,155,896",10.6,299,0
"1002004210 P2
Environmental
Management and
Protection","1002014210 SP1 County Environ-
ment Management","30,565,922","326,000","30,239,922",1.1,299,0
,"1002024210 SP2 Forests Conserva-
tion and Management","8,683,286","1,403,200","7,280,086",16.2,299,0
,Subtotal,"39,249,208","1,729,200","37,520,008",4.4,299,0
"1003004210 P3
Natural Resourc-
es Services","1003024210 SP2 Soil Conservation
Management","5,015,494",,"5,015,494",0.0,299,0
,1003034210 SP3 Mining Services,"2,198,572",,"2,198,572",0.0,299,0
,"1003044210 SP4 Water Catchment
and Protection Services","8,976,184","68,200","8,907,984",0.8,299,0
,Subtotal,"16,190,250","68,200","16,122,050",0.4,299,0
"1004004210
P4 Water and
Sanitation Infra-
structure","1004014210 SP1 Storm Water
Management","5,085,305",,"5,085,305",0.0,299,0
,"1004024210 SP2 Water and Sanita-
tion Services","559,699,493","16,957,999","542,741,494",3.0,299,0
,Subtotal,"564,784,798","16,957,999","547,826,799",3.0,299,0
Department Education and Vocational Training,,,,,,299,0
"0501004210
P1 General
Administration
Planning and
Support Services","0501014210 SP1 General Admin-
istration Planning and Support
Services","155,909,109","4,285,874","151,623,236",2.7,299,0
,Subtotal,"155,909,109","4,285,874","151,623,236",2.7,299,0
"0502004210 P3
Youth Training
and Develop-
ment","SP 0504014210 Revitalization of
Youth Polytechnics","21,736,692","703,255","21,033,437",3.2,299,0
,Subtotal,"21,736,692","703,255","21,033,437",3.2,299,0
"0502004210 P2
Early Childhood
Development
and Education","0502014210 SP1 Early Childhood
Development and Education","468,776,722","93,409,887","375,366,835",19.9,299,0
,Subtotal,"468,776,722","93,409,887","375,366,835",19.9,299,0
"Department Medical Services, Public Health, and Sanitation",,,,,,299,0
