Programme,Sub Program,Description,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
706004810,,"Economic and poli-
cy formulation and
management plan-
ning","9,662,305","3,475,515","6,186,790",35.97,119,0
,706014810,"Economic policy for-
mulation","9,662,305","3,475,515","6,186,790",35.97,119,0
707004810,,"Public finance man-
agement","115,739,248","26,798,949","88,940,299",23.15,119,0
,707014810,"Accounting and Fi-
nancial services","32,734,250","17,037,130","15,697,120",52.05,119,0
,707024810,"Financial Accounting
and Reporting","60,569,290","3,761,038","56,808,252",6.21,119,0
,707034810,"Budget Formulation
and management","20,254,240","4,931,816","15,322,424",24.35,119,0
,707044810,Procurement services,"2,181,468","1,068,965","1,112,503",49.00,119,0
709004810,,"Support, Co-ordi-
nation and Advisory
services","36,517,953","5,594,209","30,923,744",15.32,119,0
,709014810,"Support and Advisory
services","29,544,279","4,490,618","25,053,660",15.20,119,0
,709024810,"County Internal Audit
services","6,973,675","1,103,591","5,870,084",15.83,119,0
710014810,,"County Assembly
Services","619,983,605","288,665,453","227,313,066",46.56,119,0
710014810,712014810,Oversight Services,"619,983,605","288,665,453","227,313,066",46.56,119,0
712004810,,"County Public ser-
vice and Administra-
tive services","2,963,467,482","1,099,067,803","2,809,362,807",37.09,119,0
,712014810,"County Administra-
tion","311,107,265","83,794,199","227,313,066",26.93,119,0
,712024810,"Human Resource
Management","2,652,360,217","1,015,273,603","2,582,049,741",38.28,119,0
713004810,,"General Adminis-
tration and Support
services","3,411,060","1,974,411","1,436,649",57.88,119,0
,713014810,"Administrative Ser-
vices","3,411,060","1,974,411","1,436,649",57.88,119,0
716004810,,"Alcoholics and
Drinks Control","1,952,664","720,860","1,231,804",36.92,119,0
,716014810,"Alcohol and Drug Re-
habilitation Program","1,952,664","720,860","1,231,804",36.92,119,0
718004810,,"Investment promo-
tion","17,150,483","3,304,375","13,846,108",19.27,119,0
,718014810,Investment promotion,"17,150,483","3,304,375","13,846,108",19.27,119,0
901004810,,"Administration,
Planning and Sup-
port services","14,224,485","3,607,977","10,616,508",25.36,119,0
,901014810,"Administrative Ser-
vices","14,224,485","3,607,977","10,616,508",25.36,119,0
902004810,,"Culture and Arts De-
velopment","11,076,000","275,000","10,801,000",2.48,119,0
,902014810,"Culture and Heritage
Conservation","11,076,000","275,000","10,801,000",2.48,119,0
903004810,,"Management and De-
velopment of Sports
And Sports Facilities","387,511,828","219,778,957","167,732,871",56.72,119,0
,903014810,"Development of
Sports facilities","362,742,328","216,187,987","146,554,341",59.60,119,0
,903024810,"Promotion and Devel-
opment of Sports and
Talent","24,769,500","3,590,971","21,178,530",14.50,119,0
904004810,,"Youth & Gender De-
velopment and Pro-
motion Services","16,974,300","456,350","16,517,950",2.69,119,0
