Programme,Sub Programme,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"Human Resource Manage-
ment and Development","1,600,000","565,400","1,034,600",35.3,319,0
,"Skills and Competence Devel-
opment","1,550,000",,"1,550,000",,319,0
,,"77,341,692","20,095,020","57,246,672",26.,319,0
,"Performance Management
System","2,600,000","125,220","2,474,780",4.8,319,0
,"Human Resource Develop-
ment","74,741,692","19,969,800","54,771,892",26.7,319,0
,,"60,450,000","37,727,770","59,856,800",62.4,319,0
,County Administration,"50,450,000","37,727,770","49,856,800",74.8,319,0
,County Enforcement,"10,000,000",,"10,000,000",,319,0
,,"5,000,000","190,800","4,809,200",3.8,319,0
,Citizen Participation,"5,000,000","190,800","4,809,200",3.8,319,0
,,"65,939,000","8,794,200","57,144,800",13.3,320,0
,"County Leadership and Coor-
dination of CDAs","19,250,000","4,743,600","14,506,400",24.6,320,0
,"County Government Advisory
Service","32,439,000","3,568,600","28,870,400",11.,320,0
,"Coordination of Peace and
Cohesion","14,250,000","482,000","13,768,000",3.4,320,0
"Environment Man-
agement","Administration, planning
support services","39,219,120","105,000","39,114,120",0.3,320,0
,"Administration, planning
support services","39,219,120","105,000","39,114,120",0.3,320,0
,"Natural Disaster mitigation
programme","138,665,375","993,800","137,671,575",0.7,320,0
,"Drought management
(Preparedness, Response and
Recovery)","2,500,000","993,800","1,506,200",39.8,320,0
,"Emergency Relief (food, medi-
cine, blankets, cash grant)","136,165,375",,"136,165,375",,320,0
,,"11,675,000","625,500","11,049,500",5.4,320,0
,"Culture Promotion and Devel-
opment","8,150,000","169,300","7,980,700",2.1,320,0
,"Empowerment/Capacity
Building of Cultural Practi-
tioners","3,525,000","456,200","3,068,800",12.9,320,0
,,"2,725,000",,"2,725,000",,320,0
,Baseline Survey for OVC,"1,300,000",,"1,300,000",,320,0
,"Community Awareness
Creation on Child Rights and
Child Protection","975,000",,"975,000",,320,0
,Enhanced Child Participation,"450,000",,"450,000",,320,0
,,"6,560,000",,"6,560,000",,320,0
,Women Empowerment,"850,000",,"850,000",,320,0
,Gender and Leadership,"5,710,000",,"5,710,000",,320,0
,,"27,332,280",,"27,332,280",,320,0
,County Sports Leagues,"1,332,280",,"1,332,280",,320,0
,Sports Equipment Support,"26,000,000",,"26,000,000",,320,0
,"General Administration, Sup-
port and Support Services","12,571,128","2,438,800","10,132,328",19.4,320,0
,"General Administration, Sup-
port and Support Services","12,571,128","2,438,800","10,132,328",19.4,320,0
,"Environmental Management
Programme","20,824,713","8,157,310","12,667,403",39.2,320,0
,"Environmental Management
Programme","16,170,550","8,157,310","8,013,240",50.4,320,0
,Environmental Protection,"4,046,570",,"4,046,570",,320,0
,Control of Air Pollution,"607,593",,"607,593",,320,0
,,"261,593,003",,"261,593,003",,320,0
