Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
Agriculture,,,,,,63,1
"CP 1: General Adminis-
tration and support ser-
vices",Administrative Support Service,"271,214,274","677,820","270,536,454",0.2,63,1
"CP 2: Crop Production
and management",CSP 2.1 Input support services,"4,000,000",-,"4,000,000",-,63,1
,CSP 2.2: Crop development,"4,000,000",-,"4,000,000",-,63,1
,CSP 2.3: Crop protection,"2,000,000",-,"2,000,000",-,63,1
"CP 3:Land Use and Man-
agement","CSP 3.1: Agricultural mechaniza-
tion","6,000,000",-,"6,000,000",-,63,1
"CP 4: Agricultural Train-
ing and Extension ser-
vices","CSP 4.1: Agriculture extension ser-
vices","2,000,000",-,"2,000,000",-,63,1
,"CSP 4.2: Agricultural Training ser-
vices","20,000,000",-,"20,000,000",-,63,1
"CP 5: Agribusiness and
agricultural value chain
Development",CSP 5.1: Value addition,"6,000,000",-,"6,000,000",-,63,1
"CP 6: Agricultural finan-
cial support services","CSP 6.1: Agricultural credit sup-
port services","3,000,000",-,"3,000,000",-,63,1
"CP 7: Kenya Climate
Smart Agriculture Pro-
gramme",CSP 7.1: Kenya Climate SMART,"295,795,506",-,"295,795,506",-,63,1
"CP 8: Fisheries and Aqua-
culture Resources Devel-
opment",CSP 8.1: Aquaculture development,"15,500,000",-,"15,500,000",-,64,0
,"CSP 8.2: Fisheries training infra-
structure development",-,-,-,-,64,0
,"CSP 8.3: Fish value addition and
marketing",-,-,-,-,64,0
,"CSP 8.4: Lake-based aquaculture
parks",-,-,-,-,64,0
"CP 9: Veterinary Health
Services","CSP 9.1: Veterinary Disease con-
trol","11,138,104",-,"11,138,104",-,64,0
,CSP 9.2:AI services,"1,000,000",-,"1,000,000",-,64,0
,CSP 9.3 Meat inspection services,"3,000,000",-,"3,000,000",-,64,0
,CSP 9.4 Veterinary Extension,"5,000,000",-,"5,000,000",-,64,0
"CP 10: Livestock produc-
tion& Development","CSP 10.1: Livestock production
improvement","4,138,000",-,"4,138,000",-,64,0
,CSP 10.2: Livestock Extension,"3,428,986",-,"3,428,986",-,64,0
"CP 11: Other Develop-
ment Projects","CSP 11.1: Other Development
projects","119,650,000",-,"119,650,000",-,64,0
Total for Vote,,"776,864,870","677,820","776,187,050",0.1,64,0
Trade,,,,,-,64,0
"CP 12: General Adminis-
tration and Support ser-
vices","CSP 12.1: Administrative support
service","72,130,924","1,553,831","70,577,092",2.2,64,0
"CP 13: Trade Develop-
ments and Investment","CSP 13.1: Busia County trade de-
velopment fund","8,000,000",-,"8,000,000",-,64,0
,"CSP 13.2: Market modernization
and development","56,820,000",-,"56,820,000",-,64,0
"CP 14: Fair Trade Prac-
tices",CSP 14.1: Weights and measures.,"3,000,000",-,"3,000,000",-,64,0
"CP 15: Cooperative devel-
opment","CSP 15.1 Busia County cooperative
enterprise development fund","10,000,000",-,"10,000,000",-,64,0
,"CSP 15.2: Revitalization of cotton
ginneries",-,-,-,-,64,0
,CSP 15.3: Value addition,-,-,-,-,64,0
"CP 16: Other Develop-
ment Projects","CSP 16.1. Other Development
projects","27,100,000",-,"27,100,000",-,64,0
Total for Vote,,"177,050,924","1,553,831","175,497,092",0.9,64,0
FINANCE,,,,,-,64,0
"CP 22:General Adminis-
tration and Support ser-
vices","CSP 22.1: Administrative support
service","814,937,366","332,799,373","482,137,993",40.8,64,0
"CP 23: Financial manage-
ment, Control, and Devel-
opment services","CSP 23.1: Revenue generation ser-
vices",-,-,-,-,64,0
"CP 24: Information and
Communication Services",CSP 24.1: ICT support services,"7,000,000",-,"7,000,000",-,64,0
"CP 25: Other Develop-
ment Projects","CSP 25.1: Other Development
projects","14,906,750",-,"14,906,750",-,64,0
Total for Vote,,"836,844,116","332,799,373","504,044,743",39.8,64,0
EDUCATION,,,,,-,64,0
"CP 17: General Adminis-
tration and Support ser-
vices","CSP 17.1: Administrative support
service","437,255,653","3,618,976","433,636,677",0.8,64,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of the in-
frastructure in E.C.D.E Centres","51,502,000",-,"51,502,000",-,64,0
,CSP 18.2 E.C.D.E Capitation,-,-,-,-,64,0
,CSP 18.3: Child nutrition,-,-,-,-,64,0
"CP 19: Tertiary/Vocation-
al Training Development","CSP 19.1: Infrastructure develop-
ment","5,582,126",-,"5,582,126",-,64,0
CP 20: Education support,"CSP 20.1: Education support
scheme","67,000,000",-,"67,000,000",-,64,0
"CP 21: Other Develop-
ment Projects","CSP 21.1 Other Development Proj-
ects","4,900,000",-,"4,900,000",-,64,0
Total for Vote,,"566,239,779","3,618,976","562,620,803",0.6,64,0
CULTURE,,,,,-,65,0
"CP 26: General Adminis-
tration and Support ser-
vices","CSP 26.1: Administrative support
service","87,879,310","267,037","87,612,273",0.3,65,0
CP 27: Social services,"CSP 27.1: Infrastructural develop-
ment","15,500,000",-,"15,500,000",-,65,0
,CSP 27.2:Community Support,-,-,-,-,65,0
"CP 28:Youth and Empow-
erment Development","CSP 28.1 Equipping and Opera-
tionalization of youth empower-
ment","2,000,000",-,"2,000,000",-,65,0
"CP 29:Promotion and de-
velopment of sports","CSP 29.1: Infrastructural develop-
ment","6,000,000",-,"6,000,000",-,65,0
,CSP 29.2: Sports promotion,"3,400,000",-,"3,400,000",-,65,0
"CP 30: Child care and
protection","CSP 30.1: Rehabilitation and cus-
tody","5,000,000",-,"5,000,000",-,65,0
"CP 31: Culture Promotion
and Development","CSP 31.1: Cultural infrastructural
development","6,000,000",-,"6,000,000",-,65,0
"CP 32: Promotion and de-
velopment of local tour-
ism in the County",CSP 32.1: Tourism development,"2,000,000",-,"2,000,000",-,65,0
"CP 33: Alcoholic Drinks
and Drugs control","CSP 33.1: Infrastructure develop-
ment",-,-,-,-,65,0
