Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Default - Non-Programmat-
ic",,-,"20,080,707","- 20,080,707",-,33,0
,Default - Non-Programmatic,-,"20,080,707","- 20,080,707",-,33,0
General Administration,-,"82,311,478","5,550,113","76,761,365",6.7,33,0
,"General Administration, Plan-
ning & Support Services","82,311,478","5,550,113","76,761,365",6.7,33,0
Land Administration,-,"36,073,200",-,"36,073,200",-,33,0
,"Land Adjudication and Demar-
cation","34,036,850",-,"34,036,850",-,33,0
,Support Service,"2,036,350",-,"2,036,350",-,34,0
"Urban Development-Eldama
Ravine",-,,,,,34,0
,Support Service,-,-,-,-,34,0
"Livestock Development &
Management",-,"49,911,392",-,"49,911,392",-,34,0
,"General Administration, Plan-
ning & Support Services","36,311,392",-,"36,311,392",-,34,0
,Support Service,"300,000",-,"300,000",-,34,0
,"Livestock Improvement, Pasture
& Fodder Development",-,-,-,-,34,0
,Apiculture Development,-,-,-,-,34,0
,Livestock Upgrading,"13,300,000",-,"13,300,000",-,34,0
Agricultural Development,,,,,,34,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,34,0
"Agricultural Training Ser-
vices",-,"7,028,975",-,"7,028,975",-,34,0
,"General Administration, Plan-
ning & Support Services","7,028,975",-,"7,028,975",-,34,0
"Agricultural Mechanization
Services",-,"363,459,668","20,333,666","343,126,002",5.6,34,0
,Support Service,"363,459,668","20,333,666","343,126,002",5.6,34,0
"Improved Livestock Produc-
tion",-,"345,651,719","11,926,484","333,725,235",3.5,34,0
,"Livestock Products Value Addi-
tion","345,651,719","11,926,484","333,725,235",3.5,34,0
"Other Urban Infrastructure
Development And Manage-
ment",-,"80,818,618",-,"80,818,618",-,34,0
,KUSP Programme,-,-,-,-,34,0
,"Urban Infrastructure Develop-
ment","77,818,618",-,"77,818,618",-,34,0
,"Urban Roads Development &
Maintenance","3,000,000",-,"3,000,000",-,34,0
"Crop Production & Manage-
ment",-,"5,700,000",-,"5,700,000",-,34,0
,"Agribusiness Infrastructure De-
velopment","5,700,000",-,"5,700,000",-,34,0
"Fisheries Development &
Management",,,,,,34,0
,Aquaculture Development,-,-,-,-,34,0
"Urban Development-Kabar-
net",-,-,-,-,-,34,0
,General Administrative Services,-,-,-,-,34,0
Land Use Planning,-,"20,200,000",-,"20,200,000",-,34,0
,Land Planning & Development,"16,000,000",-,"16,000,000",-,34,0
,Land Banks Acquisition,"4,200,000",-,"4,200,000",-,34,0
General Administration,-,"35,059,993","1,056,900","34,003,093",3.0,34,0
,"General Administration, Plan-
ning & Support Services","35,059,993","1,056,900","34,003,093",3.0,34,0
"Rural Infrastructure Devel-
opment",-,"1,305,713,299",-,"1,305,713,299",-,34,0
,"Rural Road Development &
Management","1,011,213,299",-,"1,011,213,299",-,34,0
,Support Service (Infrastructure),"2,000,000",-,"2,000,000",-,34,0
,"Roads Maintenance Fuel Levy
Fund","135,000,000",-,"135,000,000",-,34,0
,"County Mechanical & Transport
Management","157,500,000",-,"157,500,000",-,34,0
"Development & Rehabilita-
tion of Rural Roads & Struc-
tures",-,-,-,-,-,35,0
,Roads Opening & Rehabilitation,-,-,-,-,35,0
"Urban Infrastructure Devel-
opment",-,"10,000,000",-,"10,000,000",-,35,0
,"Other Infrastructure Develop-
ment-Lighting","10,000,000",-,"10,000,000",-,35,0
General Administration,-,"17,250,000","1,355,520","15,894,480",7.9,35,0
,"General Administration, Plan-
ning & Support Services","17,250,000","1,355,520","15,894,480",7.9,35,0
"Tourism Development &
Marketing",-,-,-,-,-,35,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,35,0
"Co-Operative Services De-
velopment",-,"92,285,959",-,"92,285,959",-,35,0
,"General Administration, Plan-
ning & Support Services","92,285,959",-,"92,285,959",-,35,0
Trade Development,-,"26,550,000",-,"26,550,000",-,35,0
,Trade Development,"26,550,000",-,"26,550,000",-,35,0
Industrial Dev Services,-,"20,000,000",-,"20,000,000",-,35,0
,Industrial Development Services,-,-,-,-,35,0
,"General Administration, Plan-
ning & Support Services","20,000,000",-,"20,000,000",-,35,0
General Administration,-,"536,829,113","84,162,124","452,666,989",15.7,35,0
,"General Administration, Plan-
ning & Support Services","536,829,113","84,162,124","452,666,989",15.7,35,0
