"County Depart-
ment",Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"Revenue Mobiliza-
tion",Revenue Mobilization,"16,200,000","1,866,117","14,333,883",11.5,293,0
,"Economic Planning
and Policy Formu-
lation","Intragovernmental Re-
lations","37,100,000","1,792,000","35,308,000",4.8,293,0
,"Economic Planning
and Policy Formu-
lation",KDSP,"49,000,000","73,500","48,926,500",0.2,293,0
,"Economic Planning
and Policy Formu-
lation","Monitoring and Evalu-
ation","3,200,000","1,290,700","1,909,300",40.3,293,0
,,,"1,083,017,637","109,161,691","973,855,946",10.1,293,0
County Assembly,"General administra-
tion, Policy Devel-
opment and imple-
mentation","Administration and
planning services","756,085,232","127,195,645","628,889,587",16.8,293,0
,,,"756,085,232","127,195,645","628,889,587",16.8,293,0
"County Public
Service and Solid
Waste Manage-
ment","Human resources
management","Administration Plan-
ning and Support Ser-
vices","106,985,107","32,226,472","74,758,635",30.1,293,0
,"Sanitation manage-
ment","Administrative Support
Services","76,400,000","151,200","76,248,800",0.2,293,0
,,,"183,385,107","32,377,672","151,007,435",17.7,293,0
"County Public
Service Board","General Adminis-
tration and Planning
services","Administration and
Personnel Services","44,548,187","7,622,425","36,925,762",17.1,293,0
,,,"44,548,187","7,622,425","36,925,762",17.1,293,0
"Gender, Youth and
Social Services","General Adminis-
tration and Planning
services","Administration and
personnel services","51,252,024","9,595,165","41,656,859",18.7,293,0
,Social development,"Administration and
planning services","61,112,000","330,790","60,781,210",0.5,293,0
,,,"112,364,024","9,925,955","102,438,069",8.8,293,0
"Water and Irriga-
tion Services",Water Management,"Administrative Support
Services","196,798,948","11,759,598","185,039,350",6.0,293,0
,"Environment Ser-
vices","Administrative Support
Services","10,524,324",0,"10,524,324",-,293,0
,Climate Change,"Administrative Support
Services","1,270,000",0,"1,270,000",-,293,0
,,,"208,593,272","11,759,598","196,833,674",5.6,293,0
"Office of the
County Attorney","General Adminis-
tration and Planning
services","Administration and
personnel services","10,733,480",0,"10,733,480",-,293,0
,,,"10,733,480",0,"10,733,480",-,293,0
,Grand Total,,"8,194,994,227","1,134,840,865","7,060,153,363",13.8,293,0
