Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)",Absorption (%),page_number,table_index
COUNTY ASSEMBLY,,,,,,222,1
"Legislation and Repre-
sentation",Legislation,"456,774,801.06","26,298,000.70","430,476,800.3",6 5.76%,222,1
legislative Oversight,Oversight,"247,715,982.34","29,863,210.00","217,852,772.34",12.06%,223,0
"General Admin, Plan-
ning and Support",General Administration,"304,169,585.60","27,838,789.30","276,330,796.30",9.15%,223,0
Development,,"40,000,000.00",-,-,0.00%,223,0
Total,,"1,048,660,369.00","84,000,000.00","964,660,369.00",8.01%,223,0
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,,223,0
General Administration,General Administration,"224,276,386.00","40,895,806.40","183,380,579.60",18.23%,223,0
"Governor Press/Com-
munication and Events","Governor Press/Communi-
cation and Events","31,800,000.00","131,600.00","31,668,400.00",0.41%,223,0
Efficiency Monitoring,Efficiency Monitoring,"15,419,200.00",,"15,419,200.00",0.00%,223,0
Research and Strategy,Research and Strategy,"15,921,941.00","1,450,000.00","14,471,941.00",9.11%,223,0
"Disaster Management,
Rescue & Emergency
Services","Disaster Management, Res-
cue & Emergency Services","23,018,645.00",,"23,018,645.00",0.00%,223,0
"External Linkages &
Partnership","External Linkages & Partner-
ship","21,000,000.00",,"21,000,000.00",0.00%,223,0
'County Secretary,County Secretary,"11,800,000.00","300,000.00","11,500,000.00",2.54%,223,0
Total,,"343,236,172.00","42,777,406.40","300,458,765.60",12.46%,223,0
DEPARTMENT: FINANCE ECONOMIC PLANNING & ICT,,,,,,223,0
General Administration,Administration,"168,064,741.00","126,727,867.48","41,336,873.52",75.40%,223,0
Deputy Governors Office,Office Affairs,"20,600,000.00",,"20,600,000.00",0.00%,223,0
Procurement,Procurement,"8,500,000.00","250,000.00","8,250,000.00",2.94%,223,0
Internal Audit,Internal Audit,"12,000,000.00",,"12,000,000.00",0.00%,223,0
Budget and Policy,Budget and Policy,"31,335,231.00",-,"31,335,231.00",0.00%,223,0
Accounts,Accounts,"13,100,000.00",,"13,100,000.00",0.00%,223,0
"Semi-Autonomous
Agencies: Investment
Corporation","Meru Investment Corpora-
tion","104,803,972.00",-,"104,803,972.00",0.00%,223,0
"Microfinance Corpo-
ration","Meru Microfinance Corpo-
ration","81,230,864.00",,"81,230,864.00",0.00%,223,0
Revenue Board,Meru Revenue Board,"312,144,000.00",-,"312,144,000.00",0.00%,223,0
ICT Development,ICT Development,"44,300,000.00",,"44,300,000.00",0.00%,223,0
"Economic Planning and
Coordination Services","Economic Planning and Co-
ordination Services","9,438,000.00",,"9,438,000.00",0.00%,223,0
Fleet Management,Fleet Management,"102,426,400.00","5,000,000.00","97,426,400.00",4.88%,223,0
Total,,"907,943,208.00","131,977,867.48","775,965,340.52",14.54%,223,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHERIES",,,,,,223,0
General Administration,General Administration,"744,422,137.00","62,274,581.24","682,147,555.76",8.37%,223,0
Livestock,Livestock,"24,316,386.00",,"24,316,386.00",0.00%,223,0
Fisheries,Fisheries,"7,150,000.00",,"7,150,000.00",0.00%,223,0
Agricultural Services,Agricultural Services,"30,180,448.00",,"30,180,448.00",0.00%,223,0
"Animal Disease Man-
agement",Animal Disease Management,"3,200,000.00",,"3,200,000.00",0.00%,223,0
"Agricultural Training
Centre (ATC)","Agricultural Training Centre
(ATC)","10,056,247.00",,"10,056,247.00",0.00%,223,0
"Agricultural Mechaniza-
tion Services (AMS)","Agricultural Mechanization
Services (AMS)","1,500,000.00",,"1,500,000.00",0.00%,223,0
Total,,"820,825,218.00","62,274,581.24","758,550,636.76",7.59%,223,0
DEPARTMENT: WATER & IRRIGATION,,,,,,223,0
