Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,Programme S,ub- Programme
Human resources,Human resources,"2,294,141,122","385,226,896","1,908,914,226",16.8,53,0,,
SP3.Health Infrastructure,SP3.Health Infrastructure,"262,710,027",,"262,710,027",-,53,0,,
"Programme 2: Preventive
Promotive and Rehabilita-
tive","Programme 2: Preventive
Promotive and Rehabilitative",,-,-,-,53,0,,
"SP 2:Communicable and
non-communicable","SP 2:Communicable and
non-communicable","18,005,084",,"18,005,084",-,53,0,,
"SP 2: Health Promotion ser-
vices","SP 2: Health Promotion ser-
vices","6,000,000",,"6,000,000",-,53,0,,
SP 3: Disease surveillance,SP 3: Disease surveillance,"2,746,938",,"2,746,938",-,53,0,,
"SP 4: Community health ser-
vices","SP 4: Community health ser-
vices","78,072,000",,"78,072,000",-,53,0,,
"Programme 3: Curative &
health Services","Programme 3: Curative &
health Services",,-,-,-,53,0,,
"SP 3: Routine Medical Ser-
vices",SP 3: Routine Medical Services,"424,865,820",,"424,865,820",-,53,0,,
SP 3: Blood Bank Services,SP 3: Blood Bank Services,"10,000,000",,"10,000,000",-,53,0,,
"Programme 4: Health Re-
search","Programme 4: Health Re-
search",,-,-,-,53,0,,
SP 4: Capacity Development,SP 4: Capacity Development,"8,200,000",,"8,200,000",-,53,0,,
"Programme 5: Maternal and
Child Health","Programme 5: Maternal and
Child Health",,-,-,-,53,0,,
SP 5: Maternity Services,SP 5: Maternity Services,"52,969,787",,"52,969,787",-,53,0,,
SP 5: Immunization Services,SP 5: Immunization Services,"1,500,000",,"1,500,000",-,53,0,,
Total Expenidture,,"3,492,067,587","385,944,336","3,106,123,251",11.1,53,0,,
ROADS & PUBLIC WORks,,,,-,,53,0,,
"Transport infrastructure de-
velopment and management",,"1,276,068,343",,"1,276,068,343",-,53,0,,
"Public safety and transport
operations",,"10,440,000",,"10,440,000",-,53,0,,
"Building standards and other
civil works",,"3,537,534",,"3,537,534",-,53,0,,
"General administration, plan-
ning, and support services",,"304,822,646","14,568,486","290,254,160",4.8,53,0,,
Total Expenditure,,"1,594,868,523","14,568,486","1,580,300,037",0.9,53,0,,
WATER & TOURISM,,,,-,-,53,0,,
"Programme 1: General Ad-
ministration Planning and
support Services",,,,-,-,53,0,,
"SP. Human Resources Man-
agement",,"71,513,750","8,919,285","62,594,465",12.5,53,0,,
"SP. Policy and Legal Frame-
work formulation",,"1,000,000",,"1,000,000",-,53,0,,
"SP. Marking of international/
national events",,"4,800,000","215,000","4,585,000",4.5,53,0,,
"SP. Annual devolution confer-
ence",,"3,000,000",,"3,000,000",-,53,0,,
"Programme 2: Water and
Sewerage Services Manage-
ment",,,,-,-,53,0,,
SP Water Services Provision,,"223,750,387",,"223,750,387",-,53,0,,
"SP. Rig operation and mainte-
nance",,"12,706,110",,"12,706,110",-,54,0,,
"SP. Stakeholders engagement
(water users association)",,"4,800,000",,"4,800,000",-,54,0,,
"SP. KOICA counterpart fund-
ing",,"16,553,051",,"16,553,051",-,54,0,,
SP. Sub- County operations,,"3,200,000",,"3,200,000",-,54,0,,
"SP. Routine Maintenance of
water supplies",,"2,400,000",,"2,400,000",-,54,0,,
"SP. Office operation and main-
tenance",,"128,284,669","723,800","127,560,869",0.6,54,0,,
"Programme 3: Integrated
Solid Waste Management",,,,-,-,54,0,,
SP. Dumpsite Management,,"12,850,705",,"12,850,705",-,54,0,,
"SP. Garbage collection and
transportation",,"152,729,272","52,348,999","100,380,273",34.3,54,0,,
TOTAL Expenditure,,"637,587,944","62,207,084","575,380,860",9.8,54,0,,
"EDUCATION AND VOCA-
TIONAL TRAINING",,,,-,-,54,0,,
"Programme 1: General Ad-
ministration, Planning and
Support Services",,,,-,-,54,0,,
SP 1: Salaries and allowances,,"1,025,278,219","159,224,035","866,054,184",15.5,54,0,,
SP 2: Policy formulation,,"1,600,000",,"1,600,000",-,54,0,,
"SP3: Administration and sup-
port services",,"9,600,000","200,000","9,400,000",2.1,54,0,,
"Sp4: Capacity building and
stakeholders forum",,"6,800,000",,"6,800,000",-,54,0,,
"Sp5: Planning and financial
management",,"3,800,000",,"3,800,000",-,54,0,,
"SP7:Monitoring and Evalua-
tion, feasibility studies",,"1,800,000",,"1,800,000",-,54,0,,
SP8:Good Governance,,"2,500,000",,"2,500,000",-,54,0,,
SP9:Other expenses,,"8,283,957",,"8,283,957",-,54,0,,
"Programme 2: Early Child-
hood Education Develop-
ment",,,-,-,-,54,0,,
"Sp1: Quality Assurance and
Standards",,"800,000",,"800,000",-,54,0,,
"Sp2: Curriculum implemen-
tation",,"1,000,000",,"1,000,000",-,54,0,,
Sp3: learning materials,,"1,600,000",,"1,600,000",-,54,0,,
"SP4:Annual conference for
Education stakeholders",,"1,520,043",,"1,520,043",-,54,0,,
"SP4:Annual conference for
ECDE teachers",,"1,800,000",,"1,800,000",-,54,0,,
"SP5:Monitoring and evalua-
tion",,"800,000",,"800,000",-,54,0,,
"SP6: Commissioning of ECD
classrooms",,"1,400,000",,"1,400,000",-,54,0,,
"SP6 : Infrastructure develop-
ment",,"115,430,000",,"115,430,000",-,54,0,,
SP9:Pending bills,,"2,537,714",,"2,537,714",-,54,0,,
"PROGRAMME 3: VOCA-
TIONAL TRAINING CEN-
TRES",,,-,-,-,54,0,,
Sp1: Tuition support grant,,"60,525,266",,"60,525,266",-,54,0,,
"Sp2:Tools and equipment for
VTC",,"4,337,378",,"4,337,378",-,54,0,,
"Sp3:Construction of Centre of
Excellence",,"47,000,000",,"47,000,000",-,55,0,,
"Sp4: Quality assurance and
standards",,"1,000,000",,"1,000,000",-,55,0,,
"SP5: Joint Vocational Training
Graduation",,"1,600,000",,"1,600,000",-,55,0,,
"SP6: VTC instructor annual
conference",,"2,000,000",,"2,000,000",-,55,0,,
SP7:Community sensitization,,"1,000,000",,"1,000,000",-,55,0,,
