Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Education,,,,,,183,0
"General Administration &
Planning services",Personnel services,"71,265,456",-,"71,265,456",-,183,0
,Administration Services,"12,269,490","216,000","12,053,490",1.8,183,0
"Vocational Training Insti-
tutes.",Vocational Training Institutes.,"48,213,048","10,901,845","37,311,203",22.6,183,0
"Collaboration with Stake-
holders","Collaboration with Stakehold-
ers","4,000,000",-,"4,000,000",-,183,0
"Gender Culture and Social
Services.","Gender Culture and Social Ser-
vices.","23,959,755",-,"23,959,755",-,183,0
Youth and Sports.,Youth & Sports,"8,204,700",-,"8,204,700",-,183,0
"Education & Library Ser-
vices","Education and Library Ser-
vices.","43,184,875",-,"43,184,875",-,183,0
"Talent Development Ser-
vices",Talent Development,"5,484,112",-,"5,484,112",-,183,0
Sub-total,,"216,581,436","11,117,845","205,463,591",5.1,183,0
County Assembly,,,,,,183,0
"General Administration &
Planning Services",Administration services,"292,121,447","44,972,811","247,148,636",15.4,183,0
Legislative & Oversight,"Legislation & Oversight Ser-
vices","194,747,631","20,612,669","174,134,962",10.6,183,0
"Infrastructure improve-
ment services","County Assembly Infrastruc-
ture improvement","50,000,000",-,"50,000,000",-,183,0
Sub-total,,"536,869,078","65,585,480","471,283,598",12.2,183,0
County Health Services,,,,,,183,0
"Curative & Rehabilitative
Health","Health Infrastructure Develop-
ment","10,000,000","325,270","9,674,730",3.3,183,0
,"Health Products and Technol-
ogies Support","236,736,402","4,153,393","232,583,009",1.8,183,0
,"Health Infrastructure Develop-
ment","14,000,000",-,"14,000,000",-,183,0
,"Emergency Referral and Reha-
bilitative Service","99,548,177","13,493,553","86,054,624",13.6,183,0
"General Administration &
Planning Services","Essential Health Institutions
and Services","126,629,882","1,948,780","124,681,102",1.5,183,0
,"Administrative, Project Plan-
ning and Implementation Ser-
vices","137,877,133","7,437,268","130,439,865",5.4,183,0
,"Human Resource Develop-
ment","2,000,000","75,600","1,924,400",3.8,183,0
,"Health Policy, Governance,
Planning and Financing","9,500,000","600,000","8,900,000",6.3,183,0
,"Health Information Standards
and Quality Assurance","1,500,000",-,"1,500,000",0.0,183,0
,"Community Health Strategy,
Advocacy, and Surveillance","11,056,500","624,000","10,432,500",5.6,183,0
Preventive Health Services,"Family Planning, Maternal,
and Child Health Services","4,300,000","530,700","3,769,300",12.3,183,0
,"Non -Communicable Diseases
Control and Prevention","1,800,000","900,000","900,000",50.0,183,0
,"Public Health Promotion and
Nutrition Services","7,300,000","980,392","6,319,608",13.4,183,0
,"Social Health Insurance
Scheme","63,000,000","10,427,956","52,572,044",16.6,183,0
Sub-total,,"725,248,094","41,496,912","683,751,182",5.72,183,0
"Infrastructure, Physical Planning & Lands",,,,,,183,0
"General Administration
and Planning Services",Administration Services,"9,399,080",-,"9,399,080",-,184,0
,"Planning and Financial Man-
agement","2,900,920",-,"2,900,920",-,184,0
Financial Services,"County Treasury administra-
tive services","254,090,282",-,"254,090,282",-,184,0
"Land and Housing Man-
agement",Housing Policy Development,"4,700,000",-,"4,700,000",-,184,0
"Public Works Service De-
livery Improvement","County Building Construction
Standard","3,000,000","149,100","2,850,900",5.0,184,0
"Renewable /Green Energy
Services","County renewable/green ener-
gy services","19,678,268",-,"19,678,268",-,184,0
"Roads Network Improve-
ment Housing and Urban
Development",Road Network improvement,"120,000,000","1,300,000","118,700,000",1.1,184,0
,Road network maintenance,"55,007,257","7,841,629","47,165,628",14.3,184,0
,"Heavy Equipment Mainte-
nance","10,000,000",-,"10,000,000",-,184,0
,Urban Development,"1,073,759,248",,"1,073,759,248",-,184,0
"Critical Infrastructure re-
habilitation and Construc-
tion","Inter ward bridge construction
program","20,057,111",-,"20,057,111",-,184,0
"Administration and Sup-
port Services","Managed Specialized equip-
ment and Vehicles","160,000,000",-,"160,000,000",-,184,0
"Physical Planning and Sur-
vey",Survey and Planning services,"24,760,000",-,"24,760,000",-,184,0
,Land Management services,"10,000,000",-,"10,000,000",-,184,0
Sub-total,,"1,767,352,166","9,290,729","1,758,061,437",0.5,184,0
"Trade, Tourism & Cooperatives",,,,,,184,0
"General Administration &
Planning services",Administration Services,"6,000,000",-,"6,000,000",-,184,0
,Personnel Services,"1,215,450",-,"1,215,450",-,184,0
,Policy Development,"1,000,000",-,"1,000,000",-,184,0
"Co-operative Development
and promotion","Co-operative Development
and promotion","2,000,000",-,"2,000,000",-,184,0
,Research & Development,"500,000","136,000","364,000",27.2,184,0
,"Market Infrastructure Devel-
opment",,-,-,-,184,0
,Revolving Fund,"11,000,000",-,"11,000,000",-,184,0
Trade & Investments,"Market Infrastructure Devel-
opment/Trade Promotion Ser-
vices","500,000",-,"500,000",-,184,0
,"Market Infrastructure Devel-
opment","33,963,180",-,"33,963,180",-,184,0
,"Metrological Lab-weights and
measures","1,000,000",-,"1,000,000",-,184,0
"Tourism Development &
Promotion","Tourism Promotion and Mar-
keting","3,000,000",-,"3,000,000",-,184,0
,"Tourism Infrastructural Devel-
opment","10,036,820",-,"10,036,820",-,184,0
Sub-total,,"70,215,450","136,000","70,079,450",0.2,184,0
County Administration Services,,,,,,184,0
"Human Capital Manage-
ment & Development",Compensation to employees,"3,060,408,552","260,772,664","2,799,635,888",8.5,184,0
,County Public Service Board,"18,500,000",,"18,500,000",-,184,0
"County Administration
Services","Headquarter Administration
Services","28,296,931","147,000","28,149,931",0.5,185,0
,"ICT Infrastructure & Connec-
tivity","10,000,000","345,000","9,655,000",3.5,185,0
,"County Administration Ser-
vices","21,497,766","1,019,200","20,478,566",4.7,185,0
,"County services delivery and
result reporting","5,500,000","450,000","5,050,000",8.2,185,0
,Car & Mortgage,-,-,-,-,185,0
,Decentralized Services,"28,142,860",,"28,142,860",-,185,0
,Executive Support Service,"70,000,000","18,387,900","51,612,100",26.3,185,0
,Grants & Transfers,"242,430,576","31,396,622","211,033,954",13.0,185,0
,Urban Facilities Management,"20,000,000",,"20,000,000",-,185,0
,Legal Services,"47,000,000","98,000","46,902,000",0.2,185,0
"Security & Policing Ser-
vices","Disaster Reduction Manage-
ment","8,000,000","300,000","7,700,000",3.8,185,0
,"Enforcement and Disaster
Management","5,000,000","235,200","4,764,800",4.7,185,0
,Alcohol Control Committee,"6,500,000",,"6,500,000",-,185,0
,"Intergovernmental & Donor
Relations","24,000,000","176,400","23,823,600",0.7,185,0
,Fire Services,"7,000,000",,"7,000,000",-,185,0
"Public Participation &
Civic Education",Public participation,"18,000,000","1,850,000","16,150,000",10.3,185,0
Sub-total,,"3,620,276,685","315,177,986","3,305,098,699",8.7,185,0
"Water, Environment & Natural Resources",,,,,,185,0
Water Development,"Rural water supply and sanita-
tion","276,629,876",-,"276,629,876",-,185,0
"General Administration &
Support Services","1) Administrative and Plan-
ning Services","12,019,587",-,"12,019,587",-,185,0
,"2)Motor vehicle maintenance
and fuel provision","11,000,000","731,035","10,268,966",6.6,185,0
,"3) Development of water man-
agement policies","2,000,000",-,"2,000,000",-,185,0
"Environment & Natural
Resources",Solid Waste Management,"7,000,000",-,"7,000,000",-,185,0
,"Human-Wildlife Conflict Pre-
vention","3,000,000",-,"3,000,000",-,185,0
,"Natural Resources Manage-
ment","3,000,000",-,"3,000,000",-,185,0
,"Climate Change Adaptation &
Mitigation","1,000,000",-,"1,000,000",-,185,0
,Integrated land rehabilitation,"2,631,320",-,"2,631,320",-,185,0
Sub-total,,"318,280,783","731,035","317,549,749",0.2,185,0
"Agriculture, Livestock & Veterinary",,,,,,185,0
Headquarter Services,"Headquarter Administration
Services","61,218,816",-,"61,218,816",-,185,0
