Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.)
,Sub Total,"362,126,361","54,419,379","307,706,982",15,87,0,,,
"County Public Service
Board",,,,,,87,0,,,
"General Administration
and Support Services","General Administration
and Support Services","37,072,000","5,027,000","32,045,000",13.6,87,0,,,
,Sub Total,"37,072,000","5,027,000","32,045,000",13.6,87,0,,,
Town Municipality,,,,,,87,0,,,
"General Administration
and Support Services","General Administration
and Support Services","193,425,978","6,260,000","187,165,978",3.2,87,0,,,
,Sub Total,"193,425,978","6,260,000","187,165,978",3.2,87,0,,,
Grand Total,,"10,440,738,131","1,441,590,002","8,999,148,129",13.8,87,0,,,
"Department of Agriculture, Livestock, Fisheries, and Food Security",,,,,,91,1,,,
"Policy Planning, Gener-
al Administration and
Support Services",Policy and Planning Services,,,,0.0,91,1,"4,000,000",-,"4,000,000"
,"General Administration and Sup-
port Services",,,,21.0,91,1,"151,127,711","31,747,699","119,380,012"
,Sub total,,,,20.5,91,1,"155,127,711","31,747,699","123,380,012"
"Crop, Land and Agri-
business Development
Services",Crop Development Services,,,,0.0,91,1,"7,272,161",-,"7,272,161"
,"Agribusiness Development Ser-
vices",,,,0.0,91,1,"14,000,000",-,"14,000,000"
,Land Development Services,,,,0.0,91,1,-,-,-
,"National Agriculture Rural Inclu-
sive Growth",,,,0.0,91,1,"279,115,289",-,"279,115,289"
,"Agriculture Sector Development
Support Programme",,,,0.0,91,1,"31,096,673",-,"31,096,673"
,Sub total,,,,0.0,91,1,"331,484,123",-,"331,484,123"
"Food Security Enhance-
ment Services",Farm Input Access Services,,,,0.0,91,1,"20,000,000",-,"20,000,000"
,"Sub Sector Infrastructure Devel-
opment Services",,,,0.0,91,1,"10,815,877",-,"10,815,877"
,Sub total,,,,0.0,91,1,"30,815,877",-,"30,815,877"
"Fisheries Resources De-
velopment Services",Capture Fisheries,,,,0.0,91,1,"12,000,000",-,"12,000,000"
,Farmed Fish Production,,,,0.0,91,1,"8,000,000",-,"8,000,000"
,Sub total,,,,0.0,91,1,"20,000,000",-,"20,000,000"
"Livestock Development
Programme","Livestock Improvement and De-
velopment",,,,0.0,91,1,"2,939,000",-,"2,939,000"
,"Livestock Products Value Addition
and Marketing",,,,0.0,91,1,"19,910,000",-,"19,910,000"
,"Livestock Health and Disease
Management",,,,0.0,91,1,"9,151,000",-,"9,151,000"
,Sub total,,,,0.0,91,1,"32,000,000",-,"32,000,000"
"Department of Tourism, Sports, Youth Gender, Culture, and Social Services",,,,,,91,1,,,
"Policy, Planning and
General Administration
services","General Administration and Sup-
port Services",,,,5.0,92,0,"40,204,628","2,000,000","38,204,628"
,Policy and Planning Services,,,,0.0,92,0,"19,632,110",-,"19,632,110"
,Sub total,,,,3.3,92,0,"59,836,738","2,000,000","57,836,738"
