Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs,) Absorption (%),page_number,table_index,Variance (Kshs),Absorption (%)
"P3: General Administration Plan-
ning and Support Services","SP3.1: General Admin-
istration services","26,145,987","5,089,995",,,79,0,"21,055,992",19.5
Sub Total,,"188,713,874","36,738,055",,,79,0,"151,975,819",19.5
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING",,,,,,79,0,,
"P1: General Administration Plan-
ning and Support Services","SP1.1: General Admin-
istration Services","141,919,327","743,655",,,79,0,"141,175,672",0.5
P2: Roads Transport,"SP2.1: Road Infrastruc-
ture and Public Works","1,064,394,953","5,577,412",,,79,0,"1,058,817,541",0.5
58,,,,,,79,0,,
P3: Energy and housing,"SP3.1: Energy and
Housing","212,878,991","1,115,482",,,80,0,"211,763,508",0.5
Sub Total,,"1,419,193,270","7,436,549",,,80,0,"1,411,756,721",0.5
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,80,0,,
"P1: General Administration, Plan-
ning and Support Services","SP1.1:General Admin-
istration and Support
Services","210,738,633","30,235,350",,,80,0,"180,503,283",14.4
"P2:Quality Assurance and Stan-
dards","SP2.1: Quality Assur-
ance and standards","105,369,316","15,117,675",,,80,0,"90,251,641",14.4
"P3: ECDE and Tertiary Education
(Polytechnics)","SP3.1: ECDE and
Tertiary Education
(Polytechnics)","210,738,633","30,235,350",,,80,0,"180,503,283",14.4
Sub Total,,"526,846,582","75,588,375",,,80,0,"451,258,207",14.4
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,80,0,,
"P1: Physical Planning and Urban
Development","SP1.1: Physical Planning
Services","11,688,070","761,658",,,80,0,"10,926,412",6.5
,"SP1.2: Establishment
and Promotion of Land
Policy","16,363,297","1,066,322",,,80,0,"15,296,976",6.5
,"SP1.3: Environmental
conservation","11,688,070","761,658",,,80,0,"10,926,412",6.5
