Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,Approved Budget (Kshs),Variance
"Administrative and Support Ser-
vices","Supervision and
Management of
Projects","137,738,318",-,"137,738,318",-,334,0,,
"Administrative and Support Ser-
vices","Administrative and
Support Services","764,700,332","121,896,345","642,803,987",15.9,334,0,,
Subtotal,,"1,344,313,101","121,896,345","1,222,416,756",9.1,334,0,,
County Assembly,,,,,-,334,0,,
Legislative and Oversight Arm,"Legislative and
Oversight Arm","215,720,000","41,367,940","174,352,060",19.2,334,0,,
"General Administrative and Sup-
port Services","General Adminis-
trative and Support
Services","825,251,665","108,192,577","717,059,088",13.1,334,0,,
Security Services,Security Services,"7,950,000","2,944,197","5,005,803",37.0,334,0,,
Subtotal,,"1,048,921,665","152,504,714","896,416,951",14.5,334,0,,
Grand Total,,"9,253,170,349","565,589,379","8,083,048,736",6.1,334,0,,
,,,,,,338,1,,(Kshs.)
,"Adjudication, registry and
settlement",,-,,-,338,1,"28,970,100","28,970,100"
102014110,"Delineation & adjudication
of community land",,-,,-,338,1,"28,970,100","28,970,100"
,Spatial Planning,,-,,-,338,1,"29,996,681","29,996,681"
103044110,Spatial Planning,,-,,-,338,1,"29,996,681","29,996,681"
,"Formulation of community
land policy and regulations",,"105,000",,0.6,338,1,"18,306,895","18,201,895"
104024110,Urban Centre Mgt,,-,,-,338,1,"2,818,000","2,818,000"
104074110,Urban Centre Mgt,,"105,000",,0.7,338,1,"15,488,895","15,383,895"
,"Compulsory land acquisi-
tion for public utilities",,"266,000",,2.7,338,1,"9,915,561","9,649,561"
105014110,"Land acquisition for public
utilities",,"266,000",,2.7,338,1,"9,915,561","9,649,561"
,"Establishment and rehabil-
itation of public utilities in
Lodwar",,-,,-,338,1,"15,427,500","15,427,500"
109014110,"Improvement of Moi Gar-
den Stadia",,-,,-,338,1,"15,427,500","15,427,500"
,"Revival of Turkana Fisher-
men Co-op. society",,-,,-,338,1,"70,100,000","70,100,000"
110044110,"Revival of Turkana Fisher-
men Co-op. society",,-,,-,338,1,"27,900,000","27,900,000"
110054110,"Revival of Turkana Fisher-
men Co-op. society",,-,,-,338,1,"2,400,000","2,400,000"
110064110,"Revival of Turkana Fisher-
men Co-op. society",,-,,-,338,1,"20,000,000","20,000,000"
110074110,Spate Irrigation Technology,,-,,-,339,0,"14,300,000","14,300,000"
110084110,Rehabilitation,,-,,-,339,0,"3,000,000","3,000,000"
110094110,Soil & Water Conservation,,-,,-,339,0,"2,500,000","2,500,000"
,"Fish market infrastructure/
fish value addition",,"366,850",,0.6,339,0,"62,581,789","62,214,939"
111014110,"Fish market infrastructure/
fish value addition",,-,,-,339,0,"1,286,707","1,286,707"
111024110,Fisheries livelihood support,,-,,-,339,0,"49,604,051","49,604,051"
111034110,"Fisheries Extension Ser-
vices",,-,,-,339,0,"1,408,941","1,408,941"
111044110,"Fisheries resource manage-
ment",,"366,850",,9.0,339,0,"4,090,000","3,723,150"
111054110,"Fisheries resource manage-
ment",,-,,-,339,0,"1,200,000","1,200,000"
111064110,"Fisheries resource manage-
ment",,-,,-,339,0,"2,432,000","2,432,000"
111084110,"Fish Farming & Aquacul-
ture",,-,,-,339,0,"2,560,090","2,560,090"
,"Sustainable management of
fisheries resources",,-,,-,339,0,"55,362,229","55,362,229"
115014110,Frame survey,,-,,-,339,0,"34,562,229","34,562,229"
115024110,Fish Stock assessment,,-,,-,339,0,"5,800,000","5,800,000"
115034110,"Monitoring, Control and
Surveillance",,-,,-,339,0,"4,800,000","4,800,000"
115044110,"Resource monitoring facil-
ities",,-,,-,339,0,"10,200,000","10,200,000"
,"Livestock breed improve-
ment",,-,,-,339,0,"113,309,625","113,309,625"
117014110,"Establish livestock Multi-
plication and breeding Cen-
tre.",,-,,-,339,0,"22,189,972","22,189,972"
117034110,"Provision of Livestock Ex-
tension services",,-,,-,339,0,"4,819,653","4,819,653"
117054110,"Livestock multiplication
and breeding centre",,-,,-,339,0,"38,100,000","38,100,000"
117074110,Livestock Value Chain,,-,,-,339,0,"39,700,000","39,700,000"
117084110,Skills Devt,,-,,-,339,0,"8,500,000","8,500,000"
,General Administration,,"612,650",,0.2,339,0,"299,113,718","298,501,068"
125014110,Rural Administration,,"88,710",,0.1,339,0,"152,985,184","152,896,474"
125024110,"General Administration and
Support Services- Pastoral
Economy and",,"523,940",,1.0,339,0,"53,614,199","53,090,259"
125034110,"General Administration,
Planning and Support Ser-
vices – Lands General Ad-
ministration, Planning and
Support Services - Lands",,-,,-,339,0,"92,514,335","92,514,335"
,Agriculture Programme,,-,,-,339,0,"91,695,571","91,695,571"
126044110,"Agri-nutrition/Urban &
peri-urban agriculture",,-,,-,339,0,"6,117,628","6,117,628"
126084110,"Agricultural Sector De-
velopment Support Pro-
gramme (ASDSP)",,-,,-,339,0,"49,077,943","49,077,943"
126104110,Agricultural Mechanization,,-,,-,339,0,"5,700,000","5,700,000"
126114110,Agric market Access,,-,,-,339,0,"1,800,000","1,800,000"
126124110,Agric Extension & Devt,,-,,-,339,0,"22,000,000","22,000,000"
126134110,Subsidy & Support,,-,,-,339,0,"4,000,000","4,000,000"
126144110,Pest Control & Mgt,,-,,-,339,0,"3,000,000","3,000,000"
,Land Governance,,-,,-,339,0,"124,884,371","124,884,371"
,,,-,,-,340,0,"277,065,502","277,065,502"
129014110,NARIGP,,-,,-,340,0,"277,065,502","277,065,502"
,,,-,,-,340,0,"206,000,000","206,000,000"
130014110,DRNKP/KfW,,-,,-,340,0,"206,000,000","206,000,000"
,,,-,,-,340,0,"120,206,667","120,206,667"
134014110,"Emergency Locust Re-
sponse Project",,-,,-,340,0,"120,206,667","120,206,667"
,Develop and maintain roads,,"1,205,540",,0.4,340,0,"306,625,681","305,420,141"
201054110,"Annual Roads Inventory
and Conditional Survey
(ARICS)",,"335,540",,13.4,340,0,"2,500,000","2,164,460"
201074110,"Roads maintenance levy
fund(RMLF)",,-,,-,340,0,"297,125,681","297,125,681"
201094110,Roads,,"870,000",,12.4,340,0,"7,000,000","6,130,000"
,"Develop and maintain staff
housing and public offices",,-,,-,340,0,"5,000,000","5,000,000"
202044110,"Protection and gabion
works of Lokichar river",,-,,-,340,0,"5,000,000","5,000,000"
,"Develop and maintain other
public works",,"900,000",,21.7,340,0,"4,150,000","3,250,000"
203164110,Capacity Building,,"900,000",,50.0,340,0,"1,800,000","900,000"
203184110,"Professional Capacity
Building",,-,,-,340,0,"2,350,000","2,350,000"
,General Administration,,"4,616,550",,2.1,340,0,"217,728,312","213,111,762"
205014110,General Administration,,"4,616,550",,2.6,340,0,"178,935,299","174,318,749"
205024110,"General Administration-
Public works",,-,,-,340,0,"38,793,013","38,793,013"
,,,-,,-,340,0,"1,800,000","1,800,000"
206014110,Mechanical Services,,-,,-,340,0,"1,800,000","1,800,000"
,,,-,,-,340,0,"1,800,000","1,800,000"
207014110,Structural Services,,-,,-,340,0,"1,800,000","1,800,000"
,,,-,,-,340,0,"1,500,000","1,500,000"
208014110,Electrical Services,,-,,-,340,0,"1,500,000","1,500,000"
,,,"1,180,500",,13.1,340,0,"9,000,000","7,819,500"
209014110,Building Inspectorate,,"1,180,500",,13.1,340,0,"9,000,000","7,819,500"
,,,"231,600",,15.4,340,0,"1,500,000","1,268,400"
210014110,Architectural Services,,"231,600",,15.4,340,0,"1,500,000","1,268,400"
,"Cooperative Societies De-
velopment & Performance
Improvement",,"148,509,827",,68.5,340,0,"216,803,800","68,293,973"
302014110,"Cooperatives Development
Fund",,"470,750",,10.9,340,0,"4,300,000","3,829,250"
302024110,Value Addition Initiatives,,"2,962,025",,32.9,340,0,"9,000,000","6,037,975"
302034110,"Business Development and
Training Services",,"717,500",,20.5,340,0,"3,500,000","2,782,500"
302044110,Liquor control Programme,,-,,-,340,0,"2,500,000","2,500,000"
302054110,"Cooperative societies de-
velopment and revival pro-
grammes",,"833,052",,33.3,340,0,"2,500,000","1,666,948"
302064110,Legal Metrology Services,,"731,500",,30.5,340,0,"2,400,000","1,668,500"
302074110,"Verification of traders
equipment",,"1,945,000",,33.0,340,0,"5,900,000","3,955,000"
302084110,Consumer rights education,,-,,-,340,0,"2,270,000","2,270,000"
302104110,"Standards and Anti-Coun-
terfeit Services",,-,,-,340,0,"2,000,000","2,000,000"
302114110,"Market Infrastructure De-
velopment",,-,,-,340,0,"32,433,800","32,433,800"
302124110,"Industrial Development and
Investments",,"850,000",,8.5,341,0,"10,000,000","9,150,000"
302134110,Biashara Fund,,"140,000,000",,100.0,341,0,"140,000,000",-
,"Modern Physical Markets
Infrastructure",,"30,000,000",,45.1,341,0,"66,450,000","36,450,000"
303014110,"Construction & Develop-
ment of Modern Physical
Market",,-,,-,341,0,"4,800,000","4,800,000"
303024110,"Co-operative Marketing,
Value Addition, Surveys &
Research",,-,,-,341,0,"7,885,000","7,885,000"
303034110,"Co-operative Education,
Training, Exchange and
Ushirika Day Celeb",,-,,-,341,0,"8,365,000","8,365,000"
303044110,"Strengthening of Key Dor-
mant Co-operative Societ-
ies",,-,,-,341,0,"8,700,000","8,700,000"
303054110,"Formulation of Cooperative
Policy and Legal Frame
Work",,-,,-,341,0,"6,700,000","6,700,000"
303064110,"Cooperative Development
Fund",,"30,000,000",,100.0,341,0,"30,000,000",-
,General Administration,,-,,-,341,0,"86,596,636","86,596,636"
307014110,General Administration,,-,,-,341,0,"86,596,636","86,596,636"
,Gender Promotion,,-,,-,341,0,"21,286,000","21,286,000"
308014110,"Gender Empowerment and
advocacy",,-,,-,341,0,"7,686,000","7,686,000"
308024110,"Gender Mainstreaming and
Coordination",,-,,-,341,0,"3,387,000","3,387,000"
308034110,"Legal Compliance and Re-
dress",,-,,-,341,0,"7,213,000","7,213,000"
308044110,"Promotion of Gender
Equality and Empowerment",,-,,-,341,0,"3,000,000","3,000,000"
,Youth Affairs Development,,"100,000,000",,87.6,341,0,"114,100,000","14,100,000"
309014110,"Youth Coordination and
Representation",,-,,-,341,0,"5,600,000","5,600,000"
309024110,Youth Employment Scheme,,-,,-,341,0,"4,000,000","4,000,000"
309034110,Youth Rare skills,,-,,-,341,0,"4,500,000","4,500,000"
309044110,Youth and Women Fund,,"100,000,000",,100.0,341,0,"100,000,000",-
,"General Administration,
Planning and support ser-
vices",,"10,208,056",,1.7,341,0,"614,264,886","604,056,830"
401014110,"General Administration,
Planning and support ser-
vices",,"10,208,056",,6.8,341,0,"149,143,394","138,935,338"
401074110,Health Facilities,,-,,-,341,0,"465,121,492","465,121,492"
,Support to Health Programs,,"1,163,600",,2.0,341,0,"58,830,831","57,667,231"
402024110,"HIV & AIDS, including
community-based HIV in-
terventions",,-,,-,341,0,"500,000","500,000"
402034110,TB & Leprosy,,-,,-,341,0,"500,000","500,000"
402044110,Malaria,,-,,-,341,0,"600,000","600,000"
402054110,"NTDs(neglected tropical
diseases)",,-,,-,341,0,"500,000","500,000"
402064110,Nutrition,,-,,-,341,0,"3,000,000","3,000,000"
402074110,Reproductive health,,-,,-,341,0,"4,954,593","4,954,593"
402084110,Disease surveillance,,-,,-,341,0,"1,100,000","1,100,000"
402094110,EPI/outreaches,,-,,-,341,0,"1,400,000","1,400,000"
402114110,Health promotion,,-,,-,341,0,"13,776,238","13,776,238"
402124110,"Environmental health ser-
vices",,-,,-,342,0,"1,500,000","1,500,000"
402134110,"Emergency preparedness &
disaster response",,-,,-,342,0,"1,500,000","1,500,000"
402164110,mainstreaming,,-,,-,342,0,"500,000","500,000"
402194110,"Community Health Ser-
vices",,"1,163,600",,4.0,342,0,"29,000,000","27,836,400"
,,,-,,-,342,0,"91,420,000","91,420,000"
410014110,Laboratory Services,,-,,-,342,0,"1,300,000","1,300,000"
410024110,Blood Transfusion Services,,-,,-,342,0,"2,800,000","2,800,000"
410034110,Rehabilitative Services,,-,,-,342,0,"1,000,000","1,000,000"
410044110,"Referrals and Emergency
Services",,-,,-,342,0,"1,400,000","1,400,000"
410054110,Radiology Services,,-,,-,342,0,"950,000","950,000"
410064110,Dental Services,,-,,-,342,0,"600,000","600,000"
410074110,Clinical Services,,-,,-,342,0,"1,000,000","1,000,000"
410084110,Nursing Services,,-,,-,342,0,"1,000,000","1,000,000"
410094110,"Rural Health Facility Sup-
port",,-,,-,342,0,"51,618,375","51,618,375"
410104110,"Sub-County Health Facili-
ties Support",,-,,-,342,0,"4,000,000","4,000,000"
410114110,UHC Turkana,,-,,-,342,0,"25,751,625","25,751,625"
,,,-,,-,342,0,"8,170,863","8,170,863"
411014110,Medical Supplies,,-,,-,342,0,"8,170,863","8,170,863"
,,,"294,840",,0.1,342,0,"221,000,000","220,705,160"
412014110,Medical Supplies,,-,,-,342,0,"218,000,000","218,000,000"
412024110,Health mgt,,"294,840",,9.8,342,0,"3,000,000","2,705,160"
,,,-,,-,342,0,"7,000,000","7,000,000"
413014110,Health Information & Mgt,,-,,-,342,0,"2,500,000","2,500,000"
413024110,Quality Assurance,,-,,-,342,0,"1,000,000","1,000,000"
413044110,Electronic Medical Records,,-,,-,342,0,"500,000","500,000"
413054110,"Monitoring & Evaluation
Health",,-,,-,342,0,"1,500,000","1,500,000"
413064110,Research & Development,,-,,-,342,0,"1,000,000","1,000,000"
413074110,Policy & Planning Services,,-,,-,342,0,"500,000","500,000"
,,,-,,-,342,0,"19,200,000","19,200,000"
414014110,Rehabilitation & Treatment,,-,,-,342,0,"4,500,000","4,500,000"
414024110,"Public Education & Aware-
ness",,-,,-,342,0,"5,800,000","5,800,000"
414034110,Liquor Licensing,,-,,-,342,0,"7,400,000","7,400,000"
414044110,"Training & Capacity Build-
ing",,-,,-,342,0,"1,500,000","1,500,000"
,"Social protection programs/
Affirmative Action",,-,,-,342,0,"83,302,535","83,302,535"
503024110,"Construction of PWDs
multi-purpose resource cen-
tre",,-,,-,342,0,"23,982,535","23,982,535"
503074110,"Marginalised and Minority
groups support",,-,,-,342,0,"4,520,000","4,520,000"
503084110,Child Rescue Centres,,-,,-,342,0,"27,000,000","27,000,000"
503094110,Child Care & Protection,,-,,-,342,0,"27,800,000","27,800,000"
,Sports and arts programme,,"299,500",,0.6,342,0,"48,380,822","48,081,322"
504014110,Construction of sport Stadia,,"299,500",,1.4,342,0,"21,382,266","21,082,766"
504044110,Stadia,,-,,-,342,0,"26,998,556","26,998,556"
,General Administration,,"375,194,335",,70.6,342,0,"531,417,954","156,223,619"
506014110,General Administration,,"1,166,200",,0.7,342,0,"157,417,954","156,251,754"
506024110,"Turkana Education and
Skill Development Fund",,"374,000,000",,100.0,343,0,"374,000,000",-
,Vocational Training,,-,,-,343,0,"57,476,413","57,476,413"
508014110,"Youth Polytechnic Infra-
structure",,-,,-,343,0,"24,500,000","24,500,000"
508024110,Training and Development,,-,,-,343,0,"10,110,000","10,110,000"
508034110,Co-Curricular Activities,,-,,-,343,0,"10,156,519","10,156,519"
508044110,"Youth Polytechnics- Condi-
tional",,-,,-,343,0,"12,709,894","12,709,894"
,Public Relations,,-,,-,343,0,"3,528,000","3,528,000"
509014110,Publicity,,-,,-,343,0,"1,620,000","1,620,000"
509024110,Research and Sensitisation,,-,,-,343,0,"1,908,000","1,908,000"
,Early Childhood Education,,"3,242,880",,0.9,343,0,"357,111,277","353,868,397"
510014110,School Feeding,,"2,959,080",,2.2,343,0,"131,600,000","128,640,920"
510024110,Quality Improvement,,"283,800",,3.5,343,0,"8,006,980","7,723,180"
510034110,Infrastructure Development,,-,,-,343,0,"201,552,682","201,552,682"
510044110,"Support to Pre-Primary
Training",,-,,-,343,0,"15,951,615","15,951,615"
,"General Administration,
Planning and Support Ser-
vices",,"609,978,966",,11.1,343,0,"5,475,586,095","4,865,607,129"
701014110,"General Administration
Services",,"7,413,290",,1.5,343,0,"494,828,484","487,415,194"
701094110,"General Administration -
Economic planning",,"483,000",,0.6,343,0,"78,606,690","78,123,690"
701114110,Security Access Installation,,-,,-,343,0,"4,000,000","4,000,000"
701154110,"General Admin Planning &
Support",,"1,384,930",,7.4,343,0,"18,692,000","17,307,070"
701164110,"General Administration,
Planning and Support Ser-
vices-Public Ser",,"585,497,376",,12.8,343,0,"4,562,405,630","3,976,908,254"
701174110,"General Administration,
Planning and Support Ser-
vices-Administer",,"486,420",,1.0,343,0,"50,869,594","50,383,174"
701194110,"General Administration,
Planning and Support Ser-
vices- Office of",,"12,284,810",,7.2,343,0,"170,230,697","157,945,887"
701204110,"General Administration,
Planning and Support Ser-
vices- Liaison O",,"1,803,570",,8.3,343,0,"21,699,000","19,895,430"
701214110,"General Admin Planning &
Support",,"625,570",,2.6,343,0,"24,254,000","23,628,430"
701224110,"Covid-19 Emergency Re-
sponse Fund",,-,,-,343,0,"50,000,000","50,000,000"
,Governor Residence,,"1,429,257",,13.8,343,0,"10,370,527","8,941,270"
702014110,"Construction of Governor's
residence",,"392,585",,19.7,343,0,"1,996,836","1,604,251"
702024110,"Documentation, communi-
cation policy and strategy",,"231,000",,8.7,343,0,"2,662,450","2,431,450"
702034110,"Civic Education and Public
Sensitization",,"805,672",,19.6,343,0,"4,104,579","3,298,907"
