Code,Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Department of Office of The Governor and County Administration,,,,,,140,0
51500,Pre-primary policy and legislation,"21,868,878",-,"21,686,878",-,140,0
71100,"County planning & development coordination
services","22,490,969","- 30,000","22,790,969",-,140,0
70400,County public service board,"481,461,106","26,704,260","454,756,846",5.5,140,0
20600,Mining efficiency,"29,868,417",-,"29,868,417",-,140,0
70300,"Inter-governmental relations, communication
& protocol","22,555,443","102,720","22,452,723",0.5,140,0
70200,"Management of county affairs & special pro-
grammes","2,572,417","- 28,000","2,572,417",-,140,0
70100,General administration and planning services,"66,467,458",-,"66,467,458",-,140,0
,Sub total,"647,284,688","26,698,980","620,585,708",4.1,140,0
Department of Health Services,,,,,,140,0
40500,Health Sector Support Program [DANIDA],"202,341,389","21,193,250","181,148,139",10.5,140,0
40800,Kisumu County Referral hospital,"26,740,133",-,"26,740,133",-,140,0
40200,Health curative services,"141,297,510","22,878,102","118,419,408",16.2,140,0
40100,Preventive & promotive health services,"2,550,000",-,"2,550,000",-,140,0
40700,"Jaramogi Oginga Odinga Teaching & Referral
Hospital","369,070,349",-,"369,070,349",-,140,0
40300,"General administration, operational research
and planning","2,972,163,895","1,121,214,192","1,850,949,703",37.7,140,0
40900,Medical and Bio – Medical services,"338,848,000",-,"338,848,000",-,140,0
,Sub total,"4,053,011,276","1,165,285,544","2,887,725,732",28.8,140,0
"Department of Tourism, Trade and Heritage",,,,,,140,0
50700,County communication & ICT Services,"2,288,600",-,"2,288,600",-,140,0
30300,Tourism development and management,"20,273,860",-,"20,273,860",-,140,0
10100,General administration and planning services,"68,082,932","166,000","67,916,932",0.2,140,0
50600,Sports management and development,"114,329,971",-,"114,329,971",-,140,0
20900,Communication services,"2,335,000",-,"2,335,000",-,140,0
90700,,"9,120,100",-,"9,120,100",-,140,0
,Sub total,"216,430,463","166,000","216,264,463",0.1,140,0
Department of Transport and Infrastructure,,,,,,140,0
30400,Administration and planning support,"106,996,863","14,376,523","92,620,340",13.4,140,0
20100,County roads and public works management,"506,104,656","30,209,148","475,895,508",6.0,140,0
20700,Roads general administration and planning,"226,641,161",-,"226,641,161",-,140,0
,Sub total,"839,742,680","44,585,671","795,157,011",5.3,140,0
"Department of Lands, Housing and Physical Planning",,,,,,140,0
10300,Physical planning and housing,"3,180,000",-,"3,180,000",-,140,0
30400,Administration and planning,"1,500,000",-,"1,500,000",-,140,0
20100,County roads and public works management,"181,107,787",-,"181,107,787",-,140,0
10200,County survey services,"2,520,000",-,"2,520,000",-,140,0
10900,Urban planning and development control,"20,030,000","145,000","1,858,000",0.7,140,0
,Sub total,"208,337,787","145,000","208,192,787",0.1,140,0
"Department of Agriculture, Livestock and Fisheries",,,,,,140,0
70700,Management information system,"963,750",-,"963,750",-,140,0
10700,"Promotion of market access and product de-
velopment","1,456,700",-,"1,456,700",-,140,0
70100,General administration and planning services,"810,550",-,"810,550",-,140,0
10100,General and planning services,"647,049,308","70,085,516","576,963,792",10.8,140,0
10500,Agriculture productivity improvement,"52,853,697",-,"52,853,697",-,140,0
10400,Promotion of sustainable land use,"38,765,150",-,"38,765,150",-,140,0
10600,Agriculture productivity improvement,"7,647,500","2,997,000","4,650,000",39.2,140,0
,Sub total,"749,546,655","73,082,516","676,464,139",9.8,140,0
"Department of Education, Gender, Culture and Sports",,,,,,140,0
51700,Youth training and legislation,"124,823,192",-,"124,823,192",-,140,0
50500,Early childhood education management,"428,750,000",-,"428,750,000",-,140,0
70100,General administration and planning services,"2,521,067",-,"2,521,067",-,140,0
20800,ICT services,"32,852,339",-,"32,852,339",-,140,0
50200,Youth training and development,"1,700,000",-,"1,700,000",-,140,0
10100,General administration and planning services,"311,717,719",-,"311,717,719",-,140,0
50400,Gender and social development,"3,755,00",-,"3,755,000",-,140,0
,Sub total,"906,119,317",-,"906,119,317",-,140,0
"Department of Water, Environment and Natural Resources",,,,,,141,0
20600,Mining efficiency,"2,259,677","5,250","2,254,427",0.2,141,0
90200,"Conservation and management of natural eco-
system","324,179,792","46,600","324,133,192",-,141,0
70400,County public service board,"50,000",-,"50,000",-,141,0
30100,General administration and planning services,"6,355,446",-,"6,355,446",-,141,0
90600,Pollution control,"1,172,840",-,"1,172,840",-,141,0
10100,General administration and planning services,"145,402,856","19,315","145,383,541",-,141,0
20500,Energy production,"1,173,000",-,"1,173,000",-,141,0
90400,Environment planning and management,"4,380,998",-,"4,380,998",-,141,0
,Sub total,"484,974,609","71,165","484,903,444",-,141,0
Department of City of Kisumu,,,,,,141,0
40100,Preventive and Promotive health services,"1,598,454,802","286,197,268","1,312,257,534",17.9,141,0
10800,Revenue generation and management,"30,649,231","7,813,673","22,835,558",25.5,141,0
70400,County public service board,"48,828,909",-,"48,828,909",-,141,0
10900,Urban planning and development control,"118,517,609","1,479,191","117,038,418",1.2,141,0
50100,Early childhood development,"51,274,053","7,495,050","43,779,003",14.6,141,0
,Sub total,"1,847,724,604","302,985,182","1,544,739,422",16.4,141,0
Department of County Assembly,,,,,,141,0
70500,Public finance management,"11,090,800","1,209,419","9,881,381",10.9,141,0
70800,Legislation and oversight services,"195,281,489","35,982,870","159,298,619",18.4,141,0
71000,County assembly service board,"338,540,574","42,573,777","295,966,797",12.6,141,0
70100,General administration and planning services,"231,360,771","33,298,981","198,061,790",14.4,141,0
20300,"Administration, planning and support ser-
vices","35,647,860","2,976,013","32,671,847",8.3,141,0
,Sub total,"811,921,494","116,041,061","695,880,433",14.3,141,0
Department of County Public Service Board,,,,,,141,0
70400,County public service board,"76,784,043","153,727","76,630,316",0.2,141,0
,Sub total,"76,784,043","153,727","76,630,316",0,141,0
Department of Finance and Economic Planning,,,,,,141,0
20300,"Administration, planning and support ser-
vices","1,147,659,492","67,397,252","1,080,262,240",5.9,141,0
70600,"County planning & development coordination
services","11,160,000",-,"11,160,000",-,141,0
10900,Urban planning & development control,"47,000,000","307,605","46,692,395",0.7,141,0
20100,County roads & public works management,"35,250,000",-,"35,250,000",-,141,0
70300,"Intergovernmental relations, communication
and protocol","15,000,000",-,"15,000,000",-,141,0
70500,Public financial management,"204,819,146","1,798,590","203,020,556",0.9,141,0
70600,"County planning & development coordination
services","44,346,674",-,"44,346,674",-,141,0
70900,"Representation services and public participa-
tion","15,440,000",-,"15,440,000",-,141,0
,Sub total,"1,520,675,312","69,503,447","1,451,171,865",4.6,141,0
"Department of Business, Co – operatives and Marketing",,,,,,141,0
30500,Co-operative development and management,"51,528,231",-,"51,528,231",-,141,0
70400,County public service board,"163,434,701","9,540,353","153,894,348",5.8,141,0
30100,"General administration and policy making
services","11,550,000",-,"11,550,000",-,141,0
30200,Regulation and verification of weights,"1,347,500",-,"1,347,500",-,141,0
50400,Gender and social development,"925,000",-,"925,000",-,141,0
30600,Industrial development,"7,250,000",-,"7,250,000",-,141,0
50800,Alcoholic drinks,"1,350,000",-,"1,350,000",-,141,0
,Sub total,"237,385,432","9,540,353","227,845,079",4.0,141,0
Department Energy and Industry,,,,,,141,0
20300,"Administration, planning and support ser-
vices","3,450,000",-,"3,450,000",-,141,0
20500,Energy production,"15,605,924",-,"15,605,924",-,141,0
70400,County public service board,"40,276,467",500,"40,275,967",-,141,0
20600,Mining efficiency,"121,085,000","40,000","121,045,000",-,141,0
,Sub total,"180,417,391","40,500","180,376,891",-,141,0
Grand Total,,"12,780,355,751","1,808,299,148","10,972,056,603",14.1,141,0
