Programme,Sub-Programme,Approved Budget,Actual Payments,Variance,Expenditure %,page_number,table_index
None,,(Kshs.),(Kshs.),(Kshs.),,228,0
"Department of Agriculture, Livestock and Fisheries",,"86,792,994","39,434,975","47,358,019",45.4,228,0
"Department of Agriculture, Livestock and Fisheries","Promotion of Dairy Production, Breeding and
Disease Control","78,792,994","39,434,975","39,358,019",50,228,0
"Department of Agriculture, Livestock and Fisheries","Promotion of Value Addition of Livestock and
Livestock Products","8,000,000",-,"8,000,000",0,228,0
"Department of Agriculture, Livestock and Fisheries","Promotion of Non-ruminants and Emerging live-
stock Enterprises",-,-,-,,228,0
"Department of Agriculture, Livestock and Fisheries",Promotion of Apiculture,-,-,-,,228,0
"Department of Agriculture, Livestock and Fisheries",,"4,343,115","187,100","4,156,015",4.3,228,0
"Department of Agriculture, Livestock and Fisheries",Aquaculture development,"4,343,115","187,100","4,156,015",4.3,228,0
"Department of Agriculture, Livestock and Fisheries",Development of capture fisheries resources,-,-,-,,228,0
"Department of Agriculture, Livestock and Fisheries","Fish quality assurance, value addition and market-
ing",-,-,-,,228,0
"Department of Agriculture, Livestock and Fisheries",,"479,778,843","21,519,617","458,259,226",4.5,228,0
"Department of Agriculture, Livestock and Fisheries","Extension, Research and Training",-,-,-,,228,0
"Department of Agriculture, Livestock and Fisheries",Crop Production and Food Security,"479,778,843","21,519,617","458,259,226",4.5,228,0
"Department of Agriculture, Livestock and Fisheries","Farm land utilization, Conservation and Mecha-
nization",-,-,-,,228,0
"Department of Agriculture, Livestock and Fisheries",Agribusiness Development and Marketing,-,-,-,,228,0
"Department of Lands, Physical Planning and Housing",,"1,699,878,933","6,520,905","1,693,358,028",0.4,228,0
"Department of Lands, Physical Planning and Housing",Administration Services,"557,686,294","6,520,905","551,165,389",1.2,228,0
"Department of Lands, Physical Planning and Housing",Infrastructure for Land,"1,142,192,639",-,"1,142,192,639",0,228,0
"Department of Lands, Physical Planning and Housing",,(Kshs.),(Kshs.),(Kshs.),,229,0
"Department of Lands, Physical Planning and Housing",,"12,440,000","614,997","11,825,003",4.9,229,0
"Department of Lands, Physical Planning and Housing",Develop County Spatial Plan,"7,050,000","352,265","6,697,735",5,229,0
"Department of Lands, Physical Planning and Housing",GIS Data Base creation,-,-,-,,229,0
