Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption Rate
(%)",page_number,table_index
,"Mogotio Sub County Administra-
tion Services","16,963,759","3,570,120","13,393,639",21.0,34,0
,"Baringo Central Sub County Ad-
ministration Services","15,390,615","383,870","15,006,745",2.5,34,0
,"Baringo North Sub County Ad-
ministration Services","17,815,385","1,595,759","16,219,626",9.0,34,0
,"Baringo South Sub County Ad-
ministration Services","19,733,854","844,929","18,888,925",4.3,34,0
,"Tiaty Sub County Administration
Services","18,986,295","718,000","18,268,295",3.8,34,0
,"County Public Service Board Ser-
vices","44,582,329","5,253,693","39,328,636",11.8,34,0
,"Eldama Ravine Sub County Ad-
ministration Services","17,369,324","756,400","16,612,924",4.4,34,0
,,"339,831,100","74,742,954","265,088,146",22.0,34,0
,"Legislative Representation and
Oversight services","339,831,100","74,742,954","265,088,146",22.0,34,0
,,-,-,-,-,34,0
,General administrative services,-,-,-,-,34,0
,,"11,549,860",-,"11,549,860",-,34,0
,ICT Development,-,-,-,-,34,0
,Infrastructure development,"11,549,860",-,"11,549,860",-,34,0
,,"35,635,986","2,828,928","32,807,058",7.9,34,0
,"General administration, planning
& support services","35,635,986","2,828,928","32,807,058",7.9,34,0
,,"55,808,854",-,"55,808,854",-,34,0
,"General administration
,planning & support services","55,808,854",-,"55,808,854",-,34,0
,Support service,-,-,-,-,34,0
,Gender mainstreaming,-,-,-,-,34,0
