Programme,"Sub- Programme
Approved Budget (Kshs)","Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementa-
tion Status (%)",page_number,table_index
"0105004210 P3 Crop Develop-
ment and Management","0105014210 SP1 Lands and Crops De-
velopment","77,644,401","2,346,340","75,298,061",3.0,268,0
,"0105024210 SP2 Food Security Initia-
tives","15,216,436","892,056","14,324,380",5.9,268,0
,Sub total,"92,860,837","3,238,396","89,622,441",3.5,268,0
"WATER, ENVIRONMENT, NATURAL RESOURCES & ENERGY",,,,,,268,0
"1001004210 P1 General Admin-
istration Planning and Support
Services","1001014210 SP1 General Administra-
tion Planning and Support Services","88,430,668","4,349,718","84,080,950",4.9,268,0
,Sub total,"88,430,668","4,349,718","84,080,950",4.9,268,0
"1002004210 P2 Environmental
Management and Protection","1002014210 SP1 County Environment
Management","7,818,420",-,"7,818,420",0.0,268,0
,"1002024210 SP2 Forests Conservation
and Management","1,455,494",-,"1,455,494",0.0,268,0
,Sub total,"9,273,914",-,"9,273,914",0.0,268,0
"1003004210 P3 Natural Re-
sources Services","1003024210 SP2 Soil Conservation
Management","5,796,174","30,000","5,766,174",0.5,268,0
,1003034210 SP3 Mining Services,"1,756,600","18,000","1,738,600",1.0,268,0
,"1003044210 SP4 Water Catchment and
Protection Services","50,203,486","30,000","50,173,486",0.1,268,0
,Sub total,"57,756,260","78,000","57,678,260",0.1,268,0
"1004004210 P4 Water and Sani-
tation Infrastructure","1004014210 SP1 Storm Water Manage-
ment","5,145,059","34,800","5,110,259",0.7,268,0
,"1004024210 SP2 Water and Sanitation
Services","255,435,121","5,453,008","249,982,113",2.1,268,0
,Sub total,"260,580,180","5,487,808","255,092,372",2.1,268,0
EDUCATION AND VOCATIONAL TRAINING,,,,,,268,0
"0501004210 P1 General Admin-
istration Planning and Support
Services","0501014210 SP1 General Administra-
tion Planning and Support Services","153,518,314","7,921,033","145,597,281",5.2,268,0
,Sub total,"153,518,314","7,921,033","145,597,281",5.2,268,0
"0502004210 P3 Youth Training
and Development","SP 0504014210 Revitalization of Youth
Polytechnics","26,921,336","1,391,434","25,529,902",5.2,268,0
,Sub total,"26,921,336","1,391,434","25,529,902",5.2,268,0
"0502004210 P2 Early childhood
Development and Education","0502014210 SP1 Early Childhood De-
velopment and Education","309,826,838","113,695,495","196,131,343",36.7,269,0
,Sub total,"309,826,838","113,695,495","196,131,343",36.7,269,0
"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,,,,269,0
"0401004210 P1 Preventive and
Promotive Health Services","0401044210 SP2 Environmental &
Health Promotion","71,490,325","13,934,110","58,403,520",18.3,269,0
,0402014210 SP1 Nutrition,"13,898,410","2,108,260","11,790,150",15.2,269,0
,"0401054210 SP3 Communicable Dis-
ease Control","86,203,050","18,549,602","61,904,786",28.2,269,0
,"0401064210 SP4 Non-communicable
Disease Prevention & Control","37,877,350","7,221,254","34,991,950",7.6,269,0
,"0401074210 SP5 Reproductive, Mater-
nal, Neonatal, Child and Adolescent
Health","50,307,630","13,086,805","43,086,377",14.4,269,0
,Sub total,"259,776,765","54,900,031","210,176,783",21.1,269,0
0402004210 P2 Curative Health,"0402044210 SP1 County Hospital and
Referral Services","415,462,117","104,478,384","310,983,733",25.1,269,0
,"0402054210 SP2 Free Primary Health
Services","109,362,174","447,290","83,350,933",23.8,269,0
,Sub total,"524,824,291","104,925,674","394,334,666",20.0,269,0
"0403004210 P3 General Admin-
istration Planning and Support
Services","0403014210 SP1 Health Infrastructure
Development","40,879,776","2,885,400","40,432,486",1.1,269,0
,"0403034210 SP2 Human Resource
Management and Development","75,155,826","24,298,264","61,221,716",18.5,269,0
,"0403044210 SP3 Monitoring and Evalu-
ation, Research and Development","4,934,656",-,"4,934,656",0.0,269,0
,"0403054210 SP4 Health Policy, Plan-
ning & Financing","180,156,398","2,503,460","177,652,938",1.4,269,0
,"0403064210 SP5 Health Standards and
Quality Assurance Services","91,340,244","26,011,241","72,790,641",20.3,269,0
,Sub total,"392,466,900","55,698,365","357,032,437",14.2,269,0
"LANDS, HOUSING, PHYSICAL PLANNING & URBAN DEVELOPMENT",,,,,,269,0
"0101004210 P1 General Admin-
istration Planning and Support
Services","0101014210 SP1 Administration, Plan-
ning and Support Services","33,721,711","6,642,589","27,079,122",19.7,269,0
,Sub total,"33,721,711","6,642,589","27,079,122",19.7,269,0
"0102004210 P2 Land policy
Planning and Housing",0102014210 SP1 Land Use Planning,"36,007,344","75,600","35,931,744",0.2,269,0
,"0102034210 SP2 Land Survey and Map-
ping","8,571,690","1,000,000","7,571,690",11.7,269,0
,"0102044210 SP3 Housing Management
Services","853,340","74,700","778,640",8.8,269,0
,Sub total,"45,432,374","1,150,300","44,282,074",2.5,269,0
"0106004210 P3 Urban Centres
Administration","0106014210 SP1 Urban Centre Manage-
ment","82,417,925","5,000,000","77,417,925",6.1,269,0
,Sub total,"82,417,925","5,000,000","77,417,925",6.1,269,0
"ROADS, TRANSPORT & PUBLIC WORKS",,,,,,269,0
"0201004210 P1 General Admin-
istration Planning and Support
Services","0201014210 SP1 General Administra-
tion Planning and Support Services","302,081,428","1,831,984","300,249,444",0.6,269,0
,0201034210 SP2 Firefighting Services,"31,957,137",-,"31,957,137",0.0,269,0
,"0201044210 SP3 Design, Implementa-
tion and Supervision of Public Buildings","10,751,858","590,028","10,161,830",5.5,269,0
,Sub total,"344,790,423","2,422,012","342,368,411",0.7,269,0
"0202004210 P2 Roads and pub-
lic Infrastructure Development","0202014210 SP1 Construction, Rehabil-
itation and Maintenance of Roads and
Bridges","73,069,024",-,"73,069,024",0.0,269,0
,"0202024210 SP2 Design, Supervision
and Rehabilitation of County Buildings","6,931,654",-,"6,931,654",0.0,269,0
,"0202034210 SP3 Street lights Manage-
ment","11,608,766","580,051","11,028,715",5.0,269,0
,"0202044210 SP4 Public Road Transport
and Parking","7,261,449","137,659","7,123,790",1.9,269,0
,Sub total,"98,870,893","717,710","98,153,183",0.7,269,0
"TOURISM, TRADE, ENTERPRISE DEVELOPMENT & COOPERATIVES",,,,,,269,0
"0301004210 P1 General Admin-
istration Planning and Support
Services","0301014210 SP1 General Administra-
tion Planning and Support Services","16,202,722","194,885","16,007,837",1.2,269,0
,Sub total,"16,202,722","194,885","16,007,837",1.2,269,0
"0302004210 P2 Cooperatives
Development and Management","0302014210 SP1 Governance and Ac-
countability","24,071,610","245,800","23,825,810",1.0,270,0
,Sub total,"24,071,610","245,800","23,825,810",1.0,270,0
"0304004210 P4 Tourism Devel-
opment and Promotion","0304014210 SP1 Tourism Promotion
and Marketing","223,956,108","1,982,900","221,973,208",0.9,270,0
,Sub total,"223,956,108","1,982,900","221,973,208",0.9,270,0
"0305004210 P5 Trade Develop-
ment and Promotion","0305014210 SP1 Domestic Trade Devel-
opment","31,577,473","135,282","31,442,191",0.4,270,0
,Sub total,"31,577,473","135,282","31,442,191",0.4,270,0
"0306004210 P6 P1 General Ad-
ministration Planning and Sup-
port Services","0306014210 SP6 SP1 General Adminis-
tration Planning and Support Services","21,081,110","3,846,590","17,234,520",18.2,270,0
,Sub total,"21,081,110","3,846,590","17,234,520",18.2,270,0
"CULTURE, SOCIAL SERVICES, GENDER, SPORTS & YOUTH AFFAIRS",,,,,,270,0
"0901004210 P1 General Admin-
istration Planning and Support
Services","0901014210 SP1 General Administra-
tion Planning and Support Services","44,115,890","6,809,160","37,306,730",15.4,270,0
,Sub total,"44,115,890","6,809,160","37,306,730",15.4,270,0
"0902004210 P2 Culture and So-
cial Services Development","0902014210 SP1 Conservation of Her-
itage","978,000","53,950","924,050",5.5,270,0
,"0902024210 SP2 Development and Pro-
motion of Culture","5,328,170","188,600","5,139,570",3.5,270,0
,"0902034210 SP3 Social Welfare and
Gender","16,438,000",,"16,438,000",0.0,270,0
,"0902044210 SP4 Community Mobiliza-
tion and Development","6,106,692",,"6,106,692",0.0,270,0
,Sub total,"28,850,862","242,550","28,608,312",0.8,270,0
"0903004210 P3 Promotion of
Other Sports Activities","0903014210 SP1 Development and
Management of Sports Facilities","1,085,000",,"1,085,000",0.0,270,0
,Sub total,"1,085,000",-,"1,085,000",0.0,270,0
"0503004210 P3 Sports Develop-
ment","0503034210 SP3 Sports Development,
Training and Competition","39,373,600","2,733,200","36,640,400",6.9,270,0
,Sub total,"39,373,600","2,733,200","36,640,400",6.9,270,0
"0904014210 P1 General Admin-
istration Planning and Support
Services","0904004210 SP1 General Administra-
tion Planning and Support Services","14,546,383","2,226,651","12,319,732",15.3,270,0
,Sub total,"14,546,383","2,226,651","12,319,732",15.3,270,0
COUNTY ASSEMBLY,,,,,,270,0
"0707004210 P1 County Assem-
bly Administration","0707014210 SP1 Legislative and Over-
sight","48,997,492","10,962,654","38,034,838",22.4,270,0
,"0707024210 SP2 County Assembly Ad-
ministration","243,308,595","60,312,164","215,124,830",11.6,270,0
,0707034210 SP3 Representation,"203,296,132","28,183,765","142,983,968",29.7,270,0
,Sub total,"495,602,219","99,458,583","396,143,636",20.1,270,0
Grand Total,,"5,108,601,391","656,149,113","4,452,452,278",12.8,270,0
