Programme,Sub-Programme,"Approved Esti-
mates","Actual Expen-
diture as of 31st
March 2022","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
Programme 1-COUNTY EXECUTIVE,,,,,,595,1
,"SP 1 - (General Administration, plan-
ning and Support Services)","515,743,710.00","285,195,729.55","230,547,980.45",55.30,595,1
,SP 2 -(County Public service Board,"18,597,120.00","7,261,093.75","11,336,026.25",39.04,595,1
,SP 3 -(County Executive affairs),"50,537,415.00","23,212,653.30","27,324,761.70",45.93,595,1
,"SP 4-(Liasion and Intergovernmental
service)","14,482,615.00","11,344,074.70","3,138,540.30",78.33,595,1
TOTAL,,"599,360,860.00","327,013,551.30","272,347,308.70",54.56,595,1
Programme 2 - FINANCE &ECONOMIC PLANNING,,,,,,595,1
,"SP 1(General Administration, plan-
ning and Support Services","445,217,574.00","186,486,459.50","258,731,114.50",41.89,595,1
,SP 2-(Treasury Accounting Services),"6,759,823.00","5,301,400.00","1,458,423.00",78.43,595,1
,"SP 3-(Supply Chain Management ser-
vices)","8,368,000.00","3,588,800.00","4,779,200.00",42.89,595,1
,SP 4-(Resource Mobilization),"11,860,000.00","7,816,810.00","4,043,190.00",65.91,595,1
,SP 5-(Internal Audit services),"6,043,600.00","3,656,050.00","2,387,550.00",60.49,595,1
,SP 6-(Budget Formulation services),"15,446,000.00","8,723,450.00","6,722,550.00",56.48,595,1
,SP 7-(Economic Planning),"29,321,264.00","10,523,905.00","18,797,359.00",35.89,595,1
,SP 8-(Monitoring and Evaluation),"32,609,470.00","23,782,800.00","8,826,670.00",72.93,595,1
TOTAL,,"555,625,731.00","249,879,674.50","305,746,056.50",44.97,595,1
"Programme 3 - ROADS, PUBLIC WORKS, TRANSPORT
AND INFRASTRUCTURE",,,,,,595,1
,"SP 1(General Administration, plan-
ning and Support Services","86,090,881.00","41,560,272.15","44,530,608.85",48.27,595,1
,SP 2(Road Transport),"309,267,192.00","53,600,430.55","255,666,761.45",17.33,595,1
,"SP 3(CONSTRUCTION OF BRIDG-
ES)","73,991,030.00","1,491,700.00","72,499,330.00",2.02,595,1
,SP 5-(Ward Specific Projects),"182,264,657.00","11,659,776.00","170,604,881.00",6.40,595,1
TOTAL,,"651,613,760.00","108,312,178.70","543,301,581.30",16.62,595,1
Programme 4 - HEALTH AND SANITATION,,,,,,595,1
,"SP 1(General Administration, plan-
ning and Support Services","1,352,117,257.00","903,104,964.40","449,012,292.60",66.79,596,0
,SP 2-(Preventive Health Services),"86,420,000.00","49,162,290.90","37,257,709.10",56.89,596,0
,SP 3-(Curative Health Services),"287,356,300.00","98,948,979.40","188,407,320.60",34.43,596,0
,SP 4-(Kacheliba Sub-county hospital),"13,940,000.00","7,406,593.95","6,533,406.05",53.13,596,0
,SP 5-(Sigor Sub county hospital),"13,860,000.00","7,292,946.30","6,567,053.70",52.62,596,0
,"SP 6-(Chepareria Sub-county hospi-
tal)","13,860,000.00","4,177,093.00","9,682,907.00",30.14,596,0
,SP 7(Facility Improvement Fund),"80,700,000.00","36,768,286.00","43,931,714.00",45.56,596,0
,SP 8(Ward Specific),"114,290,716.00","41,600,000.00","72,690,716.00",36.40,596,0
TOTAL,,"1,962,544,273.00","1,148,461,153.95","814,083,119.05",58.52,596,0
"Programme 5 - EDUCATION AND TECHNICAL
TRAINING",,,,,,596,0
,"SP 1(General Administration, plan-
ning and Support Services","446,928,078.00","221,906,075.40","225,022,002.60",49.65,596,0
,SP 2 -(ECD Services),"39,459,648.00","1,736,840.00","37,722,808.00",4.40,596,0
,SP 3-(Youth Vocational training),"34,305,408.00","33,147,000.00","1,158,408.00",96.62,596,0
,SP 4-(Bursary Fund),"440,500,000.00","440,500,000.00",-,100,596,0
,SP 5 - (Ward specific),"132,829,199.00","96,700,000.00","36,129,199.00",72.80,596,0
TOTAL,,"1,094,022,333.00","793,989,915.40","300,032,417.60",72.58,596,0
Programme 6 - AGRICULTURE AND IRRIGATION,,,,,,596,0
,"SP 1 - (General Administration, plan-
ning and Support Services)","90,886,450.00","68,468,252.10","22,418,197.90",75.33,596,0
,"SP 2-(Crop Development and Man-
agement)","310,414,320.00","166,682,584.00","143,731,736.00",53.70,596,0
,"SP 3-(Cash Crop Production(Special
Programs)","3,142,000.00","663,600.00","2,478,400.00",21.12,596,0
,SP 4 -(Ward specific),"27,597,973.00",-,"27,597,973.00",-,596,0
TOTAL,,"432,040,743.00","235,814,436.10","196,226,306.90",54.58,596,0
Programme 7 - PASTORAL ECONOMY,,,,,,596,0
,"SP 1 - (General Administration, plan-
ning and Support Services)","87,088,053.00","50,374,595.80","36,713,457.20",57.84,596,0
,"SP 2 - (Livestock production and
Range Management)","74,812,438.00","51,495,490.20","23,316,947.80",68.83,596,0
,"SP 3-(Livestock Disease manage-
ment)","6,718,400.00","1,433,000.00","5,285,400.00",21.33,596,0
,SP 4-(Fisheries Development),"2,434,400.00","1,956,400.00","478,000.00",80.36,596,0
,"SP 5-(Nasukuta Livestock Improve-
ment Center)","1,528,000.00",-,"1,528,000.00",-,596,0
,SP 6 -(Ward specific),"53,362,571.00",-,"53,362,571.00",-,596,0
,"SP 7 -(Dairy Development(Special
Programmes)","3,842,000.00","1,300,000.00","2,542,000.00",33.84,596,0
TOTAL,,"229,785,862.00","106,559,486.00","123,226,376.00",46.37,596,0
"Programme 8 - TRADE, INDUSTRIALISATION, INVESTMENT & COOP-
ERATIVES DEVELOPMENT",,,,,,596,0
,"SP 1 - (General Administration, Plan-
ning and Support Services)","82,237,137.00","46,067,369.60","36,169,767.40",56.02,596,0
,SP 2-(Cooperative Development),"48,192,787.00","4,277,572.45","43,915,214.55",8.88,596,0
,"SP 3 - (Trade, License and Market De-
velopment)","6,360,000.00","1,497,300.00","4,862,700.00",23.54,596,0
,SP 4-(Ward specific),"15,180,824.00",-,"15,180,824.00",-,596,0
TOTAL,,"151,970,748.00","51,842,242.05","100,128,505.95",34.11,597,0
"Programme 9 - LANDS, HOUSING, PHYSICAL PLANNING AND URBAN
DEVELOPMENT",,,,,,597,0
,"SP 1 - (General Administration, plan-
ning and Support Services)","68,801,322.00","36,756,590.25","32,044,731.75",53.42,597,0
,"SP 2 -(Land Policy and Physical Plan-
ning)","2,528,800.00","970,200.00","1,558,600.00",38.37,597,0
,SP 3-(Housing Development),"1,612,000.00","1,169,050.00","442,950.00",72.52,597,0
,SP 4-(Urban Development),"23,949,959.00",1779800,"22,170,159.00",7.43,597,0
,SP 5-(Kapenguria Municipality),"38,342,525.00","9,171,003.25","29,171,521.75",23.92,597,0
,SP 6-(Ward specific),"8,790,728.00",-,"8,790,728.00",-,597,0
TOTAL,,"144,025,334.00","49,846,643.50","94,178,690.50",34.61,597,0
"Programme 10 - WATER, ENVIRONMENT AND NATU-
RAL RESOURCES",,,,,,597,0
