Program,Sub Program,Description,Final Budget,"Actual Expenditure as
of 31st March 2023",Absorption rate,page_number,table_index
504004810,,"Early Childhood De-
velopment Education
(ECDE)","247,923,834.00","166,489,423.00",67.15,160,0
,504014810,"ECD Infrastructure
Development","172,300,000.00","103,115,379.00",59.85,160,0
,504024810,"Childcare and develop-
ment","75,623,834.00","63,374,044.00",83.80,160,0
505004810,,"Education Support
Programme","182,854,757.00","143,648,910.00",78.56,160,0
,505024810,"Non-Tertiary Education
Support","182,854,757.00","143,648,910.00",78.56,160,0
"Roads, Public Works and Energy",,,,,,160,0
201004810,,"Road Infrastructure
Development","998,232,683.00","303,243,050.40",30.38,160,0
,201014810,Road Maintenance,"91,000,000.00","75,733,212.70",83.22,160,0
,201024810,"Bridges Culverts Con-
struction","27,500,000.00","18,121,292.70",65.90,160,0
,201034810,Road construction,"879,732,683.00","209,388,545.00",23.80,160,0
203004810,,Energy Reticulation,"47,440,742.00","37,505,566.50",79.06,160,0
,203014810,Electrification.,"13,000,000.00","7,397,897.00",56.91,160,0
,203024810,Renewable Energy,"34,440,742.00","30,107,669.50",87.42,160,0
204004810,,"Public works Manage-
ment","3,429,205.00","1,458,832.00",42.54,160,0
,204014810,"Public works Manage-
ment","3,429,205.00","1,458,832.00",42.54,160,0
"Lands, Housing, Urban Areas and Physical Planning",,,,,,160,0
107004810,,"Land Management
Services","171,128,047.00","71,597,926.10",41.84,160,0
,107014810,"Land use policy and
planning","86,918,713.00","36,078,502.45",41.51,160,0
,,,Kshs,Kshs,Kshs,161,0
,107024810,"Land Administration and
Planning","76,228,335.00","33,159,379.45",43.50,161,0
,107034810,Survey Services,"7,980,999.00","2,360,044.20",29.57,161,0
108004810,,"Housing Management
Services","57,529,349.00","14,665,509.25",25.49,161,0
,108014810,"Housing Infrastructure
development","6,729,349.00","1,761,585.50",26.18,161,0
,108024810,Slum Upgrading,"50,800,000.00","12,903,923.75",25.40,161,0
110004810,,"Urban Development
Service","434,956,887.00","131,604,857.40",30.26,161,0
,110024810,"Social Amenities and
Sanitary Services","434,956,887.00","131,604,857.40",30.26,161,0
"Social Services, Youth & Sports",,,,,,161,0
901004810,,"Administration,
Planning and Support
services","45,786,734.00","17,435,224.55",38.08,161,0
,901014810,Administrative Services,"45,786,734.00","17,435,224.55",38.08,161,0
902004810,,"Culture and Arts Devel-
opment","23,244,900.00","5,551,024.00",23.88,161,0
,902014810,"Culture and Heritage
Conservation","23,244,900.00","5,551,024.00",23.88,161,0
903004810,,"Management And
Development Of Sports
And Sports Facilities","415,809,601.00","130,302,201.00",31.34,161,0
,903014810,"Development of Sports
facilities","388,959,551.00","124,998,198.00",32.14,161,0
,903024810,"Promotion and Develop-
ment of Sports and Talent","26,850,050.00","5,304,003.00",19.75,161,0
904004810,,"Youth & Gender Devel-
opment And Promotion
Services","92,321,218.00","568,262.00",0.62,161,0
,904014810,"Youth, Disability and
Gender Empowerment
and Mainstreaming","92,321,218.00","568,262.00",0.62,161,0
906004810,,"Social Development
And Promotions","98,716,710.00","4,359,495.80",4.42,161,0
,906014810,"Social Development and
Social Protection","95,212,310.00","2,803,903.00",2.94,161,0
,906024810,Child welfare Services,"3,504,400.00","1,555,592.80",44.39,161,0
908004810,,"Development of Library
services","1,459,224.00","402,610.00",27.59,161,0
,908014810,Library services,"1,459,224.00","402,610.00",27.59,161,0
"Trade, Industrialization & Tourism",,,,,,161,0
304004810,,"Promotion of tourism
and marketing","9,798,554.00","5,635,116.65",57.51,161,0
,304014810,"Promotion of tourism
and marketing","9,798,554.00","5,635,116.65",57.51,161,0
306004810,,"Administration,
Planning and support
services","8,460,548.00","5,674,635.45",67.07,161,0
,306014810,"Administration Support
Services","8,460,548.00","5,674,635.45",67.07,161,0
,,,Kshs,Kshs,Kshs,162,0
,307014810,"Modern Market infra-
structure development","157,314,984.00","103,923,345.65",66.06,162,0
,307024810,"Micro and small enter-
prises' development","9,784,881.00","6,000,000.00",61.32,162,0
309004810,,"Industrial development
and investment","295,372,895.00","17,181,353.00",5.82,162,0
,309014810,"Industrial Development
and Promotion","295,372,895.00","17,181,353.00",5.82,162,0
1005004810,,"Natural Resource Man-
agement","38,128,179.00","12,755,497.20",33.45,162,0
,1005014810,"Afforestation and Re-af-
forestation","18,236,413.00","7,677,297.20",42.10,162,0
,1005024810,"Protection of natural
resources and environ-
mental processes","19,891,766.00","5,078,200.00",25.53,162,0
1006004810,,"Water and Sanitation
Services","417,750,124.00","120,682,864.00",28.89,162,0
,1006014810,"Water Resource Supply
and Management","417,750,124.00","120,682,864.00",28.89,162,0
1007004810,,"Environmental conser-
vation","130,927,152.00","36,548,724.65",27.92,162,0
,1007014810,"Environmental Protec-
tion","130,927,152.00","36,548,724.65",27.92,162,0
712004810,,"Public Service and Ad-
ministration","6,673,061,896.00","3,929,028,321.41",58.88,162,0
,712014810,County Administration,"522,883,954.00","100,107,328.00",19.15,162,0
,712024810,"Human Resource Man-
agement","6,150,177,942.00","3,828,920,993.41",62.26,162,0
716004810,,"Alcoholics and Drinks
Control","17,485,063.00","1,341,641.65",7.67,162,0
,716014810,"Alcohol and Drug Reha-
bilitation Program","17,485,063.00","1,341,641.65",7.67,162,0
Office of the Governor,,,,,,162,0
703004810,,"Management and ad-
ministration of County
Functions","167,298,192.00","147,747,232.70",88.31,162,0
,703024810,County executive services,"167,298,192.00","147,747,232.70",88.31,162,0
704004810,,"Support, Coordination
and Advisory Services","22,589,048.00","19,086,626.00",84.50,162,0
,704014810,Legal Services,"22,589,048.00","19,086,626.00",84.50,162,0
709004810,,"Support, Coordination
and Advisory services","63,347,952.00","34,025,287.15",53.71,162,0
,709014810,"Support and Advisory
services","45,705,168.00","25,618,497.15",56.05,162,0
,709024810,"County Internal Audit
services","17,642,784.00","8,406,790.00",47.65,162,0
Finance and Economic Planning,,,,,,162,0
706004810,,"Economic and policy
formulation and man-
agement planning","90,687,819.00","51,067,732.55",56.31,162,0
,706014810,"Economic policy formu-
lation","90,687,819.00","51,067,732.55",56.31,162,0
707004810,,"Public finance manage-
ment","288,180,326.00","83,520,871.15",28.98,162,0
