Programme S,ub0Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure As of 31st
March 2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index,Programme,Sub0Programme
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",297,1,,
Office of The Governor,,,,,,,,297,1,,
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",298,0,,
,,"318,293,561","19,334,385","163,659,937",-,51,-,298,0,"Co0Ordination
and Supervisory
Services","Office of The Gov-
ernor"
,,"22,651,209",-,"15,378,622",-,68,-,298,0,,Transport Services
,,"67,903,820",-,"14,053,570",-,21,-,298,0,,"Human Resource
and Administration
Section"
,,"16,995,994",-,"5,571,825",-,33,-,298,0,,ICT Section
,,"25,973,355",-,"7,828,800",-,30,-,298,0,,"Hospitality Ser-
vices Section"
,,"6,493,175",-,"764,000",-,12,-,298,0,,Cabinet Office
,,"68,988,765",-,"11,998,038",-,17,-,298,0,,"Office of The Depu-
ty Governor"
,,"21,078,510",-,"565,600",-,3,-,298,0,,"Directorate of
Projects Delivery,
Monitoring and
Evaluation"
,,"31,786,195",-,"150,000",-,1,-,298,0,,"Office of The Coun-
ty Secretary"
,,"11,980,064",-,"150,000",-,1,-,298,0,,"Office of The Coun-
ty Advisors"
,,"592,144,648","19,334,385","220,120,392",-,37,-,298,0,Subtotal,
,,,,,,,,298,0,County Public Service Board,
,,"58,736,706","20,112,751","12,104,071",,20.6,-,298,0,"Human
Resource and
Administration","Human Resource
and Administration"
,,"58,736,706","20,112,751","12,104,071",,20.6,-,298,0,Subtotal,
,,,,,,,,298,0,"Roads, Transport and Public Works",
,,"182,955,703","67,380,424","118,801,740","5,820,460",64.9,8.6,298,0,"Headquarters
Administrative
Services","Head Quarter
Administrative
Services"
,,"833,214","364,359,647","331,800","9,253,544",39.8,2.5,298,0,"Road
Development
Management","Road Development
and Management"
,,"113,399","135,000,000","99,850","25,732,469",88.1,19.1,298,0,"County
Government
Building Services","County Govern-
ment Buildings"
,,"73,011,765","57,750,000","47,193,765","51,500,000",64.6,89.2,298,0,"County Fleet
Management","County Fleet Man-
agement"
,,"256,914,081","624,490,071","166,427,155","92,306,473",64.8,14.8,298,0,Subtotal,
,,,,,,,,298,0,Health and Emergency Services,
,,"3,365,875,598","350,106,166","2,388,941,862","19,244,099",71,5.5,298,0,"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services"
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",299,0,,
,,"353,238,105","160,500,000","215,367,787","42,281,430",61,26.3,299,0,"Curative and
Rehabilitative
Health",Machakos Level 5
,,"53,712,125","15,200,000","31,497,301",-,58.6,-,299,0,,Kangundo Level 4
,,"37,923,785","25,000,000","10,040,145",-,26.5,-,299,0,,Matuu Level 4
,,"26,327,763","21,675,130","5,133,800",-,19.5,-,299,0,,Kathiani Level 4
,,"12,024,971","16,230,000","2,900,000",-,24.1,-,299,0,,Mwala Level 4
,,"4,305,321","5,000,000","400,000",-,9.3,-,299,0,,Kimiti Level 4
,,"4,465,149","5,500,000","437,000",-,9.8,-,299,0,,Masinga Level 4
,,"4,428,399","25,000,000","500,000",-,11.3,-,299,0,,Athi River Level 4
,,"6,428,899","5,000,000","500,000",-,7.8,-,299,0,,Mutituni Level 4
,,"6,329,571","5,000,000","711,220",-,11.2,-,299,0,,Ndithini Level 4
,,"5,758,494","5,000,000","1,164,300",-,20.2,-,299,0,,Kalama Level 4
,,"38,742,655","70,744,985","27,177,504",-,70.1,-,299,0,"Preventive
and Promotive
Services","Public Health
and Community
Outreach"
,,"5,000,000","15,145,000","5,000,000",-,100,-,299,0,"Emergency
Services","Emergency Ser-
vices"
,,"3,924,560,835","725,101,281","2,689,770,919","61,525,529",68.5,8.5,299,0,Subtotal,
,,,,,,,,299,0,"Water, Irrigation, Environment and Natural Resources",
,,"4,412,665","174,619,199","815,000","10,399,500",18.5,6.0,299,0,"Water Supply and
Sewerage","Water Supply and
Sewerage"
,,-,"53,103,092",-,,-,-,299,0,"Irrigation
Schemes
Development
and Promotion","Irrigation Schemes,
Development and
Promotion"
,,"103,100,619","15,683,382","43,852,488",,42.5,-,299,0,"General
Administrative
and Support
Services","General Adminis-
trative and Support
Services"
,,"3,233,170","233,822,262","1,240,000",,38.4,-,299,0,"General
Administrative
and Support
Services","Environment and
Natural Resources"
,,"110,746,454","477,227,935","45,907,488","10,399,500",41.5,2.2,299,0,Subtotal,
,,,,,,,,299,0,"Agriculture, Food Security and Co-operative Development",
,,"330,375,406","393,674,921","179,950,251","116,067,818",54.5,29.5,299,0,"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services"
,,"3,170,000","56,200,000","956,100","9,416,575",30.2,16.8,299,0,"Crop
Development
and Management","Crop Development
and Management"
,,"2,560,000","12,079,000","1,116,379","3,993,392",43.6,33.1,299,0,"Livestock
Resources
Management and
Development","Livestock Resourc-
es Management
and Development"
,,"1,400,000","4,200,000","496,500","1,799,940",35.5,42.9,299,0,"Fisheries
Development","Fisheries Develop-
ment"
,,"1,947,580","36,250,227","879,144",,45.1,-,299,0,"Veterinary
Services",Veterinary Services
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",300,0,,
,,"2,550,000","3,100,000",,,-,-,300,0,"Agriculture
Training Centre","Agriculture Train-
ing Centre"
