Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q3
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index,col_6
,,A,B,C=A-B,D=B/A*100,119,1,
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,119,1,
"Policy Planning, General Administration
and Support Services","Policy and Planning
Services
General Administration
and Support Services
Sub total","1,000,000",,"1,000,000",-,119,1,
,,"186,119,581","142,707,374","43,412,207",76.7,119,1,
,,"187,119,581","142,707,374","44,412,207",76.3,119,1,
"Crop, Land and Agribusiness Develop-
ment Services","Crop Development
Services
Agribusiness Develop-
ment Services
Land Development
Services
National Agriculture Ru-
ral Inclusive Growth",-,-,-,-,119,1,
,,"3,808,322",-,"3,808,322",-,119,1,
,,"2,370,000",-,"2,370,000",-,119,1,
,,"387,997,536","134,735,661","253,261,875",34.7,119,1,
,,A,B,C=A-B,D=B/A*100,120,0,
,"Agriculture Sector
Development Support
Programme","54,014,863","11,300,000","42,714,863",20.9,120,0,
,Sub total,"448,190,721","146,035,661","302,155,060",55.6,120,0,
Food Security Enhancement Services,"Farm Input Access
Services","42,380,686",-,"42,380,686",-,120,0,
,"Sub Sector Infrastructure
Development Services","21,858,686","2,670,300","19,188,386",12.2,120,0,
,Sub total,"64,239,372","2,670,300","61,569,072",4.2,120,0,
"Fisheries Resources Development Ser-
vices",Capture Fisheries,-,-,-,-,120,0,
,Farmed Fish Production,-,-,-,-,120,0,
,Sub total,-,-,-,-,120,0,
Livestock Development Programme,"Livestock Improvement
and Development","7,390,000",-,"7,390,000",-,120,0,
,"Livestock Products Value
Addition and Marketing",-,-,-,-,120,0,
,"Livestock Health and
Disease Management","10,480,700",-,"10,480,700",-,120,0,
,Sub total,"17,870,700",-,"17,870,700",-,120,0,
,"Cooperative Management
services",-,-,-,,120,0,
,"Cooperative Development
services",-,-,-,,120,0,
,Sub total,-,-,-,,120,0,
,GRAND TOTAL,"717,420,374","291,413,335","426,007,039",40.6,120,0,
"Department of Gender Equality and Inclusivity Youth, sports, Talent Development, Cultural Heritage and Social Services",,,,,,120,0,
"Policy, Planning and General Adminis-
tration services","General Administration
and Support Services","38,185,425","34,877,327","3,308,098",91.3,120,0,
,"Policy and Planning
Services","3,000,000",-,"3,000,000",-,120,0,
,Sub total,"41,185,425","34,877,327","6,308,098",84.7,120,0,
,,A,B,C=A-B,D=B/A*100,121,0,
"Cultural And Creative Sector Develop-
ment Services","Creative Economy Devel-
opment Services","3,000,000",-,"3,000,000",-,121,0,
,"Cultural Development
and Promotion Services","8,000,000",-,"8,000,000",-,121,0,
,Sub total,"11,000,000",-,"11,000,000",-,121,0,
"Social Development and Empowerment
Services","Gender and Women
Empowerment","5,000,000",-,"5,000,000",-,121,0,
,Youth Empowerment,"9,000,000",-,"9,000,000",-,121,0,
,"Disability Mainstreaming
Services","4,000,000",-,"4,000,000",-,121,0,
,Sub total,"18,000,000",-,"14,000,000",-,121,0,
"Management and Development of Sports
and Sports Facilities","Sports Infrastructure
Development Services","111,121,334","45,420,419","65,700,915",40.9,121,0,
,"Sports Management and
Talent Development","25,000,000",-,"25,000,000",-,121,0,
,Sub total,"136,121,334","45,420,419","90,700,915",33.4,121,0,
,GRAND TOTAL,"206,306,759","80,297,746","122,009,013",38.9,121,0,
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,121,0,
"General Administration, Planning and
Support Services","Human Resource and
Support Services","67,462,052","38,549,979","28,912,073",57.1,121,0,
,"Roads and Transport
Services Operations","289,000",-,"289,000",-,121,0,
,Sub total,"67,751,052","38,549,979","29,201,073",56.9,121,0,
Public works and maintenance services,"Quality control and
Enforcement","474,000",-,"474,000",-,121,0,
,"Plant and Machinery
maintenance","420,448",-,"420,448",-,121,0,
,Sub total,"894,448",-,"894,448",-,121,0,
"Road Development and Maintenance
Services","Opening Grading and
Gravelling","400,000,000","125,201,775","274,798,225",31.3,121,0,
,"CSP 3.2: Road Main-
tenance (Including
Oriri-Kapete Rd-5M,
Ong'ayo-Manyala Rd-5M,
Wikawere-Kanyang'we-
na-Kowili-Akwakra
Rd-5M, Alendo Box
Culvert-10M, Jnc Sare
SDA-Bwanda Bridge-
10M)","489,365,753",,"489,365,753",-,121,0,
,,A,B,C=A-B,D=B/A*100,122,0,
,Plant and Machinery,,,,,122,0,
,Sub total,"889,365,753","125,201,775","764,163,978",14.1,122,0,
Transport Services,construction of Bus park,-,-,-,-,122,0,
,Sub total,-,-,-,-,122,0,
,GRAND TOTAL,"958,011,253","163,751,754","794,259,499",17.1,122,0,
"Department of Blue Economy, Fisheries Mining And Digital Economy",,,,,,122,0,
"Blue Economy And Fisheries Resources
And Development Services","Capture Fisheries and
Development","10,500,000",-,"10,500,000",-,122,0,
,Aquaculture Development,"4,500,000",-,"4,500,000",-,122,0,
,Sub total,"15,000,000",-,"15,000,000",-,122,0,
"ICT And Digital Economy Development
Services","ICT Infrastructure Devel-
opment","14,000,000","2,000,000","12,000,000",14.3,122,0,
,E-Commerce Services,"30,009,179",-,"30,009,179",-,122,0,
,Sub total,"44,009,179","2,000,000","42,009,179",4.5,122,0,
"General Administration, Planning and
Support Services",Policy Development,-,-,-,-,122,0,
