"Pro-
gramme","Programme and Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,301053060,-,,,-,-,-,263,0
,Sub Total,"8,721,500","12,127,197","4,266,989","1,111,000",49,9,263,0
,"Co-operative Development
(30202360)","3,132,000","15,087,050","1,413,511",-,45,,263,0
,Sub Total,"3,132,000","15,087,050","1,413,511",-,45,,263,0
,Personnel Services (305013060),"32,127,589",-,"27,412,879",-,85,,263,0
,"Administration ser-
vices(0305023060)","10,526,778","87,396,454","4,480,606","50,523,960",43,58,263,0
,Sub Total,"42,654,367","87,396,454","31,893,485","50,523,960",75,58,263,0
,"Construction of new mar-
kets(0306023060)","2,663,069","44,010,397","1,483,891",-,56,,263,0
,Sub Total,"2,663,069","44,010,397","1,483,891",-,56,,263,0
,,,,,,,,263,0
,"Industry & Enterprise
Development (30703060","1,288,607","41,701,327","500,310",-,39,,263,0
,Sub Total,"1,288,607","41,701,327","500,310",-,39,,263,0
Total,,"58,459,543","190,322,425","39,558,186","51,634,960",68,27,263,0
"Kwale - Community Development, Youth and Women
Empowerment and Social Services",,,,,,,,263,0
3067,Administration (9030003067),"19,200,000","45,214,786","5,753,405",-,30,-,263,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",264,0
,"Community development
(9040003067)","16,416,925",,"9,667,828",-,59,,264,0
,Culture and heritage (905003067),"16,050,000","72,491,477","1,969,614",-,12,-,264,0
,"Sports and talent management
(9060003067)","51,236,605","23,324,181","37,974,287","1,902,167",74,8,264,0
Total,,"102,903,530","141,030,444","55,365,134","1,902,167",54,1,264,0
Kwale - Office of the Governor and the Deputy Governor,,,,,,,,264,0
3068,"704003068(Office of Governor
Deputy Governor)","135,524,810","40,921,795","88,263,886",-,65,-,264,0
,"707003068(Directorate of Com-
munication)","17,082,521",,"5,958,584",,35,,264,0
Total,,"152,607,331","40,921,795","94,222,470",-,62,,264,0
"Kwale
- Educa-
tion",,,,,,,,264,0
3069,Personnel Services (0502023060),"447,983,678",-,"421,118,138",,94,-,264,0
