Department,Program,Sub Program,"Approved
Estimate FY
2022/23 (Kshs)","Actual
Expenditure
1/7/2022-
31/03/2023
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,,A,B,C=A-B,D=B/A*100,86,0
"Agriculture and
Irrigation","General administration
and support services","General administration
and support services","99,199,387","56,667,394","42,531,993",57.1,86,0
,Crop Development,"Cash Crops Develop-
ment","34,417,715","270,000","34,147,715",0.8,86,0
,,"Agricultural Extension
and Training Services","382,144,066","203,689,151","178,454,915",53.3,86,0
,Soil Conservation,Soil Conservation,"368,000",-,"368,000",-,86,0
,Irrigation Development,Irrigation Development,"124,500,473","39,086,826","85,413,647",31.4,86,0
,,,,,,,86,0
"Livestock Pro-
duction, Fisheries
and Co-operative
Development","General administration
and support services","General administration
and support services","17,915,740","13,436,805","4,478,935",75.0,86,0
,Livestock Development,Livestock Production,"41,336,012","16,016,521","25,319,492",38.7,86,0
,,"Livestock Extension and
Training Services","2,300,064","1,725,048","575,016",75.0,86,0
,Veterinary Services,"Disease Surveillance
and Control","29,054,302","21,790,727","7,263,576",75.0,86,0
,,A I Services,"4,749,980","3,562,485","1,187,495",75.0,86,0
,,,,,,,86,0
"Trade, Tourism,
Co-operative
Development
and Energy","General administration
and support services","General administration
and support services","30,937,150","25,096,112","5,841,038",81.1,86,0
,Tourism Development,Tourism Development,"3,030,378","300,000","2,730,378",9.9,86,0
,"Trade and Enterprise
Development","Trade and enterprise
development","6,120,652",-,"6,120,652",-,86,0
,"Cooperative Develop-
ment","Cooperatives develop-
ment","18,588,983",-,"18,588,983",-,86,0
,,,,,,,86,0
"Roads, Public
Works and Trans-
port","General administration
and support services","General administration
and support services","112,507,201","70,075,368","42,431,833",62.3,86,0
,Road Improvement,Road Improvement,"544,781,857","100,300,768","444,481,089",18.4,86,0
,Public works,Public works,"5,420,000","894,980","4,525,020",16.5,86,0
,Energy,Energy,"12,751,927","5,607,645","7,144,282",44.0,86,0
,,,,,,,86,0
"Youth, Sports,
Culture and
Gender","General administration
and support services","General administration
and support services","63,051,817","31,037,995","32,013,822",49.2,86,0
,Sports Development,"Sports Infrastructure
Development","17,315,000","494,373","16,820,627",2.9,86,0
,,,"14,583,430","580,346","14,003,084",4.0,86,0
,Social Empowerment,Social Empowerment,"45,631,210","5,403,986","40,227,224",11.8,86,0
,Social Protection,Social Protection,"4,630,000","4,608,000","22,000",99.5,86,0
,,,,,,,86,0
,,,A,B,C=A-B,D=B/A*100,87,0
"Education, Science
and Technology","General administration
and support services","General administration
and support services","252,679,388","169,152,561","83,526,827",66.9,87,0
,"Technical and Voca-
tional Education and
Training (TVET)","Technical Vocational
Education & Training","58,065,058","31,386,998","26,678,060",54.1,87,0
,Pre-Primary Education,Pre-Primary Education,"194,817,265","13,232,835","181,584,430",6.8,87,0
,,,,,,,87,0
"Water, Environ-
ment and Climate
Change Manage-
ment","General administration
and support services","General administration
and support services","79,364,646","12,836,150","66,528,496",16.2,87,0
,"Water and Sanitation
Management",Water Services,"168,433,558",-,"168,433,558",-,87,0
,"Environmental Man-
agement and Protec-
tion","Environmental conser-
vation","900,000",-,"900,000",-,87,0
,,"Climate Change Main-
streaming and Com-
pliance","11,000,000",-,"11,000,000",-,87,0
,"Solid Waste Manage-
ment","Solid waste manage-
ment","200,000",-,"200,000",-,87,0
,,,,,,,87,0
"Lands, Physical
Planning, Housing,
Urban Develop-
ment","Lands, Physical
Planning and Urban
Development","Lands, Physical
Planning and Urban
Development","166,137,083","58,096,412","108,040,671",35.0,87,0
,,,,,,,87,0
Health,"General administration
and support services","Default - Non Program-
matic","1,756,342,428","1,103,359,684","652,982,744",62.8,87,0
,"Preventive and Promo-
tive health","Community and Envi-
ronmental Health","11,429,042",-,"11,429,042",-,87,0
,"Curative and Rehabili-
tative Health",County Hospitals,"273,251,056","4,997,050","268,254,006",1.8,87,0
,,Primary Care Units,"159,467,062","31,691,745","127,775,317",19.9,87,0
,,"Emergency Medical
Services","8,480,000",-,"8,480,000",-,87,0
,,,,,,,87,0
Office of Governor,"General administration
and support services","General administration
and support services","107,745,732","78,418,443","29,327,289",72.8,87,0
,"Open Governance,
Transparency and
Accountability",Governance,"95,491,445","51,556,564","43,934,881",54.0,87,0
,,,,,,,87,0
"ICT and Public
Service","General administration
and support services","General administration
and support services","240,458,309","190,063,491","50,394,818",79.0,87,0
,"Public Service Man-
agement","Human Resource Man-
agement","1,075,000","636,620","438,380",59.2,87,0
,,"Coordination of gov-
ernment functions","29,179,353","5,186,330","23,993,023",17.8,87,0
,,"Citizen Participation
and Civic Education","500,000","278,250","221,750",55.7,87,0
,ICT Services,ICT Services,"2,415,000","301,470","2,113,530",12.5,87,0
