Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st
March 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",329,1
County Assembly,,,,,,,,329,1
"General
Administra-
tion Support
Services","SP 1.1 Salaries and
Allowances for Em-
ployees and MCAs","208,962,747",-,"123,386,125",,- 59.0,-,329,1
,"SP 1.2 Hospitality,
Catering services,
donations and gifts,
boards, committees,
conferences and
seminars","41,400,000",-,"23,836,388",,- 57.6,-,329,1
,"SP 1.3 Domestic pay-
ables from previous
financial years","44,162,996",-,-,,- -,-,329,1
"Legislature and
Oversight","SP 2.1 Domestic and
foreign accommo-
dation, air travel and
daily subsistence
allowance","103,257,475",-,"65,604,273",,- 63.5,-,329,1
,"SP 2.2 ICT, Hansard
and Communication
Equipment","9,500,000",-,"1,596,176",,- 16.8,-,329,1
,"SP 2.3 Mortgage &
Car Loans and Tax","167,032,790",-,"20,000,000",,- 12.0,-,329,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",330,0
,"SP 2.4 Staff Training
and Development
and Tuitions","32,950,000",-,"11,368,400",-,34.5,-,330,0
"County Assem-
bly Infrastruc-
ture improve-
ment","SP 3.12 Maintenance
of motor vehicle","7,000,000",-,"4,129,700",-,59.0,-,330,0
,"SP 3.13 Purchase of
furniture and general
equipment","7,366,768",-,"1,500,000",-,20.4,-,330,0
,"SP 3.14 Construction
of County Assembly
Headquarters and
modern chambers,
purchase of land
for the speaker's
residence, construc-
tion and equipping of
ward offices",-,"339,405,435",-,-,-,-,330,0
,"SP 3.15 Improvement
of ICT services","5,016,760",-,"2,357,780",-,47.0,-,330,0
,"SP 3.16 Maintenance
of plants, machinery
& other assets","5,000,000",-,"2,473,615",-,49.5,-,330,0
,"SP 3.17 Electricity,
water and sewerage
and other utility
charges","13,428,878",-,"4,245,500",-,31.6,-,330,0
,"SP 3.18 Printing,
advertisement and
information supplies
and services","36,199,509",-,"20,177,864",-,55.7,-,330,0
,"SP 3.19 Rental of ap-
proved assets and hire
of motor vehicles","5,200,000",-,"420,000",-,8.1,-,330,0
,"SP 3.20 Insurance
cost for group
personal, building,
motor vehicle and
medical cover","31,937,645",-,"13,652,949",-,42.7,-,330,0
,"SP 3.21 Purchase of
computers, printers
and general office
supplies and acces-
sories and sanitary
cleaning materials","37,500,000",-,"32,237,000",-,86.0,-,330,0
,"SP 3.22 Fuel, oil,
lubricants and tyres","9,000,000",,"2,515,600",,28.0,-,330,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",331,0
,"SP 3.23 Bank service
commission and
charges, legal fees,
management fees
and contracted
professional charges
and other operating
expenses","17,055,516",-,"1,740,000",-,10.2,-,331,0
,SP 3.24 Ward office,"40,000,000",-,"16,566,648",-,41.4,-,331,0
,"SP 3.25 Uniform,
Specialised materials
and supplies","9,000,000",-,"6,760,000",-,75.1,-,331,0
,"-SP 3.26 Membership
fees and dues and
subscription for inter-
national organisation","5,500,000",-,-,-,-,-,331,0
,"SP 3.28 Refurbish-
ment of buildings","4,000,000",-,"3,630,000",-,90.8,-,331,0
,"SP 3.29 Gratuity/
pension","33,217,645",-,"7,969,707",-,24.0,-,331,0
,"SP 3.30 Purchase of
motor vehicle","13,000,000",-,-,-,-,-,331,0
,Sub Total,"886,688,729","339,405,435","366,167,725",-,41.3,-,331,0
EXECUTIVE SERVICES,,,,,,,,331,0
"Executive
Services","General Administra-
tion, Planning and
Support Services","559,500,000","140,000,000","437,116,059","114,622,508",78.1,81.9,331,0
,"Management of
County Affairs",-,"700,000,000",-,"337,031,506",-,48.1,331,0
,Sub Total,"559,500,000","840,000,000","437,116,059","451,654,014",78.1,53.8,331,0
"PHYSICAL
PLANNING
AND DEVEL-
OPMENT
Physical
Planning and
Development",,,,,,,,331,0
,"Urban Development
Services",-,"95,212,794",-,"39,340,992",-,41.3,331,0
,"General administra-
tion planning and
Support Services","158,637,768",-,"65,974,317",-,41.6,-,331,0
,Sub Total,"158,637,768","95,212,794","65,974,317","39,340,992",41.6,41.3,331,0
"EDUCATION, SKILLS DEVELOPMENT, YOUTH AND SPORTS",,,,,,,,331,0
"Education,
Skills Devel-
opment, Youth
and Sports","General Administra-
tion, Planning and
Support Services","385,713,481",-,"265,757,866",,68.9,-,331,0
,Youth Development,-,"58,659,347",-,"8,390,069",-,14.3,331,0
,Sub Total,"385,713,481","58,659,347","265,757,866","8,390,069",68.9,14.3,331,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,331,0
"Agriculture
Livestock and
Fisheries","General Administra-
tion, Planning and
Support Services","111,831,802",,"63,501,015",,56.8,-,331,0
,"Livestock Production
and Management","124,332,979",,"53,486,074",,43.0,-,331,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",332,0
,"Fisheries Develop-
ment and Manage-
ment","32,513,970",,"1,247,744",,3.8,-,332,0
,"Crop Development
and Management",,"726,679,453",,"154,313,939",-,21.2,332,0
,Sub Total,"268,678,751","726,679,453","118,234,833","154,313,939",44.0,21.2,332,0
HEALTH SERVICES-,,,,,,,,332,0
"Health Ser-
vices","General
Administration,
Planning and
Support Services","1,445,958,993",,"973,642,048",,67.3,-,332,0
,"Health Infrastructure
development",,"408,784,157",,"123,109,912",-,30.1,332,0
,Sub-Total,"1,445,958,993","408,784,157","973,642,048","123,109,912",67.3,30.1,332,0
ADMINISTRATION AND ICT,,,,,,,,332,0
"Administration
and ICT","General administra-
tion planning and
Support Services","315,900,000","250,000,000","152,557,972",,48.3,-,332,0
,Sub-Total,"315,900,000","250,000,000","152,557,972",-,48.3,-,332,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,332,0
"County Public
Service Board","General administra-
tion planning and
Support Services","95,868,568","5,000,000","49,971,724",-,52.1,-,332,0
,Sub-Total,"95,868,568","5,000,000","49,971,724",-,52.1,-,332,0
"TOURISM, CULTURE AND SOCIAL SERVICES",,,,,,,,332,0
"Tourism, Cul-
ture and Social
Services","Cultural infrastruc-
ture development",,"20,000,000",,-,-,-,332,0
,"General administra-
tion, planning and
support services","91,181,472",,"38,083,489",,41.8,-,332,0
,Sub-Total,"91,181,472","20,000,000","38,083,489",-,41.8,-,332,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,332,0
"Finance and
Economic
Planning","General administra-
tion planning and
Support Services","459,480,261","640,310,729","383,311,987","217,660,721",83.4,34.0,332,0
,Sub-Total,"459,480,261","640,310,729","383,311,987","217,660,721",83.4,34.0,332,0
"ROADS, PUBLIC WORKS , TRANSPORT AND HOUSING DEVELOPMENT",,,,,,,,332,0
"Transport
and Housing
Development","Road Transport
Infrastructure Devel-
opment",,"125,161,903",,-,-,-,332,0
,"General administra-
tion planning and
Support Services","114,149,413",,"33,235,140",,29.1,-,332,0
,Sub-Total,"114,149,413","125,161,903","33,235,140",-,29.1,-,332,0
"TRADE, INDUSTRY AND ENTERPRISE DEVELOPMENT",,,,,,,,332,0
"Trade, Industry
and Enterprise
Development","General administra-
tion planning and
Support Services","82,850,000",,"40,020,947",,48.3,-,332,0
,"Trade and Industrial
Development",,"9,000,000",,,-,-,332,0
,Sub-Total,"82,850,000","9,000,000","40,020,947",-,48.3,-,332,0
"WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,332,0
