Programme,"Sub-Pro-
gramme","Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st March
2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub-Total,"2,636,998,186","413,385,028","1,474,206,587",-,55.9,-,584,0
"Department: Roads, Transport, Pub-
lic Works and Housing",,,,,,,,584,0
,,"Recurrent Expen-
diture","Development Ex-
penditure","Recurrent Expen-
diture","Development Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",585,0
"County Roads and
Transport manage-
ment","Construction
of County
Roads","11,592,000","20,000,000","1,795,263",-,15.5,-,585,0
,"maintenance
and Rehabilita-
tion of county
roads","119,802,936","146,800,000","62,814,667","92,592,592.60",52.4,63,585,0
,"county Trans-
port Services","35,400,000","9,000,000",-,-,-,-,585,0
Public Work Services,"Public Work
Services","5,155,900","190,000,000","1,699,313",-,33.0,-,585,0
,Total,"171,950,836","365,800,000","66,309,243","92,592,593",38.6,25,585,0
"Department: Water
Services",,,,,,,,585,0
Water Services,"Water Supplies
Overhaul and
Maintenance
Services","290,185,919","349,000,000","104,635,230","28,554,926.00",36.1,8,585,0
,"Infrastructure
development
services",-,"113,500,000",-,-,,-,585,0
,Total,"290,185,919","462,500,000","104,635,230","28,554,926",36.1,6,585,0
"Department: Ener-
gy, Environment and
Climate Change",,,,,,,,585,0
"Energy development
services","Energy devel-
opment ser-
vices","1,624,800","169,200,000","500,000",-,30.8,-,585,0
"Environmental
Conservation
Services","Environmental
Conservation
Services","2,357,600","121,000,000","500,000",-,21.2,-,585,0
"Natural Resource
Management","Natural Re-
source Man-
agement","5,275,800","6,000,000","200,000",-,3.8,-,585,0
"General
Administration and
Support Services","General Ad-
ministration
and Support
Services","71,768,288",,"38,008,151",-,53.0,-,585,0
,Total,"81,026,488","296,200,000","39,208,151",-,48.4,,585,0
"Department: Public
Service, Special Pro-
grams and County
Administration",,,,,,,,585,0
"Human Resources
Management and
decentralised services","Human Re-
sources Man-
agement and
decentralised
services","358,814,480",-,"200,386,471",-,55,-,585,0
"Service Delivery
and Performance
Management","Service Deliv-
ery and Perfor-
mance Man-
agement","6,758,400",-,"700,000",-,10.4,-,585,0
"Decentralised unit
and Town admin","Decentralised
unit and Town
admin","28,708,400",-,"2,600,000",-,9.1,-,585,0
Special Programs,"Disaster Man-
agement &
Humanitarian
Coordination","543,459,800",-,"407,234,357",-,74.9,-,585,0
,,"Recurrent Expen-
diture","Development Ex-
penditure","Recurrent Expen-
diture","Development Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",586,0
,"Conflict, Pre-
vention, Man-
agement and
Resolution","24,199,901",-,"1,959,000",-,8.1,-,586,0
,"Intergovern-
mental Rela-
tions","6,236,624",-,"410,000",-,6.6,-,586,0
,"Public Partici-
pation Services","5,602,000",7000000,"250,000",-,4.5,,586,0
,"Governance
and Ethics","9,353,600",,"1,050,000",-,11.2,,586,0
,Total,"983,133,205","7,000,000","614,589,828",-,62.5,-,586,0
"Sports promotion
and development","Su b - pro-
g r a m m e :
Sports promo-
tion and devel-
opment","8,184,400",-,"1,250,000",-,15.3,-,586,0
"Programme 2:
Early Childhood
Education
Development
Services","Su b - pro-
gramme: Ear-
ly Childhood
Education De-
velopment Ser-
vices","164,909,950","77,374,000","152,200,000","37,969,863",92.3,49,586,0
"Programme 3:
Culture, Heritage
and Library Services","Su b - pro-
gramme: Pro-
motion of
Culture and
Heritage Ser-
vices","13,456,600",-,"1,550,000",-,11.5,-,586,0
"Programme
4: Gender and
Social Services","Su b - pro-
gramme: Gen-
der & Social
Services","138,892,700","27,200,000","78,933,863",,56.8,-,586,0
"Programme
5 Vocational
Training Services","Su b - pro-
gramme: In-
frastructural
development","18,685,000","14,470,000","3,900,000",,20.9,-,586,0
"Programme
6: General
administration,
Planning and
Support Services","Su b - pro-
gramme: Plan-
ning and Sup-
port Services","416,815,245",-,"262,852,155",-,63.1,-,586,0
,Sub Total,"760,943,895","119,044,000","500,686,018","37,969,863",65.8,32,586,0
"ICT, Trade, Industrialization, Co-op-
erative Development",,,,,,,,586,0
"Programme 1: Trade
Services","Su b - pro-
gramme: Busi-
ness Support
& Investment
Services","2,404,140.00",211000000,"1,350,000.00",-,56.2,-,586,0
"Programme 2: Co-
operatives Services","Sub - Pro-
gramme: Ca-
pacity Building
Services",3683120,"8,600,000",-,-,-,-,586,0
,,"Recurrent Expen-
diture","Development Ex-
penditure","Recurrent Expen-
diture","Development Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",587,0
"Programme 3: ICT
Infrastructure
Services","Su b - pro-
gramme: ICT
Infrastructure
Improvement
& Enhance-
ment Services","9,308,400","9,000,000","1,550,000.00",,16.7,-,587,0
"Programme 4:
Industrialisation and
Investment Services","Sub - Pro-
gramme: In-
vestment and
Industry Ser-
vices",2839080,-,-,-,-,-,587,0
"Programme
5: General
Administration,
Planning and
Support Services","Su b - pro-
g r a m m e :
General ad-
ministration,
Planning and
Support Ser-
vices","164,773,720",-,"78,860,163.33",-,47.9,-,587,0
,Sub Total,"183,008,460","228,600,000","81,760,163",-,44.7,-,587,0
"Lands and Spatial
Planning",,,,,,,,587,0
"Land Policy and
Physical Planning","Su b - pro-
gramme: Ur-
ban Physical
Planning Ser-
vices","14,316,800","101,417,588","1,850,000.00",-,12.9,-,587,0
,"Sub - Pro-
g r a m m e :
County Survey
and Policy Ser-
vices","4,128,600",-,-,-,-,-,587,0
"General
Administrative and
Support Services","Su b - pro-
gramme: Gen-
eral Admin-
istrative and
Support Ser-
vices","27,195,339",-,"17,371,058.27",-,63.9,-,587,0
,Sub-Total,"45,640,739.20","101,417,588.00","19,221,058.27",,42.1,-,587,0
WAJWASCO,,,,,,,,587,0
WAJWASCO,"Su b - pro-
gramme: WA-
JWASCO","151,333,546.00","520,000,000.00","80,177,020","300,333,644",53.0,58,587,0
,Sub-Total,"151,333,546","520,000,000","80,177,020","300,333,644",53.0,58,587,0
"County Public Ser-
vice Board",,,,,,,,587,0
"County Public Ser-
vice Board Services","Su b - pro-
gramme: Co-
ordination and
Supervisory","83,812,668",-,"40,318,121",-,48.1,-,587,0
,Sub-Total,"83,812,668",-,"40,318,121",-,48.1,,587,0
Municipality,,,,,,,,587,0
"Urban Development
Services","Sub - Pro-
gramme: Ur-
ban Develop-
ment Services","209,688,284","165,802,480","123,566,455","37,500,000",58.9,23,587,0
,Sub-Total,"209,688,284.00","165,802,480","123,566,455","37,500,000",58.9,23,587,0
Total,,"7,272,105,910.20","3,109,233,121.88","4,043,051,364.99","569,673,720.67",55.6,18,587,0
"County Assembly
Services","County As-
sembly Ser-
vices","853,341,593.00",-,"430,212,138",-,50.4,-,587,0
