Department,Program,Sub Program,Budget in Kshs,col_4,Expenditure in Kshs,col_6,Rate of Absorption,col_8,page_number,table_index
,,,Rec,Dev,Rec,Dev,Rec,Dev,311,0
"County
Public
Service
Board","General Ad-
ministration
and Planning","General Ad-
ministration
and Planning","79,013,066","20,000,000","18,950,687",-,24.0,-,311,0
County Public Service Board Total,,,"79,013,066","20,000,000","18,950,687",-,24.0,-,311,0
"County
Secretary","Leadership
and coor-
dination of
departments","Leadership
and coor-
dination of
departments","516,040,327",-,"342,934,185",-,66.5,-,311,0
County Secretary Total,,,"516,040,327",-,"342,934,185",-,66.5,-,311,0
"Devolution
& Public
Service","Enforcement
and compli-
ance","Enforcement
and compli-
ance",,-,"304,420",-,-,-,311,0
,"Information
and commu-
nication","Information
and commu-
nication",,-,-,-,-,-,311,0
,"Volunteerism
& mentorship","Volunteerism
& mentorship",,-,,-,-,-,311,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","263,545,578","5,495,742","109,095,463",-,41.4,-,311,0
,"Youth De-
velopment
Support &
Empower-
ment","Youth Devel-
opment",,-,,-,-,-,311,0
,"Public Partici-
pation & Civ-
ic Education","Public
Participation
& Civic Edu-
cation","48,987,500","8,131,545","2,931,877","194,500",6.0,2.4,311,0
Devolution & Public Service Total,,,"312,533,078","13,627,288","112,331,760","194,500",35.9,1.4,311,0
"Finance &
Socio-Eco-
nomic
Planning","General ad-
ministration
& planning","General ad-
ministration
& planning","645,988,652","623,898,688","304,713,954","108,712,774",47.2,17.4,311,0
,"Public finan-
cial manage-
ment","Accounting
services","13,321,267",-,"3,443,327",-,25.8,-,311,0
,,"Budget
formulation,
coordination
and manage-
ment","50,570,000",-,"22,895,560",-,45.3,-,311,0
,,"Economic
planning","53,558,480",-,"24,353,882",-,45.5,-,311,0
,,"Internal audit
services","8,600,000",-,"1,639,190",-,19.1,-,311,0
,,"Resource
mobilisation","60,120,196",-,"12,773,022",-,21.2,-,311,0
,,"Supply chain
management
services","7,723,200",-,"371,025",-,4.8,-,311,0
Finance & Socio-Economic Planning Total,,,"839,881,795","623,898,688","370,189,961","108,712,774",44.1,17.4,311,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,312,0
