Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",500,0
County Assembly,,,,,,,,500,0
"General
Administra-
tion, Planning
and support
services","General Administra-
tion","788,396,752.00",,"534,798,234.00",,,,500,0
,Development,,"325,000,000.00",,"144,523,803.72",,,500,0
,,,,,,,,500,0
,Sub Total,"788,396,752.00","325,000,000.00","534,798,234.00","144,523,803.72",-,-,500,0
Office of the Governor,,,,,,,,500,0
"Executive
Services","County leadership &
coordination of CDAs","38,500,000",-,"38,630,731",-,100,,500,0
,"County Government
Advisory Service","64,878,000",-,"57,318,949",-,88,,500,0
,"Coordination of peace
and cohesion","32,500,000",-,"27,466,019",-,85,,500,0
,Sub Total,"135,878,000",-,"123,415,699",-,,,500,0
"General
Administra-
tion, Planning
and support
services","General Adminis-
tration, Planning and
support services","315,890,101",-,"136,521,793",-,43,,500,0
,Sub Total,"315,890,101",-,"136,521,793",-,,,500,0
,Grand Total,"451,768,101",-,"259,937,492",,58,,500,0
Finance and Economic planning,,,,,,,,500,0
"Public Finance
Management",PFM Enhancement,"5,789,349",,"4,679,600",-,81,,500,0
,"Economic planning
and Budgeting","33,625,694",,"28,833,910",-,86,,500,0
,"Monitoring and Eval-
uation","17,980,523",,"16,966,301",-,94,,500,0
,"Supply chain manage-
ment services","20,700,000",,"17,466,007",-,84,,500,0
,"Own Source revenue
collection","21,620,000",,"17,200,050",-,80,,500,0
,Accounting & Finance,"25,200,000",,"18,705,170",-,74,,500,0
,Internal Audit,"12,782,110",,"9,406,900",-,74,,500,0
,Sub Total,"137,697,676",-,"113,257,938",-,573,,500,0
"General
Administra-
tion, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","506,885,375","466,446,398","300,224,095","100,650,905",59,22,500,0
,Sub Total,"506,885,375","466,446,398","300,224,095","100,650,905",59,22,500,0
,Grand Total,"644,583,051","466,446,398","413,482,033","100,650,905",632,22,500,0
County Public Service Board,,,,,,,,500,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",501,0
"General
Administra-
tion, Planning
and Support
Services","Human Resource
Management and
Development","6,169,276",-,"5,459,100",-,88,,501,0
"Skills and
competency
development","Skills and competency
development","1,778,824",-,"890,700",-,50,,501,0
"General
Administra-
tion, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","65,407,004",-,"28,570,138",-,44,,501,0
,Grand Total,"73,355,104",-,"34,919,938",-,182,,501,0
"Trade, Tourism and Cooperative
Development",,,,,,,,501,0
"General Ad-
ministration","Trade, weights and
measures","16,799,849","72,000,000","5,298,699",-,32,,501,0
"Tourism pro-
motion",Tourism promotion,"10,079,909",,"2,262,050",-,22,,501,0
"Cooperative
Development","Cooperative Develop-
ment","6,719,940",,"4,631,209",-,69,-,501,0
,Grand Total,"33,599,698","72,000,000","12,191,958",-,36,-,501,0
,,,,,-,,-,501,0
"Agriculture, Livestock & Fisheries",,,,,,,,501,0
"General
Administra-
tion, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","5,055,788",,"3,840,450",-,76,-,501,0
"Agricultural
Development","Agricultural Mechani-
zation Services (AMS)","12,764,500","65,500,000","11,065,800",-,87,-,501,0
,Crop Husbandry,"76,169,666","15,000,000","13,950,874",-,18,-,501,0
,Plant Disease Control,"1,600,000",,"1,500,891",-,94,-,501,0
,KCSAP,"10,000,000","82,386,194","10,000,000",-,100,-,501,0
,ASDSP,"5,000,000","20,261,832","5,000,000",-,100,-,501,0
,FAO,"1,245,700",,"888,400",-,71,-,501,0
,Development,-,"55,000,000",-,,,-,501,0
,Sub-Total,"111,835,654","238,148,026","46,246,415",-,41,-,501,0
"General
Administration,
Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","1,887,000",-,"1,593,600",-,84,-,501,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",502,0
"Fisheries
Development","Empowerment of
women and youth on
fish safety and quality
assurance","1,520,000",-,"964,780",-,63,-,502,0
,"Construction of ice
plant and cold storage","16,202,370",-,"15,597,336",-,96,-,502,0
,Development,-,"34,727,370",,,,-,502,0
,Sub-Total,"19,609,370","34,727,370","18,155,716",-,93,-,502,0
"General
Administration,
Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","2,484,372",-,"1,966,260",-,79,-,502,0
"Veterinary
Services",Extension services,"1,118,500",-,"942,542",-,84,-,502,0
,"Breed improvement
and artificial insemi-
nation","685,000",-,"649,300",-,95,-,502,0
,"Veterinary Public
Health/Abattoirs","1,182,846",-,"1,128,806",-,95,-,502,0
,"Leather Development
Services","382,000",-,"397,800",-,104,-,502,0
"Disease
Control","Control Tsetse fly and
Laboratory Services","2,468,872",-,"1,973,100",-,80,-,502,0
,"Conduct disease sur-
veillance and carry out
timely vaccination","6,594,600",-,"6,030,800",-,91,-,502,0
,Sub-Total,"14,916,190",-,"13,088,608",-,88,-,502,0
"General
Administration,
Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","4,589,975",,"2,845,171",,62,-,502,0
"Animal
Husbandry,
Livestock
Resource
Management
and
Development","Livestock Extension
Services","2,396,595",,"1,721,850",,72,-,502,0
,Animal Husbandry,"1,805,000","32,000,000","1,107,600",-,61,-,502,0
,Sub-Total,"8,791,570","32,000,000","5,674,621",-,65,-,502,0
,Grand Total,"155,152,784","304,875,396","83,165,360",-,54,-,502,0
"Gender, Social Service and Youth
Development",,,,,,,,502,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",503,0
"Child Protec-
tion.","Baseline Survey for
OVC","3,700,000",-,"671,715",-,18,-,503,0
,"Community Aware-
ness creation on Child
Rights and Child
Protection","1,300,000",-,"446,400",-,34,-,503,0
