Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorp-
tion Rate
(%)",page_number,table_index
"Administration,
Planning and Sup-
port Service",,"1,610,997,835.00","562,231,714.10","1,048,766,120.90",35,573,0
,Administrative Service,"1,557,911,139.00","562,231,714.10","995,679,424.90",36,573,0
,Research and Development,"48,552,523.00",-,"48,552,523.00",-,573,0
,"Formulation of Policies, Regulations
and Legal Framework","4,534,173.00",-,"4,534,173.00",-,573,0
"Livestock Develop-
ment and Manage-
ment",,"29,900,000.00","666,302.00","29,233,698.00",2,573,0
,Veterinary Services and Extension,"17,150,000.00","666,302.00","16,483,698.00",4,573,0
,Livestock Extension,"12,750,000.00",-,"12,750,000.00",-,573,0
"Fisheries Develop-
ment and Manage-
ment",,"10,050,000.00","232,828.00","9,817,172.00",2,573,0
,Promotion of Fish Farming,"10,050,000.00","232,828.00","9,817,172.00",2,573,0
"Crop Development
and Management",,"19,452,874.00","1,059,750.00","18,393,124.00",5,573,0
,Crop Extension,"5,350,000.00",-,"5,350,000.00",-,573,0
,Farm Input Subsidy,"14,102,874.00","1,059,750.00","13,043,124.00",8,573,0
"Cooperatives De-
velopment",,"13,550,000.00","6,239,546.00","7,310,454.00",46,573,0
,Cooperative Development Services,"13,550,000.00","6,239,546.00","7,310,454.00",46,573,0
"Land Survey and
Mapping Services",,"5,000,000.00","1,482,416.00","3,517,584.00",30,573,0
,Land Survey and Mapping,"5,000,000.00","1,482,416.00","3,517,584.00",30,573,0
"1 Urban and Phys-
ical Planning and
Housing Services",,"32,034,352.00","3,843,950.00","28,190,402.00",12,573,0
,Urban and Physical Planning,"3,000,000.00","1,207,250.00","1,792,750.00",40,573,0
,Vihiga Municipality {KUSP},"29,034,352.00","2,636,700.00","26,397,652.00",9,573,0
"Administration,
Planning and Sup-
port Service",,"546,616,848.00","396,323,673.30","150,293,174.70",73,573,0
,Administrative Service,"546,616,848.00","396,323,673.30","150,293,174.70",73,573,0
"Transport Manage-
ment",,"20,402,400.00","4,247,352.65","16,155,047.35",21,573,0
,Transport System Management,"20,402,400.00","4,247,352.65","16,155,047.35",21,573,0
"Infrastructure De-
velopment",,"800,000.00",-,"800,000.00",-,573,0
,Roads Maintenance,"800,000.00",-,"800,000.00",-,573,0
"Administration,
Planning and Sup-
port Service",,"114,847,083.00","53,246,059.50","61,601,023.50",46,573,0
,Administrative Service,"114,847,083.00","53,246,059.50","61,601,023.50",46,573,0
"Public Finance
Management",,"51,328,751.00","40,069,108.50","11,259,642.50",78,573,0
,ICT Printing press,"51,328,751.00","40,069,108.50","11,259,642.50",78,573,0
"Trade Development
and Investment",,"32,544,003.00","10,277,132.00","22,266,871.00",32,573,0
,"Market Development and Manage-
ment","29,494,003.00","10,277,132.00","19,216,871.00",35,573,0
,"Business Support and Consumer
Protection","3,050,000.00",-,"3,050,000.00",-,573,0
"Tourism Develop-
ment",,-,-,-,-,573,0
,Tourism Promotion and Branding,-,-,-,-,573,0
"Administration,
Planning and Sup-
port Service",,"1,612,290,983.00","1,048,276,049.95","564,014,933.05",65,573,0
,Administrative Service,"458,104,689.00","204,586,814.30","253,517,874.70",45,573,0
,"Human Resource Management and
Development","1,142,354,432.00","839,100,640.30","303,253,791.70",73,573,0
,Healthcare Financing,"11,831,862.00","4,588,595.35","7,243,266.65",39,573,0
"Promotive and Pre-
ventive Healthcare
Services",,"9,340,000.00","4,398,800.00","4,941,200.00",47,574,0
,Public Health Services,"4,120,000.00","1,131,600.00","2,988,400.00",27,574,0
,Community Health Strategy,"2,000,000.00","1,600,700.00","399,300.00",80,574,0
,Health Promotion,"500,000.00",-,"500,000.00",-,574,0
,Reproductive Healthcare,"2,700,000.00","1,666,500.00","1,033,500.00",62,574,0
,Disease Surveillance and Emergency,"20,000.00",-,"20,000.00",-,574,0
"Curative And Re-
habilitative Health
Services",,"96,800,000.00","47,618,613.00","49,181,387.00",49,574,0
