Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
March 31 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",52,1
Administration and Public Service,,,,,,,,52,1
"Adminis-
tration and
Public Service",County Executive,"216,673,227",-,"166,244,395",-,76.7,-,52,1
,County PSB,"44,645,188",-,"23,522,081",-,52.7,-,52,1
,"Administration/Gover-
nance","121,015,962","34,000,000","29,228,173",-,24.2,-,52,1
,Public Service,"1,790,419,357",-,"1,258,772,520",-,70.3,-,52,1
,Sub total,"2,172,753,734","34,000,000","1,477,767,169",-,68.0,-,52,1
,,,,,,,,52,1
"Finance, Economic Planning and ICT",,,,,,,,52,1
Finance,"Financial Management
Services","249,066,000","59,934,000","122,349,412","11,896,551",49.1,19.8,52,1
,Sub total,"249,066,000","59,934,000","122,349,412","11,896,551",49.1,19.8,52,1
"Economic
Planning",Administration,"68,903,419","158,263,103","44,368,012","49,180,886",64.4,31.1,52,1
,"Budget Preparation &
Management","11,400,528",-,"6,153,400",-,54.0,-,52,1
,M & E Services,"21,345,766",-,"2,493,300",-,11.7,-,52,1
,Planning & Statistics,"29,290,555",-,"22,285,219",-,76.1,-,52,1
,Sub total,"130,940,268","158,263,103","75,299,931","49,180,886",57.5,31.1,52,1
ICT,Administration,"22,478,654","15,000,000","3,024,450",-,13.5,-,52,1
,Sub total,"22,478,654","15,000,000","3,024,450",-,13.5,-,52,1
,,,,,,,,52,1
"Lands, Housing and Urban Planning",,,,,,,,52,1
"Lands, Hous-
ing and Urban
Planning",Lands,"12,065,000","140,000,000","842,210",-,7.0,-,52,1
,Urban Management,"32,365,218","20,000,000","2,978,700",-,9.2,-,52,1
,Housing Development,"5,823,810",-,"317,200",-,5.4,-,52,1
,Municipality,"51,087,808","60,576,266","2,000,000",-,3.9,-,52,1
,Sub total,"101,341,836","220,576,266","6,138,110",-,6.1,-,52,1
,,,,,,,,52,1
"Youth, Sports, Gender and Culture",,,,,,,,52,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",53,0
"Youth, Sports,
Gender and
Culture","Policy Development and
Administrative Services","5,575,700",-,"1,843,700",-,33.1,-,53,0
,"Gender, Children
Services and Social
Protection","18,000,000",-,"4,290,000",-,23.8,-,53,0
,"Youth and Sports Devel-
opment","27,000,000","19,500,000","6,000,000",-,22.2,-,53,0
,Sub total,"50,575,700","19,500,000","12,133,700",-,24.0,-,53,0
,,,,,,,,53,0
Medical Services and Public Health,,,,,,,,53,0
"Medical
Services and
Public Health","Administration,
Planning and Support
Services","1,181,011,077",-,"847,606,854",-,71.8,-,53,0
,Policy Development,"3,000,000",-,-,-,-,-,53,0
,"Healthcare financing
– transfers to health
facilities","233,687,921",-,"170,896,000",-,73.1,-,53,0
,Curative Services,"249,629,649",-,"64,053,048",-,25.7,-,53,0
,"Preventive and Promo-
tive Services","75,605,950",-,"11,947,960",-,15.8,-,53,0
,"Reproductive Health
Services","15,000,000",-,-,-,-,-,53,0
,"Health Infrastructure
Development",,"201,737,868",-,-,-,-,53,0
,Sub total,"1,757,934,597","201,737,868","1,094,503,862",-,62.3,-,53,0
,,,,,,,,53,0
"Agriculture, Livestock and Cooperatives",,,,,,,,53,0
Agriculture,Administration,"27,437,309",-,"6,423,500",-,23.4,-,53,0
,Crop Management,-,"159,580,679",-,"107,933,714",-,67.6,53,0
,"Food & Nutrition
Security",-,"118,000,000",-,-,-,-,53,0
,Sub total,"27,437,309","277,580,679","6,423,500","107,933,714",23.4,38.9,53,0
"Livestock,
Fisheries &
Veterinary
Services",Livestock Development,-,"10,500,000",-,-,-,-,53,0
,Fisheries Development,-,-,-,-,-,-,53,0
,Veterinary Services,-,"69,300,000",-,-,-,-,53,0
,Sub total,-,"79,800,000",-,-,-,-,53,0
"Co-operative
& Enterprise
Development",Administration,"22,020,000",-,"9,705,000",-,44.1,-,53,0
,"Policy Formulation &
Admin",-,"3,500,000",-,-,-,-,53,0
,"Co-operative Develop-
ment",-,"54,989,000",-,-,-,-,53,0
,"Value Addition & Mar-
keting",-,"11,002,633",-,-,-,-,53,0
,Enterprise Development,-,-,-,-,-,-,53,0
,Sub total,"22,020,000","69,491,633","9,705,000",-,44.1,-,53,0
,,,,,,,,53,0
Water Sanitation and Environment,,,,,,,,53,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",54,0
"Water and
Irrigation",Administration,"119,571,220","6,000,000","67,386,735",-,56.4,-,54,0
,"Development of Water
Supply for Domestic and
Commercial purposes",-,"163,107,100",-,-,-,-,54,0
,Irrigation Development,-,"3,000,000",,-,-,-,54,0
,Sub total,"119,571,220","172,107,100","67,386,735",-,56.4,-,54,0
"Waste Water
management","Waste Water manage-
ment",-,-,-,-,-,-,54,0
,Sub total,-,-,-,-,-,-,54,0
"Environment
& Natural
resources",Administration,"32,372,900","600,000","2,700,000",-,8.3,-,54,0
,"Environmental and nat-
ural resources protection
and conservation",-,"187,800,000",-,-,-,-,54,0
,Sub total,"32,372,900","188,400,000","2,700,000",-,8.3,-,54,0
,,,,,,,,54,0
Education and Vocational Training,,,,,,,,54,0
"Education and
Vocational
Training","Policy Planning & Gen-
eral Administration","241,510,870",-,"110,861,888",,45.9,-,54,0
,"Early Childhood Devel-
opment and Education",-,"115,398,400",-,"8,000,000",-,6.9,54,0
,"Technical Vocational
Educational and Training",-,"30,544,433",-,-,-,-,54,0
,Sub total,"241,510,870","145,942,833","110,861,888","8,000,000",45.9,5.5,54,0
,,,,,,,,54,0
"Roads, Public Works and Transport",,,,,,,,54,0
"Roads, Public
Works and
Transport","Policy planning and
administrative services","58,712,200",-,"13,861,340",-,23.6,-,54,0
