Programme,Sub Programme,"Approved Budget
(Kshs)","Actual Expenditure
as of 31st March 2023
(Kshs)",Absorption (%),page_number,table_index
,,-,-,,486,0
103003260,Infrastructure Development programme,-,-,,486,0
101003260,Administration Planning and Support Services,-,-,,486,0
701003260,General Administration support services,-,-,,486,0
,County Assembly Headquarters,"1,048,022,686","474,014,889",45.2,486,0
702003260,County Assembly Infrastructure improvement,"73,000,000","9,476,900",13.0,486,0
701003260,General Administration support services,"975,022,686","464,537,989",47.6,486,0
,Headquarters,"2,963,670,045","2,090,958,000",70.6,486,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,486,0
701003260,General Administration support services,"2,963,670,045","2,090,958,000",70.6,486,0
3260,,-,-,-,486,0
705003260,Leadership Development Programme,-,-,-,486,0
704003260,"General Administration and Management of County
Affairs",-,-,-,486,0
,Taveta Sub County Administration,"540,000",-,-,486,0
705003260,Leadership Development Programme,-,-,-,486,0
701003260,General Administration support services,"540,000",-,-,486,0
,Wundanyi Sub County Administration,"540,000",-,-,486,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,486,0
701003260,General Administration support services,"540,000",-,-,486,0
,Mwatate Sub County Administration,"540,000",-,-,486,0
701003260,General Administration support services,"540,000",-,-,486,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,486,0
,Voi Sub County Administration,"540,000",-,-,486,0
701003260,General Administration support services,"540,000",-,-,486,0
,Taveta Town Administration,"500,000",-,-,486,0
705003260,Leadership Development Programme,-,-,-,486,0
701003260,General Administration support services,"500,000",-,-,486,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,486,0
,Voi Town Administration,"500,000",-,-,486,0
701003260,General Administration support services,"500,000",-,-,486,0
705003260,Leadership Development Programme,-,-,-,486,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,486,0
,County Policing Authority,-,-,-,486,0
701003260,General Administration support services,-,-,-,486,0
,Human Resource Management,"2,000,000",-,-,486,0
701003260,General Administration support services,"2,000,000",-,-,486,0
,,"3,480,000",-,-,486,0
701003260,General Administration support services,"3,480,000",-,-,486,0
,,"450,000",-,-,486,0
701003260,General Administration support services,"450,000",-,-,486,0
,Headquarters,"84,541,320","35,700,000",42.2,486,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,487,0
704003260,"General Administration and Management of County
Affairs","84,541,320","35,700,000",42.2,487,0
705003260,Leadership Development Programme,-,-,-,487,0
701003260,General Administration support services,-,-,-,487,0
,Office of the Deputy Governor,"22,600,000","16,418,000",72.6,487,0
101003260,Administration Planning and Support Services,-,-,-,487,0
