Program,Sub Program,Revised Estimates,col_3,Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Vote,"5064-Kisumu -
Department of
Tourism, Trade
and Heritage",,,,,,,227,0
101005064,,"42,535,873.00",-,"15,854,959.50",-,37.3,,227,0
,"Planning and Co-
ordination Services","42,535,873.00",-,"15,854,959.50",-,37.3,,227,0
103005064,,"1,500,000.00",-,"100,000.00",-,6.7,,227,0
,"Physical planning
services","1,500,000.00",-,"100,000.00",-,6.7,,227,0
301005064,,"2,350,000.00",-,-,-,-,,227,0
,"Infrastructure
Development","2,350,000.00",-,-,-,-,,227,0
303005064,,"8,563,750.00",-,"1,389,361.00",-,16.2,,227,0
,"Tourism Standards
Development","2,250,000.00",-,"500,000.00",-,22.2,,227,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",228,0
,"Tourism Event
Management","4,000,000.00",-,"49,361.00",-,1.2,,228,0
,"Tourism Develop-
ment","2,313,750.00",-,"840,000.00",-,36.3,,228,0
304005064,,"14,750,000.00",-,"3,339,000.00",-,22.6,,228,0
,"Administration
planning","14,750,000.00",-,"3,339,000.00",-,22.6,,228,0
502005064,,"1,000,000.00","50,000,000.00","200,000.00",-,20.0,,228,0
,"Youth Training
Facilities","1,000,000.00","50,000,000.00","200,000.00",-,20.0,,228,0
504005064,,"1,480,000.00",-,"159,678.00",-,10.8,,228,0
,"Social Dev. Facil-
ities","955,000.00",-,"100,000.00",-,10.5,,228,0
,"Gender & Disabili-
ty Mainstreaming","525,000.00",-,"59,678.00",-,11.4,,228,0
506005064,,"2,027,500.00",-,"88,650.00",-,4.4,,228,0
,"Sports Manage-
ment","320,000.00",-,"12,250.00",-,3.8,,228,0
,"Talent Develop-
ment","1,707,500.00",-,"76,400.00",-,4.5,,228,0
507005064,,"9,778,625.00",-,"5,637,900.00",-,57.7,,228,0
,Sports Academy,"9,778,625.00",-,"5,637,900.00",-,57.7,,228,0
907005064,,"3,971,250.00","9,000,000.00","6,058,736.50",-,152.6,,228,0
,"Artistic Talent
Development","2,737,500.00","9,000,000.00","5,958,736.50",-,217.7,,228,0
,"Culture and Heri-
tage Development","1,233,750.00",-,"100,000.00",-,8.1,,228,0
,SUB Total,"87,956,998.00","59,000,000.00","32,828,285.00",-,37.3,,228,0
Vote,"Department of
Transport and
Infrastructure",,,,,,,228,0
,"Road construction
and maintenance
services","62,607,532.00","250,600,000.00","20,200,000.00",,32.3,,228,0
207005065,,"60,000,000.00",-,"6,850,210.00",-,11.4,,228,0
,Public Works,"5,000,000.00",-,-,-,-,,228,0
,"Mechanical Engi-
neering Services","55,000,000.00",-,"6,850,210.00",-,12.5,,228,0
304005065,,"76,353,738.00",-,"26,440,390.00",-,34.6,,228,0
,"Administration
planning","76,353,738.00",-,"26,440,390.00",-,34.6,,228,0
,Subtotal,"198,961,270.00","250,600,000.00","53,490,600.00",,26.9,,228,0
Vote,"Department of
Lands, Housing
and Physical
Planning",,,,,,,228,0
5067,,-,-,-,-,,,228,0
102005067,,"950,000.00",-,"150,000.00",-,15.8,,228,0
,County Survey,"950,000.00",-,"150,000.00",-,15.8,,228,0
103005067,,"3,900,000.00",-,"694,800.00",-,17.8,,228,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",229,0
,"Physical planning
services","1,350,000.00",-,"374,000.00",-,27.7,,229,0
,"county housing
management","2,550,000.00",-,"320,800.00",-,12.6,,229,0
109005067,,"21,053,620.00",-,"1,211,690.00",-,5.8,,229,0
,"Urban planning
and development","21,053,620.00",-,"1,211,690.00",-,5.8,,229,0
201005067,,"61,312,142.00","478,640,055.00","12,583,510.00",-,20.5,,229,0
,"General adminis-
tration & planning","61,312,142.00","478,640,055.00","12,583,510.00",-,20.5,,229,0
304005067,,"1,050,000.00","4,000,000.00","100,000.00",-,9.5,,229,0
,"Administration
planning","1,050,000.00","4,000,000.00","100,000.00",-,9.5,,229,0
,SUB Total,"88,265,762.00","482,640,055.00","14,740,000.00",-,16.7,,229,0
Vote,"Department of Ag-
riculture, Livestock
and Fisheries",,,,,,,229,0
101005068,,"150,691,428.00","477,275,932.00","135,417,934.70","74,838,368.00",89.9,15.7,229,0
,"Planning and
Administration","150,691,428.00","477,275,932.00","135,417,934.70","74,838,368.00",89.9,15.7,229,0
104005068,,"600,000.00",-,"36,400.00",-,6.1,,229,0
,"Promotion of Soil
and Water Man-
agement","600,000.00",-,"36,400.00",-,6.1,,229,0
105005068,,"44,215,499.00","19,500,000.00","4,763,749.30",-,10.8,-,229,0
,"Promotion of Fish-
eries Value Chains",-,-,-,-,,,229,0
,"Promotion of Crop
production Value
Chains","200,000.00","7,000,000.00",-,-,-,,229,0
,"Management of
Agriculture Advi-
sory services","7,353,445.00",-,"395,412.10",-,5.4,,229,0
,"Development of
Product Quality
Assurance","750,000.00",-,-,-,-,,229,0
,"Management of
Stations","25,350,000.00",-,"4,206,348.35",-,16.6,,229,0
