Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture as of 31st
March 2023","Variance
(Kshs.)","Absorption
Rate (% )",page_number,table_index
,"Natural Resources Manage-
ment","2,000,000","775,000","1,225,000",38.8,275,0
,"Climate Change Adaptation
& Mitigation","11,000,000",-,"11,000,000",-,275,0
,Integrated land rehabilitation,"1,000,000",-,"1,000,000",-,275,0
Sub-total,,"61,019,589","19,669,351","41,350,238",32.2,275,0
,,,,,,275,0
"Agriculture, Livestock & Veter-
inary",,,,,,275,0
Headquarter Services,"Headquarter Administration
Services","45,208,016","17,746,912","27,461,104",39.3,275,0
,"Agriculture Sector Extension
Management","27,031,259","19,124,414","7,906,845",70.7,275,0
Livestock Production,"Livestock Resource Develop-
ment and Management","2,200,000",-,"2,200,000",-,275,0
,"Livestock Marketing and Val-
ue Addition",,-,-,-,275,0
Crop Production & Horticulture,"Land and Crop Productivity
Enhancement and Manage-
ment","5,000,000",-,"5,000,000",-,276,0
,"Strategic Food Security Ser-
vice","26,914,415",-,"26,914,415",-,276,0
,"Agribusiness and Informa-
tion Management",,-,-,-,276,0
,"Standards and Quality Assur-
ance",,-,-,-,276,0
,"Climate Change Adaptation
& Mitigation","116,327,634","51,576,787","64,750,847",44.3,276,0
Veterinary Services,"Animal Health and Disease
Management","4,800,000","2,840,000","1,960,000",59.2,276,0
Fisheries Services,"Fisheries Development and
Management","1,000,000",,"1,000,000",-,276,0
Sub-total,,"228,481,324","91,288,113","137,193,211",40.0,276,0
,,,,,,276,0
Finance & Economic Planning,,,,,,276,0
"General Administration & Plan-
ning Services","Headquarter administration
services","37,187,066","8,467,772","28,719,294",22.8,276,0
"Administration, Planning
& Support Services",Personnel Services,"3,000,000","1,521,386","1,478,614",50.7,276,0
,"General Administration Ser-
vices","399,209,651","136,324,441","262,885,210",34.1,276,0
,"Market Infrastructural Ser-
vices","3,597,838","2,750,000","847,838",76.4,276,0
"Public Finance
Management Services",Internal Audit Services,"8,008,222","8,004,519","3,703",100.0,276,0
,"Enterprise Development
Fund","3,958,120","3,958,120",-,100.0,276,0
,Budget Management,"4,229,245","4,135,700","93,545",97.8,276,0
,"Financial Automation Ser-
vices","3,036,971","2,170,279","866,692",71.5,276,0
,Revenue collection services,"36,600,000","16,420,000","20,180,000",44.9,276,0
,Revenue Management,"30,000,000","4,400,000","25,600,000",14.7,276,0
,County Emergency Fund,"50,000,000","21,097,400","28,902,600",42.2,276,0
,"Supply chain management
services","2,813,518","1,914,000","899,518",68.0,276,0
Development Planning Services,"Monitoring and Evaluation
Services","588,000","510,750","77,250",86.9,276,0
,Integrated Planning,"1,418,436","1,316,115","102,321",92.8,276,0
,"Strategic Partnership & Col-
laboration","13,000,000","3,000,000","10,000,000",23.1,276,0
,"Research, Statistics & Docu-
mentation","4,158,140","2,993,640","1,164,500",72.0,276,0
,Participatory Budgeting,"3,725,000","2,810,261","914,739",75.4,276,0
Sub-total,,"604,530,207","221,794,383","382,735,824",36.7,276,0
,,,,,,276,0
Rumuruti Municipality,,,,,,276,0
"General Administration and
Planning Services",Administration Services,"2,000,000","500,000","1,500,000",25.0,276,0
"Roads Network
Improvement Housing and
Urban Development",Road Network improvement,"4,983,144",-,"4,983,144",-,276,0
Sub-Total,,"6,983,144","500,000","6,483,144",7.2,276,0
