Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",202,2
County Assembly,,,,,,,,202,2
"Legislation and
Oversight","Legislation and
Oversight","681,635,622","38,417,240","444,555,48",7,65.2,-,202,2
Sub Total,,"681,635,622","38,417,240","444,555,48",7 -,65.2,-,202,2
County Executive,,,,,,,,202,2
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",203,0
"Office of the
Governor and
Deputy Gov-
ernor","070601 County
Executive
Services","365,594,668",-,"167,169,660",-,45.7,-,203,0
"County
Executive
Administration","070701Coun-
ty Executive
Services",-,"251,446,624",-,"85,761,437",-,34.1,203,0
"Management of
County Affairs","070801 Coordi-
nation of Coun-
ty Functions","137,652,000",-,"40,840,933",-,29.7,-,203,0
"County
Executive
Committee
Affairs","070901 Organi-
sation of County
Business","6,200,000",-,"343,600",-,5.5,-,203,0
"County Public
Service Board","071001 Human
Resource Man-
agement","14,906,040",-,"7,685,050",-,51.6,-,203,0
"Administrative
Support
Services","020202 ICT
Governance","3,480,000",-,"2,152,500",-,61.9,-,203,0
,"020701 Govern-
ment Buildings
Services","2,567,000",-,"1,329,000",-,51.8,-,203,0
,"070411 Audit
Committee","1,919,000",-,"51,000",-,2.7,-,203,0
,"070412 County
Enforcement
Activities","4,185,000",-,"400,000",-,9.6,-,203,0
,"070413 ICT
Infrastructure
Development
Management","10,958,800",-,"7,046,000",-,64.3,-,203,0
,"070414 ICT Sys-
tems Develop-
ment Manage-
ment","1,522,000",-,"732,500",-,48.1,-,203,0
Sub Total,,"548,984,508","251,446,624","227,750,243","85,761,437",41.5,34.1,203,0
Finance and Economic Planning,,,,,,,,203,0
"Public Finance
Management","070401 Finance
Services","547,349,550","19,210,510","191,611,576",-,35.0,-,203,0
,"070402 Revenue
Services","17,300,000",-,"10,687,823",-,61.8,-,203,0
,"070404 Pro-
curement and
Supply Services","9,770,000",-,"6,752,475",-,69.1,-,203,0
,"070405 Internal
Audit Services","1,718,200",-,"50,000",-,2.9,-,203,0
,"070408 Budget
Formulation,
Coordination
and Manage-
ment","8,970,920",-,"6,396,800",-,71.3,-,203,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",204,0
,"070409
Accounting
Services","7,945,000",-,"4,513,500",-,56.8,-,204,0
"County
Planning and
Economic
Policy
Management","070501 Eco-
nomic Planning
Services","15,599,000",-,"10,701,842",-,68.6,-,204,0
Sub Total,,"608,652,670","19,210,510","239,278,756",-,39.3,-,204,0
Medical Services and Public Health,,,,,,,,204,0
"Curative and
Rehabilitative
Services","040301
Curative and
Rehabilitative
Services","2,111,605,163","782,650,068","1,323,071,250","193,482,589",62.7,24.7,204,0
Sub Total,,"2,111,605,163","782,650,068","1,314,506,510","193,482,589",62.3,24.7,204,0
Education,,,,,,-,-,204,0
Basic Education,"050101 General
Administration","380,114,905",-,"149,258,443",-,39.3,-,204,0
,"050102 Free
Pre-Primary
Education","7,440,000",-,"151,500",-,2.0,-,204,0
"State Education
Function
Support","050203 Tertiary
Education",-,"4,300,000",-,-,-,-,204,0
"Technical and
Vocational
Training","050301 Village
Polytechnique","678,500",-,"49,200",-,7.3,-,204,0
Sub Total,,"388,233,405","4,300,000","149,459,143",-,38.5,-,204,0
"Agriculture, Livestock and Fisheries",,,,,,,,204,0
"Livestock Re-
source Man-
agement and
Development","010102
Livestock
Extension
and Capacity
Building
Services","305,000",-,-,,-,-,204,0
,"010105 Live-
stock Produc-
tion Manage-
ment","2,480,000",-,"1,088,104",,43.9,-,204,0
,"010106 Live-
stock Disease
Management &
Control","1,200,000",-,"26,000",,2.2,-,204,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",205,0
"Crop
Development
and
Management","010202 Agricul-
tural Extension
Services","1,500,000",-,"364,224",,24.3,-,205,0
,"010203 Agri-
business and
Market Devel-
opment","320,000",-,"2,500",,0.8,-,205,0
,"010206 Land
and Crop Devel-
opment","1,331,000",-,"707,032",,53.1,-,205,0
,"010207 Food Se-
curity Initiatives","400,000",-,-,,-,-,205,0
"Kamweti
Agricultural
Training Centre","Extension and
Training",-,-,-,,-,-,205,0
"Fisheries
Development","010402 Aqua-
culture Devel-
opment","200,000",-,-,,-,-,205,0
"Policy
Strategy and
Management
of Agriculture","010801 De-
velopment of
Agricultural
Policy","543,000",-,"295,000",,54.3,-,205,0
,"011001 General
Administration
and Planning","224,623,628","420,106,201","141,124,521","27,156,162",62.8,6.5,205,0
Sub Total,,"232,902,628","420,106,201","143,607,381","27,156,162",61.7,6.5,205,0
Gender and Youth,,,,,,,,205,0
Culture,"090702 Social
Welfare Services","18,687,000",-,"8,759,750",-,46.9,-,205,0
,"091201 Gender
Administration
Services","30,821,210",-,"13,514,896",-,43.8,-,205,0
,"091301 Gender
and Social De-
velopment","1,490,000.00","42,133,334.00","310,000",-,20.8,-,205,0
Youth,"090901 Youth
Development
and Empower-
ment Services","670,000.00",-,"30,000",-,4.5,-,205,0
Sub Total,,"51,668,210","42,133,334","22,614,646",-,43.8,-,205,0
Sports Culture and Social Services,,,,,,,,205,0
Sports,"090701 General
Administration","12,721,217",-,"8,138,117",-,64.0,-,205,0
,"090801 De-
velopment of
Sports and
Sports Facilities",-,"8,466,666",-,-,-,-,205,0
,"091401 Man-
agement &
Development
of Sports and
Sports Facilities","1,905,000",-,"141,100",-,7.4,-,205,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",206,0
,"091601Control
& Campaign
Against Drug &
Substance Abuse","1,549,000",-,"774,500",-,50.0,-,206,0
,"091701 Pres-
ervation &
Promotion of
Heritage and
Culture","248,800",-,-,-,-,-,206,0
"Children
Services","091101 Child
Community
Support Services","4,784,000.00",-,"417,706",-,8.7,-,206,0
Sub Total,,"21,208,017","8,466,666","9,471,423",-,44.7,-,206,0
Cooperative Development Trade and Tourism,,,,,,,,206,0
"Trade Devel-
opment and
Investment","030401 General
Administration
and Planning","38,349,441",-,"22,567,855",-,58.8,-,206,0
,"030103 Capac-
ity Building for
Traders and
SMEs","1,077,000",-,-,-,-,-,206,0
,"030104 promo-
tion, Develop-
ment & Growth
of Trade","354,000",-,-,-,-,-,206,0
,"030105 Fair
Trade Practises
and Consumer
Protection","205,000",-,-,-,-,-,206,0
"Tourism
Development
and Marketing","030302 Tourism
Promotion and
Marketing","195,500",-,"85,000",-,43.5,-,206,0
,"030304 Interna-
tional Tourism
Promotion and
Marketing","310,000",-,"84,400",-,27.2,-,206,0
,"030305 Promo-
tion of Industri-
al Development","1,268,500",-,"14,000",-,1.1,-,206,0
,"030306 Provi-
sion of Industri-
al Training","140,000",-,-,-,-,-,206,0
"Cooperative
Development
and Marketing","030101 General
Administration
& Planning",-,"13,500,000",-,-,-,-,206,0
,"030405 Cooper-
ative Advisory
and Extension
Services","295,000",-,"44,000",-,14.9,-,206,0
,"030406 Cooper-
ative Education
and Training","416,000",-,"247,000",-,59.4,-,206,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",207,0
,"030407 Coop-
erative Gov-
ernance and
Accountability","159,000",-,"30,000",-,18.9,-,207,0
"Cooperative
Audit Services","030603 Inspec-
tions and In-
vestigations for
Cooperatives","70,000",-,-,-,-,-,207,0
Sub Total,,"42,839,441","13,500,000","23,072,255",-,53.9,-,207,0
Environment and Natural Resources,,,,,,,,207,0
"Water Supply
Services","090101 Water
and Irrigation",-,"72,836,666",-,-,-,-,207,0
"Energy
Programme","090301 Energy
Services","405,000",-,"13,750",-,3.4,-,207,0
"Cleaning
and Waste
Management","090502 Environ-
ment Man-
agement and
Protection","675,800",-,"180,200",-,26.7,-,207,0
"Environment
Management
and Protection","100401 Environ-
ment Man-
agement and
Protection","22,000,000",-,-,-,-,-,207,0
Nema,"090401 Waste
Management
Services","107,408,439",-,"69,049,030",-,64.3,-,207,0
Sub Total,,"130,489,239","72,836,666","69,242,980",-,53.1,-,207,0
"Lands, Housing and Urban Development",,,,,,,,207,0
"Land and Physi-
cal Planning","010601 General
Administration
and Planning","29,853,028",-,"16,318,461",-,54.7,-,207,0
,"010604 County
Spatial Planning","3,190,000",-,"601,970",-,18.9,-,207,0
,"010605 Town
Zoning and
Mapping",-,"78,079,534",-,-,-,-,207,0
,"010607 Survey
and Mapping","505,000",-,"60,000",-,11.9,-,207,0
"Housing
Development","010701 Im-
provement and
Development of
Human Settle-
ments","420,000",-,"184,800",-,44.0,-,207,0
Sub Total,,"33,968,028","78,079,534","17,165,231",-,50.5,-,207,0
Transport and Infrastructure,,,,,,,,207,0
"Transport Man-
agement","020301 General
Administration
and Planning","61,511,285",-,"55,097,205",-,89.6,-,207,0
"Disaster
Management","020401 Fire
Fighting and
Emergency
Services","2,222,083",-,"1,818,283",-,81.8,-,207,0
