Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q3 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"0701000 P1 General Ad-
ministration Planning and
Support Services","0701010 SP.1.1 General Ad-
ministration Planning and
Support Services","131,339,056","55,118,661","76,220,395",42.0,383,0
,"Total 5311000000 COUNTY
PUBLIC SERVICE BOARD","131,339,056","55,118,661","76,220,395",42.0,383,0
"0718005310 General
Administrative Services","0718015310 Sp1 General
Administration & Support
Services","558,487,666","282,351,966","276,135,700",50.6,383,0
,"0718025310 Sp2 Sub County
Administration","1,403,680,796","982,816,454","420,864,342",70.0,383,0
,"0718075310 Sp7 County
Executive","307,356,337","98,079,308","209,277,029",31.9,383,0
,0718095310 Sp9 Audit,"69,338,168","35,996,270","33,341,898",51.9,383,0
,"5312001400 Research Policy
& Development","2,340,733",-,"2,340,733",-,383,0
,"5312001500 Records Man-
agement","4,000,000",-,"4,000,000",-,383,0
,"5312001600 Donor Coor-
dination and Stakeholders
Engagement","80,000,000","3,035,399","76,964,601",3.8,383,0
"0724005310 P 24 Security
and Safety Management",0724055310 Inspectorate,"1,539,246,814","1,084,789,941","454,456,873",70.5,383,0
,"0724015310 sp 24.1 investi-
gative Services","48,056,981","20,143,839","27,913,142",41.9,383,0
"P; 0726005310:
Disaster Management
Coordination","072601510: Fire & Disaster
Management","488,443,380","258,251,315","230,192,065",52.9,383,0
"0725005310 P 25
Management of
legal affairs","0725015310 sp 25.1 legal
services","298,060,917","119,428,510","178,632,407",40.1,383,0
,"Total 5312000000 OFFICE
OF GOVERNOR & DEPU-
TY GOVERNOR","4,799,011,792","2,884,893,002","1,914,118,790",60.1,383,0
"0207000 P1: General
Administration Planning
and Support Services","0207010 SP 1: General Ad-
ministration, Planning And
Support Services","86,774,048","63,739,740","23,034,308",73.5,383,0
"0208000 P2: Information
And Communication
Services","0208010 SP 2.1: News And
Information Services","39,411,418","6,592,802","32,818,616",16.7,383,0
,"0208030 SP 2.3: ICT and
Media Regulatory Services","17,854,301","2,176,487","15,677,814",12.2,383,0
,"0208040 SP 2.4 E-Govern-
ment Services","9,493,789","133,600","9,360,189",1.4,383,0
"0210005310 ICT
Infrastructure
Development","0210010 SP1: ICT Infra-
structure Connectivity","175,881,048","100,000","175,781,048",0.1,383,0
,"0210035310 sp 3:Informa-
tion Security","9,504,365",-,"9,504,365",-,383,0
,"Total 5313000000 ICT,
E-GOVT & PUBLIC COM-
MUNICATIONS","338,918,969","72,742,629","266,176,340",21.5,383,0
"0701005310 Public
Financial Management","0701015310 Assets Manage-
ment Services","163,142,268","135,613,017","27,529,251",83.1,384,0
,"0701065310 sp1.6 Account-
ing Services","4,437,130","13,907,103","(9,469,973)",313.4,384,0
,"0701075310 sp1.7 Budget
Formulation Coordination
and mgt","139,761,559","52,365,837","87,395,722",37.5,384,0
,"0701085310 sp1.8 Resource
Mobilisation","320,955,697","237,226,498","83,729,199",73.9,384,0
,"070115310 Debt Manage-
ment Services","454,574,567","327,160,972","127,413,595",72.0,384,0
,"0718085310 Sp8 Supply
Chain Management","229,881,091","106,862,882","123,018,209",46.5,384,0
"0718015310 Sp1 General
Administration &
Support Services","0718015310 Sp1 General
Administration & Support
Services","497,912,311","352,144,571","145,767,740",70.7,384,0
"0719000 P3: Economic
and Financial Policy
Formulation and
Management","0719010 SP 3.1 Fiscal Policy
Formulation, Development
and Management","162,229,200","97,621,930","64,607,270",60.2,384,0
,"Total 5314000000 FINANCE
& ECONOMIC PLANNING","1,972,893,823","1,322,902,810","649,991,013",67.1,384,0
,,,-,-,-,384,0
"0401115310 HIV/AIDS
Prevention & Control Unit","5315000900 HIV/AIDS pre-
vention and control unit","1,600,057",-,"1,600,057",-,384,0
0401125310 TB Control,5315001000 TB control unit,"1,200,042",-,"1,200,042",-,384,0
"0401135310 Malaria
Control & Other Commu-
nicable Diseases","5315001100 Malaria Control
& Other Communicable
Diseases unit","1,200,042",-,"1,200,042",-,384,0
"0401145310 Reproductive
Health & Maternal Health
(RMNCAH)","5315001200 Reproductive
Health, Maternal Health
(RMNCAH)","98,992,017","58,326,740","40,665,277",58.9,384,0
"0401155310
Environmental /
Public Health","5315001300 Environmental
Public Health","99,100,006","11,653,400","87,446,606",11.8,384,0
"0402065310 sp.2.6 County
Referral Hospitals","5315000300 Mbagathi Dis-
trict Hospital","155,680,299",-,"155,680,299",-,384,0
,"5315000400 Pumwani Ma-
ternity Hospital","195,523,761","25,000,000","170,523,761",12.8,384,0
,Pumwani Nursing School.,"20,400,000",-,"20,400,000",-,384,0
,"5315000500 Mama Lucy
Hospital","439,724,895","37,289,000","402,435,895",8.5,384,0
,"5315000600 Mutuini Hos-
pital","71,900,000",-,"71,900,000",0.0,384,0
"0402075310 sp.2.7 Health
Centres & Dispensaries","5315001600 Health centres
& dispensaries","849,083,513","142,588,400","706,495,113",16.8,384,0
"0404015310 Sp4.1
Administration/Human
Resource for Health","5315001800 Administration
unit","3,591,741,213","1,856,117,946","1,735,623,267",51.7,384,0
"0404025310 Sp4.2
Health Policy, Planning
& Financing","5315001700 Health Policy,
Planning and Financing Unit","22,600,000","6,558,800","16,041,200",29.0,385,0
"0404035310 sp 4.3
Health Commodities","5315001900 Health Com-
modities",-,-,-,-,385,0
"0404055310 sp 4.5 Coro-
ner services unit","5315002100 Coroner Ser-
vices unit","41,818,371",-,"41,818,371",-,385,0
"5315002200 Nairobi
County Covid-19 Re-
sponse","5315002200 Nairobi County
Covid-19 Response","4,000,000","964,400","3,035,600",24.1,385,0
"Total 5315000000
HEALTH",,"5,594,564,216","2,138,498,686","3,456,065,530",38.2,385,0
,,-,-,-,-,385,0
"0106010 SP.6.1 Admin-
istration, Planning &
Support Services",5316000100 Headquarters,"181,996,138","91,553,210","90,442,928",50.3,385,0
"0114015310 sp 8.1
Urban planning","5316000200 Physical Plan-
ning","105,973,075","9,811,381","96,161,694",9.3,385,0
"0115025310 sp 9.2
land survey","5316000500 Survey and GIS
Department","111,878,602","7,447,500","104,431,102",6.7,385,0
,5316000400 Valuation,"35,000,000",-,"35,000,000",-,385,0
"Total 5316000000 UR-
BAN PLANNING AND
LANDS",,"434,847,815","108,812,091","326,035,724",25.0,385,0
,,-,-,-,-,385,0
