Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expenditure as of
31st March 2023
(Kshs.)","Absorption
Rate (%)",page_number,table_index,col_5,col_4
,,,,,61,1,,
"Department of Agriculture, Livestock & Cooperative",,,,,61,1,,
"Programme 1: General Admin-
istration, Planning and Support
Services","SP 1.1 Administrative and Support
Services","121,713,782","54,969,643",45.2,61,1,,
,"SP 1.2 Human Resource Management
and Development.","324,105,980","201,715,892",62.2,61,1,,
,"SP 1.3: Policy, Legal and Regulatory
Framework","7,600,000",-,-,61,1,,
,"SP 1.4: Planning and Financial Man-
agement","11,615,043",-,-,61,1,,
,SP 1.5 Sector Coordination,"4,000,000",-,-,61,1,,
,SP 1.6: Leadership and Governance,"2,000,000",-,-,62,0,,
,"SP 1.7 Sub-County Administrative
Costs","21,600,000",-,-,62,0,,
"Programme 2: Land and Crop
Development and Management","SP 2.2: Crop Production and Produc-
tivity","130,963,485","29,998,308",22.9,62,0,,
,"SP 2. 5 Value Addition and Agro
Processing","8,000,000",-,-,62,0,,
,"SP 2.7 Irrigation Extension and
Training","1,080,000",-,-,62,0,,
"Programme 3: Livestock Devel-
opment and Management","SP 3.1 Livestock Production Ex-
tension, Training and Information
Services","13,890,000",-,-,62,0,,
,SP 3.2 Value Addition and Processing,"96,300,000",-,-,62,0,,
,SP 3.4 Disease and Vector Control,"7,000,000",-,-,62,0,,
,"SP 3.5 Food Safety and Quality
Control","5,500,000",-,-,62,0,,
,SP 3.7 Veterinary Extension Services,"3,600,000",-,-,62,0,,
,"SP 3.8 Breeding and AI Subsidy
Programme","3,000,000",-,-,62,0,,
Ward Based Projects,Ward Based Projects,"5,820,000",-,-,62,0,,
"Programme 4: Fisheries Devel-
opment and Management","SP 4.1 Fisheries Extension Service
and Training","3,000,000",-,-,62,0,,
,"SP 4.2 Fisheries Product Value-Chain
Development","3,500,000",-,-,62,0,,
,"SP 4.5 Information and Data Man-
agement","49,300,000",-,-,62,0,,
"Programme 6: Institutional
Development and Management","SP 6.2 Agricultural Enterprise Devel-
opment (ATC)","6,560,000",-,-,62,0,,
,"SP 6.3 Infrastructural Development
(ATC)","11,960,000",-,-,62,0,,
