Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st
March 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",192,1
AGRICULTURE,,,,,,,,192,1
,"Administrative ser-
vices","16,390,650","47,000,000","5,552,142",-,34,-,192,1
,,"16,390,650","47,000,000","5,552,142",-,34,-,192,1
,,,,,,,,192,1
,,"19,853,690","66,000,000","13,476,354","3,000,000",68,5,192,1
,,"19,853,690","66,000,000","13,476,354.","3,000,000",68,5,192,1
,,,,,,,,192,1
,Sub-programme,"29,156,899","53,601,868","14,052,852",-,48,-,192,1
Sub Total,,"29,156,899","53,601,868","14,052,852",,48,-,192,1
Sub Total,,"65,401,239","166,601,868","33,081,348","3,000,000",51,2,192,1
OFFICE OF THE GOVERNOR,,,,,,,,192,1
,"Administrative ser-
vices","53,089,348",,"17,372,787",,33,,192,1
,"Governance and na-
tional values","302,838,227",,"156,312,325",,52,,192,1
,,"355,927,575",,"173,685,112",,49,,192,1
,Sub-Total,"355,927,575",,"173,685,112",,49,,192,1
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",193,0
Sub Total,,"355,927,575",,"173,685,112",,49,,193,0
COUNTY ATTORNEY,,,,,,,,193,0
,"P1.1: Administra-
tion, Planning and
Support Services","50,718,601","30,000,000","44,794,916",-,88,-,193,0
,"SP. 2.1 Legal Repre-
sentation and Coor-
dinating Prosecution","28,312,959",,-,-,-,,193,0
,"SP.2.2 Legislative
Drafting","6,054,000",,-,-,-,,193,0
Sub Total,,"85,085,560","30,000,000","44,794,917",-,53,-,193,0
FINANCE,"SP 1 Administration,
Planning and Sup-
port Service","222,281,690","325,841,541","548,123,231","365,337,000",247,112,193,0
,"SP 2.1. Budget For-
mulation, Coordi-
nation and Manage-
ment","20,712,337","17,615,250","38,327,587","16,465,598",185,93,193,0
,"SP 2.2: Audit Ser-
vices","11,100,000","30,116,195","41,216,195","4,340,308",371,14,193,0
,"SP 2.3: Accounting
Services","19,847,401","3,450,528","23,297,929","10,335,471",117,300,193,0
,"SP 2.4: Public Pro-
curement and Dis-
posal Services","17,100,000","3,299,100","20,399,100","7,967,553",119,242,193,0
,"SP 2.5: Resource Mo-
bilisation","25,565,000","179,533,805","205,098,805","13,383,912",802,7,193,0
,,"316,606,428","559,856,419","876,462,847","417,829,842",277,75,193,0
Sub Total,316606428,"559,856,419","876,462,847","417,829,842","458,633,004",75,52,193,0
"GENDER, CULTURE, SOCIAL SERVICES, YOUTH AND SPORTS",,,,,,,,193,0
,"SP1.1: General Ad-
ministration, Plan-
ning and Support
services","23,678,555","1,443,243","22,235,312",,94,-,193,0
,"SP 2.1 Heritage
Conservation Pro-
gramme","3,680,320","270,757","3,409,563",,93,-,193,0
,"SP 4.3 Social Devel-
opment and Child
Affairs","34,251,121",-,"34,251,121",,100,,193,0
,"SP 5.1 Sports Devel-
opment","270,224,870","2,476,400","267,748,470",,99,-,193,0
,"SP 7.1 Library
services","8,841,730",-,"8,841,730",,100,,193,0
Sub Total,,"340,676,596","4,190,400","336,486,196",,99,-,193,0
PUBLIC SERVICE MAMANGEMENT,,,,,,,,193,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",194,0
,"Administration,
Planning and Sup-
port Services","4,451,769,213",-,"3,011,991,506.",,68,,194,0
,Sub Total,"4,451,769,213",-,"3,011,991,506",,68,,194,0
,"Human Resource
Development","8,300,000",,"292,320",,4,,194,0
,Sub-Total,"8,300,000",-,"292,320",,4,,194,0
Sub Total,,"4,460,069,213",-,"3,012,283,826",,68,,194,0
"ROADS, TRANSPORT & PUBLIC WORKS",,,,,,,,194,0
,"Administrative Ser-
vices","228,765,413","1,143,697,407","155,366,762","260,802,846",68,23,194,0
,,,,,,,,194,0
"TRADE, TOURISM & COOPERATIVE DEVELOPMENT",,,,,,,,194,0
,"SP1.1: General Ad-
ministration, Plan-
ning and Support
services","29,650,000","8,651,573","20,998,427",,71,-,194,0
"P2: Trade De-
velopment and
Promotion","SP2.1:Market Devel-
opment","2,200,000","19,700","2,180,300",,99,-,194,0
,"SP2.2:Fair Trade &
Consumer Protec-
tion","2,500,000","618,800","1,881,200",,75,-,194,0
,"SP2.3:Trade Devel-
opment","221,220,420","17,997,653","203,222,767",,92,-,194,0
,"SP2.4: Investment
Promotion",-,-,-,,,,194,0
"P3: Coopera-
tive Develop-
ment & Mgt","SP3.1Promotion of
Cooperatives","19,100,000",-,"19,100,000",,100,,194,0
,"SP3.2 Cooperative
Governance & Ad-
visory","5,000,000",-,"5,000,000",,100,,194,0
,"SP3.3: Cooperative
Marketing & Value
Addition","4,300,568",-,"4,300,568",,100,,194,0
,"SP3.4Cooperative,
Education Research
& Development",-,-,-,,,,194,0
"P4. Tourism
Development
and Promotion","SP4.1Tourism Pro-
motion & Marketing","2,400,000",-,"2,400,000",,100,,194,0
,"SP4.2Niche Tourism
Products Develop-
ment & Diversifica-
tion","14,050,000",-,"14,050,000",,100,,194,0
,"SP4.4: Tourism
Training & Capacity
Building","878,784",-,"878,784",,100,,194,0
