Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st
March 2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Develop-
ment Expen-
diture",436,1
OFFICE OF THE GOVERNOR,,,,,,,,436,1
"General admin-
istration, plan-
ning and support
services","Service Delivery
Unit","20,200,000",-,"10,344,795",,51.21,-,436,1
,"Governor's Office
& Investment Pro-
motion","81,000,000",-,"46,555,356",,57.48,-,436,1
,"Liaison and In-
tergovernmental
Relations","20,900,000",-,"8,952,366",,42.83,-,436,1
,"Civic Education and
Public Participation","9,548,320",-,"4,648,054",,48.68,-,436,1
Sub Total,,"131,648,320",-,"70,500,571",-,53.55,-,436,1
"OFFICE OF THE COUNTY SECRETARY
-",,,,,,,,436,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Develop-
ment Expen-
diture",437,0
County Secretary,"County Secre-
tary-Administration","80,700,000",-,"70,730,164",-,87.65,-,437,0
,Cabinet Affairs,"1,920,000",-,"1,688,110",-,87.92,-,437,0
"Human Resource
Management","Payroll (Including
Compensation to
employees)","2,161,785,150",-,"1,472,067,247",-,68.09,-,437,0
,"Human Resource
Management (In-
cluding employee
gratuity, pension
and medical insur-
ance)","190,723,263",-,"78,438,240",-,41.13,-,437,0
Sub Total,,"2,435,128,413",-,"1,622,923,761",-,66.65,-,437,0
OFFICE OF COUNTY ATTORNEY,,,,,,,,437,0
"County Attorney
Services","legal and public
affairs","34,550,000",,"4,566,202",,13.22,-,437,0
Sub Total,,"34,550,000",,"4,566,202",,13.22,-,437,0
PUBLIC ADMINISTRATION AND ICT,,,,,,,,437,0
"Public administra-
tion","Public Administra-
tion","3,255,000",,"2,365,526",,72.67,-,437,0
,"sub-county and
ward administration","19,855,000",,"13,169,514",,66.33,-,437,0
,"Communication and
Public Relations","5,950,957","999,969","2,851,681",,47.92,-,437,0
,"Enforcement and
Compliance","9,750,000",,"4,144,970",,42.51,-,437,0
"ICT and
E-government
Services","ICT and E-govern-
ment Services","7,450,000",,"2,842,092",,38.15,-,437,0
Sub Total,,"46,260,957","999,969","25,373,783",-,54.85,,437,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,437,0
"County Public
Service Board","County Public Ser-
vice Board","25,250,000",,"16,656,456",,65.97,-,437,0
Sub Total,,"25,250,000",-,"16,656,456",-,65.97,-,437,0
FINANCE AND ECONOMIC DEVELOPMENT,,,,,,,,437,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Develop-
ment Expen-
diture",438,0
"Public Finance
Management",County Funds,"338,600,000","10,000,000","328,600,000",,97.05,-,438,0
,Treasury services,"18,389,315",,"13,608,727",,74.00,-,438,0
,"Nyandarua County
Trade Development
and Investment Au-
thority (NCTDIA)","4,000,000",,"3,263,082",,81.58,-,438,0
,Financial reporting,"7,850,000",,"6,717,668",,85.58,-,438,0
,"Revenue Collection
and Administration
(Including automa-
tion)","33,509,064",,"28,468,112",,84.96,-,438,0
,"Revenue Enhance-
ment and Moni-
toring","16,240,000",,"8,945,941",,55.09,-,438,0
,"Supply Chain Man-
agement","8,026,500",,"4,850,448",,60.43,-,438,0
,"Internal Audit and
Risk Management","8,040,000",,"5,499,359",,68.40,-,438,0
,"Internal Audit Com-
mittee","3,000,000",,"1,931,850",,64.40,-,438,0
"Economic planning
and development",County Budgeting,"15,405,000",,"6,312,029",,40.97,-,438,0
,"County Statistics
and Data Bank","5,100,000",,"3,346,626",,65.62,-,438,0
,"Monitoring and
Evaluation","6,960,192","8,221,124","2,055,730","8,221,124",29.54,100.00,438,0
,"Economic Model-
ling and Research","3,451,700",,"1,114,300",,32.28,-,438,0
,"Economic Develop-
ment Planning","52,010,412",,"12,103,797",,23.27,-,438,0
Sub Total,,"520,582,183","18,221,124","426,817,669","8,221,124",81.99,45.12,438,0
HEALTH SERVICES,,,,,,,,438,0
"Preventive and Pro-
motive Services","Preventive and Pro-
motive Services","8,000,000",,"4,277,905",,53.47,-,438,0
Curative Services,Curative Services,"277,746,500",,"161,945,463",,58.31,-,438,0
,"Universal health
care and grants","294,181,451",,"65,240,127",,22.18,-,438,0
"General
administration,
planning and
support services","Solid Waste and
Cemeteries","8,700,000","1,500,000","4,924,454",,56.60,-,438,0
,"Infrastructure and
Equipment",,"333,101,679",,"144,369,495",-,43.34,438,0
Sub total,,"588,627,951","334,601,679","236,387,949","144,369,495",40.16,43.15,438,0
"EDUCATION, GENDER, YOUTH,
CULTURE, GENDER AND SOCIAL
SERVICES",,,,,,,,438,0
Primary education,ECDE,"22,150,000","38,595,473","12,888,382",,58.19,-,438,0
"Youth Training
and Development","Revisitation of youth
polytechnics","35,867,342","10,700,000","2,675,765",,7.46,-,438,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Develop-
ment Expen-
diture",439,0
Culture,"development and
promotion of
culture","2,280,000","2,000,000","1,686,380",,73.96,-,439,0
Arts & Theatre,Arts & Theatre,"16,042,780","58,800,235","9,423,117","10,381,164",58.74,17.65,439,0
Sub Total,,"76,340,122","110,095,708","26,673,644","10,381,164",34.94,9.43,439,0
"INDUSTRIALISATION, TRADE,
COOPERATIVES & URBAN DEVEL-
OPMENT",,,,,,,,439,0
"Trade development
and promotion","Financial and Trade
Services","8,430,000","13,300,000","5,110,970",,60.63,-,439,0
"Industrial
development and
investment","Industrial and
Enterprise Develop-
ment","3,347,585","4,000,000","2,671,976",,79.82,-,439,0
,Weights & Measures,"1,500,000",,"767,800",,51.19,-,439,0
"Cooperative
development and
management","Cooperative adviso-
ry services","10,910,000",,"3,151,140",,28.88,-,439,0
,"cooperative audit
extension services","3,000,396",,"2,110,910",,70.35,-,439,0
"Urban
development",Urban development,"13,719,384","73,749,881","5,381,984","26,157,146",39.23,35.47,439,0
"Ol'kalou
municipality","Ol'kalou munici-
pality","22,805,000","30,897,691","7,968,994","1,499,904",34.94,4.85,439,0
Sub Total,,"63,712,365","121,947,572","27,163,774","27,657,050",42.64,22.68,439,0
"YOUTH, SPORTS AND ARTS",,,,,,,,439,0
Sports,Sports Development,"20,249,000","14,998,020","6,440,391","10,000,000",31.81,66.68,439,0
Youth Affairs,Youth Affairs,"17,555,000",,"5,893,982",,33.57,-,439,0
"Gender Affairs
and Social
Services & youth
empowerment",Social Services,"31,910,008","9,250,000","4,091,263",,12.82,-,439,0
,"Gender Affairs and
Social Services","30,943,116","26,548,712","12,819,859",,41.43,-,439,0
"General
administration,
planning and
support services","Alcohol Drinks
Control and Civic
Education","6,000,000",,"2,711,310",,45.19,-,439,0
Sub Total,,"106,657,124","50,796,732","31,956,805","10,000,000",29.96,19.69,439,0
"WATER, TOURISM, ENVIRONMENT
AND NATURAL RESOURCES",,,,,,,,439,0
"Water Resource
Development.","water resource
conservation and
protection, infra-
structure and flood
control","17,750,648","152,333,801","10,088,377",,56.83,-,439,0
Environment,"environmental sup-
port and manage-
ment","6,730,000","1,000,000","4,302,449",,63.93,-,439,0
,"climate change
resilience","5,245,000","128,000,000","3,806,393",,72.57,-,439,0
,natural resource,"2,135,000",,"509,600",,23.87,-,439,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Develop-
ment Expen-
diture",440,0
"Tourism
development
and promotion","tourism infrastruc-
ture development","22,751,475","207,756,695","8,575,243","45,092,504",37.69,21.70,440,0
"Irrigation
and Drainage
infrastructure","promotion of irri-
gation and drainage
development and
management","1,800,000",,"1,252,000",,69.56,-,440,0
Sub Total,,"56,412,123","489,090,496","28,534,062","45,092,504",50.58,9.22,440,0
"TRANSPORT, ENERGY AND PUBLIC
WORKS",,,,,,,,440,0
Road transport,"Transport (Includ-
ing fuel level, Gener-
al Administration &
Support Services)","40,870,000","408,657,029","20,904,921","52,110,747",51.15,12.75,440,0
,Public Works,"27,219,820","501,789,779","6,917,993","51,894,617",25.42,10.34,440,0
"Alternative energy
technologies","alternative energy
technologies","26,290,000","30,640,000","16,817,852",,63.97,-,440,0
"General
administration,
planning and
support services","Emergency Re-
sponse & Prepared-
ness","5,700,000",,"3,180,000",,55.79,-,440,0
Sub Total,,"100,079,820","941,086,808","47,820,766","104,005,364",47.78,11.05,440,0
"LANDS, HOUSING AND PHYSICAL
PLANNING",,,,,,,,440,0
"Land policy and
planning",Physical Planning,"6,500,000",,"2,356,000",,36.25,-,440,0
,Survey and Mapping,"11,850,000",,"3,653,090",,30.83,-,440,0
,"Land Administra-
tion and Manage-
ment","12,779,780","31,050,000","4,819,892",,37.71,-,440,0
Housing,Housing,"12,367,491","42,024,209","2,606,151","11,960,081",21.07,28.46,440,0
Sub Total,,"43,497,271","73,074,209","13,435,133","11,960,081",30.89,16.37,440,0
"AGRICULTURE, LIVESTOCK AND
FISHERIES",,,,,,,,440,0
"Crop development
and management","land and crop devel-
opment","68,871,011","389,649,095","43,027,186","121,277,406",62.48,31.12,440,0
,"Seed Potato Pro-
duction Unit (SPPU
Lab)","7,788,287","5,026,983","3,723,035","3,214,415",47.80,63.94,440,0
"Livestock resources
management and
development","livestock production
and management","30,575,000","1,700,000","3,271,109",,10.70,-,440,0
,Veterinary Services,"13,945,000",,"3,248,876",,23.30,-,440,0
"Fisheries
Development and
management","fisheries policy,
strategy and capacity
building","2,150,000","500,000","830,230",,38.62,-,440,0
