Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 31st
March 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"P1: General Adminis-
tration, Planning and
Support Services","SP1: General
Administration,
Planning and Sup-
port Services","21,262,438","35,225,300","43,261",-,0.2,-,99,0
"P2: Environment
Management and
Natural Resources
Conservation","SP1: Environment
Management and
Natural Resources
Conservation","6,311,286","10,455,853","12,841",-,0.2,-,99,0
"P3: Water Supply and
Sewerage Services","SP1: Water Supply
and Sewerage
Services","8,872,750","14,699,410","18,053",-,0.2,-,99,0
"P4: Irrigation and
civil works","SP1: Irrigation and
civil works","4,838,782","8,016,369","9,845",-,0.2,-,99,0
Sub Total,,"41,285,256","68,396,932","84,000",-,0.2,-,99,0
HEALTH,,,,,,,,99,0
"P1: Curative Health
Services","SP1.1: Primary
Health Care","1,034,263,054","119,938,922","657,006,326",-,63.5,-,99,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",100,0
"P2: Preventive
and Promotive
Health Services","SP2.1: Health Pro-
motion & Disease
Control","406,484,299","47,138,190","258,215,504",-,63.5,-,100,0
"P3: General
Administration
Planning and
Support Services","SP3.1: General
Administration
services","318,520,887","36,937,462","202,337,536",-,63.5,-,100,0
Sub Total,,"1,759,268,239","204,014,574","1,117,559,365",-,63.5,-,100,0
EMBU LEVEL 5 HOSPITAL,,,,,,,,100,0
"P1: Curative Health
Services","SP1.1: Primary
Health Care","200,261,847","52,090,981","104,242,765",-,52.1,-,100,0
"P2: Preventive
and Promotive
Health Services","SP2.1: Health Pro-
motion & Disease
Control","56,113,598","14,595,952","29,208,942",-,52.1,-,100,0
"P3: General
Administration
Planning and
Support Services","SP3.1: General
Administration
services","41,233,168","10,725,339","21,463,197",-,52.1,-,100,0
Sub Total,,"297,608,613","77,412,272","154,914,904",-,52.1,-,100,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,,,100,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: General
Administration
Services","3,355,682","52,139,567","2,242,892","3,895,118",66.8,7.5,100,0
P2: Roads Transport,"SP2.1: Rural Roads
Improvement and
Maintenance","49,246,860","765,182,635","32,915,918","57,163,436",66.8,7.5,100,0
P3: Street lighting,"SP3.1: Street
lighting","739,992","11,497,770","494,600","858,948",66.8,7.5,100,0
Sub Total,,"53,342,534","828,819,972","35,653,410","61,917,502",66.8,7.5,100,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,100,0
"P1: General Adminis-
tration, Planning and
Support Services","SP1.1: General
Administration
and Support
Services","107,531,585","9,558,071","44,798,738",-,41.7,-,100,0
"P2: Quality Assurance
and Standards","SP2.1: Quality
Assurance Quality
Assurance & Stan-
dards","86,025,268","7,646,457","35,838,990",-,41.7,-,100,0
