Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q3 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,col_6
,"Fisheries Development and
Management",-,-,,,45,0,
,Agricultural Development,"18,844,323","11,987,678","6,856,645",63.6,45,0,
,Agricultural training services,-,-,,,45,0,
,"Crop Production and Manage-
ment","13,491,600","9,780,678","3,710,922",72.5,45,0,
Culture Services,General Administration,"172,887,601","14,750,856","158,136,745",8.5,45,0,
,,,,-,,45,0,
,Sports Development,"600,000","558,000","42,000",93.0,45,0,
"Water Management
Services",Drilling of Pole holes,"196,009,800","56,594,272","139,415,528",28.9,45,0,
,Construction of Dams,"44,955,512","26,617,397","18,338,115",59.2,45,0,
"Environment Adminis-
tration and Planning",,"13,301,809","3,161,404","10,140,405",23.8,45,0,
"Environmental and
Natural resource pro-
tection Management",,"112,636,711","7,298,913","105,337,798",6.5,45,0,
,Grand Total,"9,281,293,316","4,559,123,131","4,722,170,185",49.1,45,0,
