Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st March
2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",514,1
Office of Governor and Deputy Governor,,,,,,,,514,1
"P: County
Government
Advisory Services","SP: Communication
and Strategy","11,530,000",-,"2,565,623",-,22.3,-,514,1
"P: County
Leadership and
Coordination of
MDAs","SP: Coordination
of CMAs (Office of
County Secretary)","6,850,000",-,"3,248,770",-,47.4,-,514,1
,"SP: Public Sector
Advisory Services
(Legal, Political, and
Economic Affairs)","28,100,000",-,"17,569,690",-,62.5,-,514,1
"P: General
Administration,
Planning and
Support Services","SP: Management of
County Affairs (Office
of Governor)","101,469,631",-,"46,880,211",-,46.2,-,514,1
,"SP: Coordination and
Supervisory Services
(Deputy Governor’s
Office)","21,088,000",-,"4,358,814",-,20.7,-,514,1
Sub Total,,"169,037,631",-,"74,623,108",-,44.1,-,514,1
"Roads, Infrastructure and Public Works",,,,,,,,514,1
"P: General
Administration
Planning and
Support Services","SP: General
Administration
Services","90,599,200","170,000,000","53,411,568","22,764,410",59,13.4,514,1
"P: Kathwana
Municipality
Development
Programme","SP: Kathwana Urban
Area Support","7,340,200",-,"4,711,956",-,64.2,-,514,1
"P: Public Works
and Housing
Services","SP: Public Works
Services","21,850,000",-,"2,302,066",-,10.5,-,514,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",515,0
"P: Roads
Transport","SP: Rural Roads
Improvement and
Maintenance Services","76,994,000","367,105,000","16,381,588","133,368,390",21.3,36.3,515,0
"P: Urban
Development and
Administration","SP: Urban
Administrative
Services","24,933,524","25,000,000","14,181,799",-,56.9,-,515,0
Sub Total,,"221,716,924","562,105,000","90,988,977","156,132,800",41,27.8,515,0
Medical Services,,,,,,,,515,0
"P: Curative and
Rehabilitative
Services",SP: Medical Supplies,"222,650,000",-,"89,559,814",-,40.2,-,515,0
,SP: Laboratory Services,"56,000,000",-,,-,-,-,515,0
"P: General
Administration
Planning and
Support Services","SP: General
Administration
Services","125,762,550","129,378,487","14,993,707","32,996,455",11.9,25.5,515,0
,"SP: Human resource
management","1,143,133,775",-,"914,177,648",-,80,-,515,0
Sub Total,,"1,547,546,325","129,378,487","1,018,731,169","32,996,455",65.8,25.5,515,0
Lands and Physical planning,,,,,,,,515,0
"P: Environment
and Natural
Resources
Management","SP: Environment and
Natural Resource","19,927,093","35,000,000","8,919,086","4,311,154",44.8,12.3,515,0
"P: Environment
Management and
Natural Resources
Conservation","SP: Environment and
Natural Resources
Management","22,200,000",-,-,-,-,-,515,0
"P: Land Policy and
Planning","SP: Physical Planning
Services","34,608,000","15,000,000","24,334,498","9,186,048",70.3,61.2,515,0
,"SP: Land
administration &
management","4,588,700",-,"278,580",-,6.1,-,515,0
Sub Total,,"81,323,793","50,000,000","33,532,164","13,497,202",41.2,27,515,0
Agriculture and Crop Production,,,,,,,,515,0
"P: Cooperative
Development and
Management","SP: Cooperative
Development","3,493,683",-,"11,200",-,0.3,-,515,0
"P: Crop
Development and
Management","SP: Crops
Development,
Agribusiness and
Market Development","10,879,445","305,612,912","435,400","169,751,555",4.,55.5,515,0
"P: General
Administration
Planning and
Support Services","SP: Administration,
Policy, Strategy and
Management of
Agriculture","122,469,212","158,948,899","73,520,904","31,754,409",60,20,515,0
Sub Total,,"136,842,340","464,561,811","73,967,504","201,505,964",54.1,43.4,515,0
Public Administration and Devolution Affairs,,,,,,,,515,0
"P: County
Government
Advisory Services","SP: Disaster
Management and
Coordination","1,600,000",-,"305,682",-,19.1,-,515,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",516,0
"P: General
Administration,
Planning and
Support Services","SP: General
Administration and
Support Services","116,294,890",-,"83,557,060",-,71.8,-,516,0
,"SP: Sub-County
Administration and
Field Services","3,775,000",-,"751,600",-,19.9,-,516,0
,"SP: Human Resource
Management Services","3,125,000",-,"244,250",-,7.8,-,516,0
Sub Total,,"124,794,890",-,"84,858,592",-,68,-,516,0
"Education, Gender, Culture and Social Services",,,,,,,,516,0
"P: Education and
Youth Training","SP: Promotion of Basic
Education (ECDE)","40,506,653","30,000,000","1,792,889","3,382,798",4.4,11.3,516,0
,"SP: Youth Training and
Capacity Building","16,213,935","19,659,900","242,100","2,906,110",1.5,14.8,516,0
"P: General
Administration
Planning and
Support Services","SP: Administration
Planning and Support
Services","169,444,800",-,"126,491,564",-,74.7,-,516,0
Sub Total,,"226,165,388","49,659,900","128,526,553","6,288,908",56.8,12.7,516,0
Trade and Industry,,,,,,,,516,0
"P: General
Administration,
Planning and
Support Services","SP: General
Administration and
Support Services","91,601,500",-,"59,155,718",-,64.6,-,516,0
"P: Industrial
Development and
Investment","SP: Industrial
Development","7,600,000",-,-,-,-,-,516,0
,"SP: Consumer
Protection & Fair-
Trade Practices","4,110,000",-,-,-,-,-,516,0
"P: Resource
Mobilisation","SP: Revenue
Administration",,"6,000,000",,-,-,-,516,0
Sub Total,,"103,311,500","6,000,000","59,155,718",-,57.3,-,516,0
Finance and Economic Planning,,,,,,,,516,0
