Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure as of 31st March 2023,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",460,0
4212-Samburu - County Executive,,,,,,,,460,0
101004212,,0,0,0,0,,,460,0
,"Administration,
Planning and Sup-
port Services",0,0,0,0,,,460,0
701004212,,"435,201,603.00","33,929,036.00","305,501,446.00","25,499,999.00",70%,75%,460,0
,"County Executive
Services",0,0,0,0,,,460,0
,"Administration and
Coordination of
County Affairs","218,378,068.00","33,929,036.00","149,501,704.40","25,499,999.00",68%,75%,460,0
,"Sub County Ad-
ministration","171,420,791.00",0,"118,648,695.05",0,69%,,460,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",461,0
,"Coordination,
Supervision and
Human Resource
Services","45,402,744.00",0,"37,351,046.55",0,82%,,461,0
702004212,,0,0,0,0,,,461,0
,"Organisation of
County Business",0,0,0,0,,,461,0
703004212,,"34,480,800.00",0,"4,434,178.20",0,13%,,461,0
,"Economic, Social &
Political Advisory
Service","8,880,000.00",0,"3,316,398.20",0,37%,,461,0
,County Policing,"25,600,800.00",0,"1,117,780.00",0,4%,,461,0
704004212,,"63,026,580.00",0,"42,624,948.80",0,68%,,461,0
,"Administration of
Human Resources
in County Public
Service","63,026,580.00",0,"42,624,948.80",0,68%,,461,0
705004212,,0,0,0,0,,,461,0
,"Administration
Services",0,0,0,0,,,461,0
712004212,,0,0,0,0,,,461,0
,Special Programs,0,0,0,0,,,461,0
,Sub-Total,"532,708,983.00","33,929,036.00","352,560,573.00","25,499,999.00",66%,75%,461,0
4213-Samburu - Finance and Economic Planning,,,,,,,,461,0
705004213,,"491,252,468.00",0,"224,074,623.95",0,46%,,461,0
,"Administration
Services","469,522,398.00",0,"217,090,229.70",0,46%,,461,0
,System Security,"21,730,070.00",0,"6,984,394.25",0,32%,,461,0
706004213,,"209,555,479.00","66,521,681.00","138,700,034.65","10,874,100.00",66%,16%,461,0
,Fiscal Planning,"36,206,088.00","36,521,681.00","21,664,001.15","10,874,100.00",60%,30%,461,0
,"Resource Mobili-
zation","68,350,561.00","30,000,000.00","51,430,592.70",0,75%,0%,461,0
,"Budget Formula-
tion Coordination
and management","13,870,976.00",0,"7,903,200.70",0,57%,,461,0
,"Public finance and
Accounting","40,319,310.00",0,"29,871,860.80",0,74%,,461,0
,Internal Audit,"25,959,518.00",0,"11,308,061.90",0,44%,,461,0
,Procurement,"24,849,026.00",0,"16,522,317.40",0,66%,,461,0
712004213,,"176,586,860.00",0,"166,771,205.90",0,94%,,461,0
,Special Programs,"176,586,860.00",0,"166,771,205.90",0,94%,,461,0
