Programme,"Sub-Pro-
gramme","Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st
March 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"Office of County
Attorney Total",,"71,996,863.00",-,"10,166,333.00",-,14,-,240,0
"Office of the Coun-
ty Secretary",Headquarters,"31,860,289.00",-,"17,171,485.00",--,54,-,240,0
,"Headquarters
Total","31,860,289.00",-,"17,171,485.00",-,54,-,240,0
"Office of the
County Secretary
Total",,"31,860,289.00",-,"17,171,485.00",,54,-,240,0
Procurement,"Procurement
Headquarters","54,899,883.00","30,000,000.00","47,023,144.00",-,86,-,240,0
,"Procurement
Headquarters
Total","54,899,883.00","851,197,781.00","47,023,144.00","11,590,582.00",86,1,240,0
"Procurement
Total",,"54,899,883.00","851,197,781.00","47,023,144.00","11,590,582.00",86,1,240,0
"3711-Kitui - Office
of The Governor
Total",,"1,141,980,946.00","864,350,857.00","570,565,214.00","12,290,582.00",50,1,240,0
3712-Kitui - Administration and Coordination of County Affairs,,,,,,,,240,0
"Coordination And
Administrative
Services","Coordination
And Adminis-
trative Services
Headquarters","34,128,249.00",-,"33,487,711.00",-,98,-,240,0
,,"63,678,697.00",-,"63,213,647.00",-,99,-,240,0
,"Coordination
And Adminis-
trative Services
Headquarters
Total","97,806,946.00",-,"96,701,358.00",-,99,-,240,0
"Coordination And
Administrative
Services Total",,"97,806,946.00",-,"96,701,358.00",-,99,-,240,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",241,0
"Coordination
And Programmes
Tracking","Coordina-
tion And
Programmes
Tracking Head-
quarters","3,137,300.00",-,"2,162,850.00",-,69,-,241,0
,"Coordination
And Pro-
grammes Track-
ing Headquar-
ters Total","3,137,300.00",-,"2,162,850.00",-,69,-,241,0
"Coordination
And Programmes
Tracking Total",,"3,137,300.00",-,"2,162,850.00",-,69,,241,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","37,257,542.00",-,"35,442,070.00",-,95,-,241,0
,"General Admin-
istration And
Planning Head-
quarters Total","37,257,542.00",-,"35,442,070.00",-,95,-,241,0
"General Admin-
istration And
Planning Total",,"37,257,542.00",-,"35,442,070.00",-,95,-,241,0
"3712-Kitui - Administration and
Coordination of County Affairs
Total",,,"138,201,788.00",-,"134,306,278.00",-,97,241,0
"3713-Kitui - Agriculture Water and
Livestock Development",,,,,,,,241,0
Agriculture,"Agriculture
Headquarters","301,950.00","108,043,843.00","46,255.00","114,499,727.00",15,106,241,0
,,"6,641,003.00",-,"6,314,303.00",-,95,,241,0
,,"6,197,464.00","5,500,000.00","3,502,365.00","5,500,000.00",57,100,241,0
,,"4,823,551.00","127,000,000.00","1,003,783.00",-,21,-,241,0
,"Agriculture
Headquarters
Total","17,963,968.00","240,543,843.00","10,866,706.00","119,999,727.00",60,50,241,0
Agriculture Total,,"17,963,968.00","240,543,843.00","10,866,706.00","119,999,727.00",60,50,241,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","76,135,516.00",,"74,853,915.00",-,98,-,241,0
,"General Admin-
istration And
Planning Head-
quarters Total","76,135,516.00",,"74,853,915.00",-,98,-,241,0
"General Admin-
istration And
Planning Total",,"76,135,516.00",,"74,853,915.00",-,98,-,241,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",242,0
Water,"Water Head-
quarters","81,105,259.00",,"75,616,779.00",-,93,-,242,0
,,"8,933,927.00","147,052,719.00","3,648,766.00","17,129,948.00",41,12,242,0
,,"11,552,978.00","74,182,169.00","1,593,688.00","45,337,794.00",14,61,242,0
,"Water Head-
quarters Total","101,592,164.00","221,234,888.00","80,859,233.00","62,467,742.00",80,28,242,0
Water Total,,"101,592,164.00","221,234,888.00","80,859,233.00","62,467,742.00",80,28,242,0
"3713-Kitui - Agriculture Water and
Livestock Development Total",,"195,691,648.00","461,778,731.00","166,579,854.00","182,467,469.00",85,40,242,0
"3714-Kitui - Basic Education, ICT, and Youth Development",,,,,,,,242,0
Basic Education,"Basic Education
Headquarters",-,"107,653,838.00","(80,970.00)","2,006,600.00",,2,242,0
,,"304,013,400.00","107,653,838.00","235,895,172.00","2,006,600.00",78,2,242,0
,"Basic Education
Headquarters
Total","304,013,400.00","107,653,838.00","235,814,202.00","2,006,600.00",78,2,242,0
"Basic Education
Total",,"304,013,400.00","11,362,908.00","235,814,202.00",-,78,-,242,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","234,896,461.00",-,"75,137,332.00",-,32,-,242,0
,"General Admin-
istration And
Planning Head-
quarters Total","234,896,461.00",-,"75,137,332.00",-,32,-,242,0
"General Admin-
istration And
Planning Total",,"234,896,461.00",-,"75,137,332.00",-,32,-,242,0
ICT,"ICT headquar-
ters","1,388,290.00",,"693,042.00",,50,,242,0
,"ICT headquar-
ters Total","1,388,290.00","1,000,000.00","693,042.00",-,50,-,242,0
ICT Total,,"1,388,290.00","12,362,908.00","693,042.00",-,50,-,242,0
"Training And Skills
Development","Training And
Skills Develop-
ment Headquar-
ters","16,319,500.00",-,"10,909,236.00",-,67,-,242,0
,,"8,144,339.00",-,"8,038,339.00",-,99,-,242,0
,"Training And
Skills Develop-
ment Headquar-
ters Total","24,463,839.00",,"18,947,575.00",-,77,-,242,0
"Training And
Skills Develop-
ment Total",,"24,463,839.00","12,362,908.00","18,947,575.00",-,77,-,242,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",243,0
"3714-Kitui - Basic
Education, ICT,
and Youth Devel-
opment Total",,"564,761,990.00","120,016,746.00","330,592,151.00","2,006,600.00",59,2,243,0
"3715-Kitui - Lands, Infrastructure, Housing and Urban Development",,,,,,,,243,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","208,702,307.00",-,"81,428,289.00",-,39,-,243,0
,"General Admin-
istration And
Planning Head-
quarters Total","208,702,307.00","10,118,944.00","81,428,289.00",-,39,-,243,0
"General Admin-
istration And
Planning Total",,"208,702,307.00",,"81,428,289.00",-,39,-,243,0
Housing,"Housing Head-
quarters","2,577,000.00",,"2,233,850.00",-,87,-,243,0
,,"12,062,000.00",,"7,991,517.00",-,66,-,243,0
,"Housing Head-
quarters Total","14,639,000.00","10,118,944.00","10,225,367.00",-,70,-,243,0
Housing Total,,"14,639,000.00","10,118,944.00","10,225,367.00",-,70,-,243,0
"Roads, Transport
And Mechanical
Services","Roads, Trans-
port And Me-
chanical Services
Headquarters","17,012,500.00","630,179,981.00","12,406,197.00","142,152,940.00",73,23,243,0
,,"18,235,426.00","2,000,000.00","12,599,270.00",-,69,-,243,0
,"Roads, Trans-
port And Me-
chanical Services
Headquarters
Total","35,247,926.00","632,179,981.00","25,005,467.00","142,152,940.00",71,22,243,0
"Roads, Transport
And Mechanical
Services Total",,"35,247,926.00","632,179,981.00","25,005,467.00","142,152,940.00",71,22,243,0
"3715-Kitui - Lands, Infrastructure,
Housing and Urban Development
Total",,"258,589,233.00","642,298,925.00","116,659,123.00","142,152,940.00",45,22,243,0
3716-Kitui - Health and Sanitation,,,,,,,,243,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","1,013,651,742.00","100,731,234.00","924,034,742.00",-,91,-,243,0
,,"23,949,437.00","100,731,234.00","22,955,911.00",-,96,-,243,0
,,"2,421,800.00","100,731,234.00","1,043,500.00",-,43,-,243,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",244,0
,"General Admin-
istration And
Planning Head-
quarters Total","1,040,022,979.00",,"948,034,153.00",-,91,-,244,0
"General Admin-
istration And
Planning Total",,"1,040,022,979.00",,"948,034,153.00",-,91,,244,0
"Health Promo-
tion and Disease
Control","Health Pro-
motion and
Disease Control
headquarters","2,092,132.00",,"250,200.00",-,12,-,244,0
,"Health Promo-
tion and Disease
Control Head-
quarters Total","2,092,132.00",,"250,200.00",-,12,-,244,0
"Health Promotion
and Disease Con-
trol Total",,"2,092,132.00",,"250,200.00",-,12,-,244,0
Medical Services,"Medical Services
Headquarters","1,251,798,511.00",,"1,062,947,801.00",-,85,-,244,0
,,"8,300,000.00",,"5,259,976.00",-,63,-,244,0
,,"628,958,332.00",,"513,138,842.00",-,82,-,244,0
,,"66,611.00",,"66,611.00",-,100,-,244,0
,"Medical Services
Headquarters
Total","1,889,123,454.00",,"1,581,413,230.00",-,84,-,244,0
"Medical Services
Total",,"1,889,123,454.00",,"1,581,413,230.00",-,84,-,244,0
Public Health,"Public Health
Headquarters","3,920,591.00",,"2,230,948.00",-,57,-,244,0
,,"1,640,000.00",,"797,200.00",-,49,-,244,0
,,"2,455,000.00",,"1,417,500.00",-,58,-,244,0
,"Public Health
Headquarters
Total","8,015,591.00",,"4,445,648.00",-,55,-,244,0
"Public Health
Total",,"8,015,591.00",,"4,445,648.00",-,55,-,244,0
"Rural Health
Services","Rural Health
Services","395,000,000.00",,"316,847,333.00",-,80,-,244,0
,,"59,596,134.00",,"38,565,572.00",-,65,-,244,0
,,"61,542,793.00","63,066,085.00","6,488,781.00","37,544,327.00",11,60,244,0
,"Rural Health
Services Total","516,138,927.00","63,066,085.00","361,901,686.00","37,544,327.00",70,60,244,0
"Rural Health
Services Total",,"516,138,927.00","63,066,085.00","361,901,686.00","37,544,327.00",70,60,244,0
"3716-Kitui -
Health and Sanita-
tion Total",,"3,455,393,083.00","163,797,319.00","2,896,044,917.00","37,544,327.00",84,23,244,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",245,0
"3717-Kitui - Trade, Cooperatives and Investments",,,,,,,,245,0
cooperatives,"cooperatives
Headquarters","27,983,167.00","63,381,764.00","25,486,633.00","1,643,683.00",91,3,245,0
,,"10,172,421.00","63,381,764.00","4,577,150.00","1,643,683.00",45,3,245,0
,"cooperatives
Headquarters
Total","38,155,588.00",-,"30,063,783.00",-,79,-,245,0
cooperatives Total,,"38,155,588.00",-,"30,063,783.00",-,79,-,245,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","119,163,369.00",-,"75,959,637.00",-,64,-,245,0
,"General Admin-
istration And
Planning Head-
quarters Total","119,163,369.00",-,"75,959,637.00",-,64,-,245,0
"General Admin-
istration And
Planning Total",,"119,163,369.00",-,"75,959,637.00",-,64,-,245,0
Trade And Markets,"Trade And Mar-
kets Headquar-
ters","17,506,632.00",-,"7,531,793.00",-,43,-,245,0
,,"3,440,172.00",-,"(276,149.00)",-,-8,-,245,0
,"Trade And Mar-
kets Headquar-
ters Total","20,946,804.00",-,"7,255,644.00",-,35,-,245,0
"Trade And Mar-
kets Total",,"20,946,804.00","63,381,764.00","7,255,644.00","1,643,683.00",35,3,245,0
"3717-Kitui -
Trade, Coopera-
tives and Invest-
ments Total",,"178,265,761.00","63,381,764.00","113,279,064.00","1,643,683.00",64,3,245,0
3719-Kitui - Environment and Natural Resources,,,,,,,,245,0
Energy,"Energy Head-
quarters","1,268,501.00","3,000,000.00","548,352.00","3,000,000.00",43,100,245,0
,,"4,018,724.00","37,015,151.00","2,364,472.00","4,256,878.00",59,12,245,0
,"Energy Head-
quarters Total","5,287,225.00","40,015,151.00","2,912,824.00","7,256,878.00",55,18,245,0
Energy Total,,"5,287,225.00","40,015,151.00","2,912,824.00","7,256,878.00",55,18,245,0
Environment,"Environment
Headquarters","10,459,400.00","133,000,000.00","5,650,531.00","2,483,920.00",54,2,245,0
,,"3,212,904.00",-,"940,416.00",-,29,,245,0
,,"1,066,513.00","540,440.00","988,427.00","440,400.00",93,81,245,0
,"Environment
Headquarters
Total","14,738,817.00",-,"7,579,374.00",-,51,-,245,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",246,0
"Environment
Total",,"14,738,817.00","133,540,440.00","7,579,374.00","2,924,320.00",51,2,246,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","89,980,929.00","133,540,440.00","55,673,218.00","2,924,320.00",62,2,246,0
,"General Admin-
istration And
Planning Head-
quarters Total","89,980,929.00",-,"55,673,218.00",-,62,,246,0
"General Admin-
istration And
Planning Total",,"89,980,929.00","500,000.00","55,673,218.00",-,62,-,246,0
Mineral Resources,"Mineral
Resources Head-
quarters","1,101,267.00","500,000.00","540,400.00",-,49,-,246,0
,,"4,241,366.00","500,000.00","3,037,379.00",-,72,-,246,0
,,"3,001,553.00",-,"759,451.00",-,25,-,246,0
,,"2,009,772.00",-,"414,523.00",-,21,-,246,0
,,"3,494,507.00",-,"369,716.00",-,11,-,246,0
,"Mineral
Resources Head-
quarters Total","13,848,465.00",-,"5,121,469.00",-,37,-,246,0
"Mineral Resources
Total",,"13,848,465.00",-,"5,121,469.00",-,37,-,246,0
Tourism,Headquarters,"427,088.00",-,"427,087.00",-,100,-,246,0
,,"1,272,037.00",-,"1,271,820.00",-,100,-,246,0
,,"6,377,623.00",-,"6,377,406.00",-,100,-,246,0
,"Headquarters
Total","8,076,748.00",-,"8,076,313.00",-,100,-,246,0
Tourism Total,,"8,076,748.00",-,"8,076,313.00",-,100,,246,0
"3719-Kitui -
Environment and
Natural Resources
Total",,"131,932,184.00","174,055,591.00","79,363,198.00","10,181,198.00",60,6,246,0
"3720-Kitui - Tourism, Sports and Culture",,,,,,,,246,0
"Gender, Culture
and Social Services","Gender, Culture
and Social Ser-
vices Headquar-
ters","5,279,097.00","28,508,786.00","854,604.00",-,16,-,246,0
,,"11,059,780.00","3,800,000.00","4,233,823.00",-,38,-,246,0
,,"3,138,461.00","23,000,000.00","1,172,729.00",-,37,-,246,0
,,"2,360,000.00","55,308,786.00","843,600.00",-,36,-,246,0
,"Gender, Culture
and Social Ser-
vices Headquar-
ters Total","21,837,338.00","55,308,786.00","7,104,756.00",-,33,-,246,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",247,0
"Gender, Culture
and Social Ser-
vices Total",,"21,837,338.00","4,500,000.00","7,104,756.00",-,33,-,247,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","55,892,570.00","4,500,000.00","21,747,652.00",-,39,-,247,0
,"General Admin-
istration And
Planning Head-
quarters Total","55,892,570.00","4,500,000.00","21,747,652.00",-,39,-,247,0
"General Admin-
istration And
Planning Total",,"55,892,570.00",-,"21,747,652.00",-,39,-,247,0
Internet,Headquarters,"7,995,000.00",-,"1,659,400.00",-,21,-,247,0
,,"10,990,528.00",-,"1,809,300.00",-,16,,247,0
,"Headquarters
Total","18,985,528.00",-,"3,468,700.00",-,18,-,247,0
internet Total,,"18,985,528.00",-,"3,468,700.00",-,18,-,247,0
sports,"sports headquar-
ters","8,460,000.00",-,"2,854,915.00",,34,-,247,0
,,"3,577,231.00","49,190,386.00","1,664,381.00",-,47,-,247,0
,"sports headquar-
ters Total","12,037,231.00","49,190,386.00","4,519,296.00",-,38,-,247,0
sports Total,,"12,037,231.00","49,190,386.00","4,519,296.00",-,38,-,247,0
"3720-Kitui - Tour-
ism, Sports and
Culture Total",,"108,752,667.00","108,999,172.00","36,840,404.00",-,34,-,247,0
3721-Kitui - County Treasury,,,,,,,,247,0
Accounts,"Accounts Head-
quarters","6,210,000.00","144,622,885.00","4,432,910.00","21,700.00",71,0.02,247,0
,,"19,665,891.00","144,622,885.00","12,717,869.00","21,700.00",65,0.02,247,0
,"Accounts Head-
quarters Total","25,875,891.00","144,622,885.00","17,150,779.00","21,700.00",66,0.02,247,0
Accounts Total,,"25,875,891.00",-,"17,150,779.00",-,66,-,247,0
Budgetary Supplies,"Budgetary Sup-
plies Headquar-
ters","54,713,395.00",-,"44,207,752.00",,81,--,247,0
,"Budgetary Sup-
plies Headquar-
ters Total","54,713,395.00",-,"44,207,752.00",-,81,-,247,0
"Budgetary Sup-
plies Total",,"54,713,395.00",-,"44,207,752.00",-,81,-,247,0
Economic Affairs,"Economic
Affairs Head-
quarters","39,182,667.00",-,"24,516,787.00",-,63,-,247,0
,,"8,925,000.00",-,"7,811,676.00",-,88,,247,0
,,"13,516,551.00",-,"9,670,449.00",-,72,-,247,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",248,0
,"Economic Af-
fairs Headquar-
ters Total","61,624,218.00",-,"41,998,912.00",-,68,-,248,0
"Economic Affairs
Total",,"61,624,218.00",-,"41,998,912.00",-,68,-,248,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","283,640,651.00",-,"213,911,416.00",-,75,-,248,0
,"General Admin-
istration And
Planning Head-
quarters Total","283,640,651.00",-,"213,911,416.00",-,75,--,248,0
"General Admin-
istration And
Planning Total",,"283,640,651.00",-,"213,911,416.00",-,75,-,248,0
Internal Audit,"Internal Audit
Headquarters","11,516,551.00",-,"8,430,247.00",-,73,-,248,0
,"Internal Audit
Headquarters
Total","11,516,551.00",-,"8,430,247.00",-,73,-,248,0
"Internal Audit
Total",,"11,516,551.00",,"8,430,247.00",-,73,-,248,0
"3721-Kitui -
County Treasury
Total",,"437,370,706.00","144,622,885.00","325,699,106.00","21,700.00",74,-,248,0
"3722-Kitui - County Public Service
Board",,,,,,,,248,0
Board,"Board headquar-
ters","10,885,000.00",-,"5,613,667.00",-,52,-,248,0
,,"8,746,200.00",-,"3,490,512.00",-,40,-,248,0
,,"5,960,000.00",-,"2,971,943.00",-,50,-,248,0
,"Board headquar-
ters Total","25,591,200.00",-,"12,076,122.00",-,47,-,248,0
board Total,,"25,591,200.00",,"12,076,122.00",-,47,-,248,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","58,687,183.00",-,"24,300,172.00",-,41,-,248,0
,"General Admin-
istration And
Planning Head-
quarters Total","58,687,183.00",-,"24,300,172.00",-,41,-,248,0
"General Admin-
istration And
Planning Total",,"58,687,183.00",-,"24,300,172.00",-,41,-,248,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",249,0
"3722-Kitui -
County Public
Service Board
Total",,"84,278,383.00",-,"36,376,294.00",-,43,-,249,0
3723-Kitui - County Assembly,,,,,,,,249,0
"General Admin-
istration And
Planning","General Ad-
ministration
And Planning
Headquarters","303,402,199.00",-,"199,859,832.00",-,66,,249,0
,"General Admin-
istration And
Planning Head-
quarters Total","303,402,199.00",--,"199,859,832.00",-,66,--,249,0
"General Admin-
istration And
Planning Total",,"303,402,199.00",-,"199,859,832.00",,66,-,249,0
"Legislative Depart-
ment","Legislative
Department
Headquarters","997,416,867.00","229,058,553.00","396,201,553.00",-,40,-,249,0
,"Legislative
Department
Headquarters
Total","997,416,867.00","229,058,553.00","396,201,553.00",-,40,-,249,0
"Legislative De-
partment Total",,"997,416,867.00","229,058,553.00","396,201,553.00",-,40,-,249,0
"3723-Kitui -
County Assembly
Total",,"1,300,819,066.00","229,058,553.00","596,061,385.00",-,46,-,249,0
3724-Kitui - Kitui Municipality,,,,,,,,249,0
"Environment,
Culture, Recreation
and Community
Development","Environment,
Culture, Rec-
reation and
Community
Development -
Headquarters","25,270,065.00",--,"13,967,629.00",-,55,-,249,0
,"Environment,
Culture, Rec-
reation and
Community
Development
- Headquarters
Total","25,270,065.00",-,"13,967,629.00",-,55,-,249,0
"Environment,
Culture, Recre-
ation and Com-
munity Develop-
ment Total",,"25,270,065.00",-,"13,967,629.00",-,55,-,249,0
Finance,"Finance head-
quarters","18,577,938.00",-,"9,588,601.00",-,52,,249,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",250,0
,"Finance head-
quarters Total","18,577,938.00",,"9,588,601.00",-,52,-,250,0
Finance Total,,"18,577,938.00",-,"9,588,601.00",,52,,250,0
"General Admin-
istration And
Planning","General Admin-
istration And
Planning- Head-
quarters","63,391,081.00",-,"26,524,909.00",-,42,-,250,0
,"General Admin-
istration And
Planning- Head-
quarters Total","63,391,081.00",-,"26,524,909.00",,42,--,250,0
"General Admin-
istration And
Planning Total",,"63,391,081.00",,"26,524,909.00",--,42,,250,0
"Planning, Devel-
opment Control,
Transport and
Infrastructure","Planning, Devel-
opment Control,
Transport and
Infrastructure -
Headquarters","11,900,000.00","17,000,000.00","4,230,719.00",-,36,-,250,0
,"Planning, Devel-
opment Control,
Transport and
Infrastructure
- Headquarters
Total","11,900,000.00","54,505,184.00","4,230,719.00",-,36,-,250,0
"Planning, Devel-
opment Control,
Transport and
Infrastructure
Total",,"11,900,000.00","54,505,184.00","4,230,719.00",-,36,-,250,0
"Trade, Commerce
and Industrialisa-
tion","Trade, Com-
merce and
Industrialisation
headquarters","6,550,000.00","54,505,184.00","2,164,447.00",-,33,-,250,0
,"Trade, Com-
merce and
Industrialisation
headquarters
Total","6,550,000.00","93,502,708.00","2,164,447.00",-,33,-,250,0
"Trade, Commerce
and Industrialisa-
tion Total",,"6,550,000.00","93,502,708.00","2,164,447.00",-,33,-,250,0
"3724-Kitui - Kitui
Municipality Total",,"125,689,084.00","165,007,892.00","56,476,305.00",-,45,-,250,0
3725-Kitui - Mwingi Town Administration,,,,,,,,250,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",251,0
"Environment,
Culture, Recreation
and Community
Development","Environment,
Culture, Rec-
reation and
Community
Development -
Headquarters","940,000.00","1,862,926.00","324,020.00","1,149,654.00",34,62,251,0
,"Environment,
Culture, Rec-
reation and
Community
Development
- Headquarters
Total","940,000.00","1,862,926.00","324,020.00","1,149,654.00",34,62,251,0
"Environment,
Culture, Recre-
ation and Com-
munity Develop-
ment Total",,"940,000.00","1,862,926.00","324,020.00","1,149,654.00",34,62,251,0
"General Admin-
istration And
Planning","General Admin-
istration And
Planning- Head-
quarters","2,490,465.00","6,600,000.00","1,559,806.00",-,63,-,251,0
,,"63,132,462.00",-,"34,900,247.00",-,55,-,251,0
,,"793,546.00","4,691,017.00","643,201.00",-,81,-,251,0
,"General Admin-
istration And
Planning- Head-
quarters Total","66,416,473.00","7,256,000.00","37,103,254.00","1,142,435.00",56,16,251,0
"General Admin-
istration And
Planning Total",,"66,416,473.00","18,547,017.00","37,103,254.00","1,142,435.00",56,6,251,0
"Planning, Devel-
opment Control,
Transport and
Infrastructure","Planning, Devel-
opment Control,
Transport and
Infrastructure -
Headquarters","3,193,267.00","18,547,017.00","879,200.00","1,142,435.00",28,6,251,0
,,"881,697.00",,"300,000.00",,34,,251,0
,,"195,100.00","22,221,391.00","90,800.00","1,996,580.00",47,9,251,0
,"Planning, Devel-
opment Control,
Transport and
Infrastructure
- Headquarters
Total","4,270,064.00","22,221,391.00","1,270,000.00","1,996,580.00",30,9,251,0
,,"Recurrent
budget","Development
budget","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",252,0
,"3725-Kitui -
Mwingi Town
Administration
Total","71,626,537.00","42,631,334.00","38,697,274.00","4,288,669.00",54,10,252,0
3726-Ministry of Livestock Apiculture and Fisheries,,,,,,,,252,0
Agriculture,Headquarters,"5,705,446.00","355,809,872.00","1,263,550.00","187,853,704.00",22,53,252,0
,,"14,205,454.00","20,000,000.00","648,407.00","3,322,952.00",5,17,252,0
,,"26,180,001.00","61,507,673.00","4,648,639.00","11,636,683.00",18,19,252,0
,"Headquarters
Total","46,090,901.00","437,317,545.00","6,560,596.00","202,813,339.00",14,46,252,0
Agriculture Total,,"46,090,901.00","437,317,545.00","6,560,596.00","202,813,339.00",14,46,252,0
Aquaculture Devt,Headquarters,"1,784,771.00","1,000,000.00","461,628.00",-,26,-,252,0
,"Headquarters
Total","1,784,771.00","1,000,000.00","461,628.00",-,26,-,252,0
"Aquaculture Devt
Total",,"1,784,771.00","1,000,000.00","461,628.00",-,26,-,252,0
"General Adminis-
tration",Headquarters,"282,490,085.00","9,598,750.00","72,736,255.00","199,800.00",26,2,252,0
,"Headquarters
Total","282,490,085.00","10,698,650.00","72,736,255.00",-,26,-,252,0
"General Adminis-
tration Total",,"282,490,085.00",-,"72,736,255.00",-,26,-,252,0
Livestock Devt,Headquarters,"4,789,654.00",-,"1,298,659.00",-,27,-,252,0
,,"5,203,130.00",-,"842,405.00",-,16,-,252,0
,"Headquarters
Total","9,992,784.00","20,297,400.00","2,141,064.00","199,800.00",21,1,252,0
"Livestock Devt
Total",,"9,992,784.00","20,297,400.00","2,141,064.00","199,800.00",21,1,252,0
"3726-Ministry of
Livestock Apicul-
ture and Fisheries
Total",,"340,358,541.00","458,614,945.00","81,899,543.00","203,013,139.00",24,44,252,0
"3727-Kitui Ministry of Lands and
Physical Planning",,,,,,,,252,0
"General Adminis-
tration",Headquarters,"73,077,579.00","3,683,111.00","31,435,315.00",-,43,-,252,0
,"Headquarters
Total","73,077,579.00","3,683,111.00","31,435,315.00",-,43,-,252,0
"General Adminis-
tration Total",,"73,077,579.00","3,683,111.00","31,435,315.00",-,43,-,252,0
