Programme,Sub-Programme,"FY 2022/23 Supple-
mentary 1 Budget
Estimates","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"Agricultural Training
Centre (ATC) & AMS","Agricultural Training
Centre (ATC)","21,600,000","21,229,347","370,653",1.0,341,0
Total,,"800,842,229","269,548,967","531,293,263",33.7,341,0
,,"348,657,725.00",,,,341,0
"Department: Water &
Irrigation",,,,-,,341,0
General Administration,"Administration Ser-
vices","369,071,166","15,152,484","353,918,682",4.1,341,0
,,A1,B,C=A-B,D=B/A*100,342,0
,,"66,827,375.00",,,,342,0
"Department: Education, Technology, Gender &
Social Development",,,,,,342,0
General Administration,"General Administra-
tion","23,387,420","11,404,100","11,983,320",48.8,342,0
"Early Childhood
Development
Education(ECDE)","Early Childhood De-
velopment Education(-
ECDE)","214,421,292","4,170,200","210,251,092",1.9,342,0
"'Technical and
Vocation Education","'Technical and Voca-
tion Education","69,819,775","2,962,430","66,857,345",4.2,342,0
Youth Services,"'Gender Mainstream-
ing and Social Services","70,769,600","14,593,600","56,176,000",20.6,342,0
Total,,"378,398,087","33,130,330","345,267,757",8.8,342,0
"Department: Health
Services",,,,,,342,0
General Administration,"General
Administration",,-,-,-,342,0
Curative Health,Curative Health,"782,489,137","116,074,949","666,414,188",14.8,342,0
"Preventive and
Promotive Health","Preventive and Promo-
tive Health","147,886,442","26,300,651","121,585,791",17.8,342,0
Total,,"930,375,579","142,375,600","787,999,979",15.3,342,0
"Department: Lands, Physical Planning, Urban
Development & Public Works",,,,,,342,0
General Administration,"General Administra-
tion","19,500,000",-,"19,500,000",-,342,0
Lands & Public Works,Lands & Public Works,"93,273,371","4,725,460","88,547,911",5.1,342,0
"Physical Planning, House
& Urban Development","Physical Planning,
House & Urban Devel-
opment","302,782,805","30,427,162","272,355,643",10.1,342,0
Meru Municipality,Meru Municipality,"25,968,001","6,241,637","19,726,364",24.0,342,0
Total,,"441,524,177","41,394,259","400,129,918",9.4,342,0
"Department: Public Service Administration &
Legal Affairs",,,,,,342,0
General Administration,"General Administra-
tion","399,458,286","7,986,452","391,471,835",2.0,342,0
"Coordination of
County Government
Functions Sub County","Coordination of
County Government
Functions Sub County","22,981,000","14,316,951","8,664,049",62.3,342,0
"County Office
Accommodation and
Enforcement Services","County Office Ac-
commodation and
Enforcement Services","87,550,969","37,179,966","50,371,003",42.5,342,0
Human Resource,Human Resource,"5,285,292,700","3,853,391,538","1,431,901,162",72.9,342,0
"Office of the County
Attorney","Office of the County
Attorney","69,846,120","26,278,788","43,567,332",37.6,342,0
"Towns Management
& Administration","Towns Management &
Administration","2,500,000","100,000","2,400,000",4.0,342,0
Total,,"5,867,629,075","3,939,253,694","1,928,375,381",67.1,342,0
"Department: 'Roads, Transport & Energy",,,,,,342,0
"General Administra-
tion-Roads","General Administra-
tion-Roads","708,901,976","47,139,620","661,762,356",6.7,342,0
