Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,-,"7,500,000.00","-7,500,000.00",-,417,1
-,"Default - Non
Programmatic",-,"7,500,000.00","-7,500,000.00",-,417,1
,,"928,269,027.00","303,270,272.26","624,998,754.74",33,417,1
"Agriculture, Livestock
and Fisheries","Crop Productivity
Improvement","928,269,027.00","303,270,272.26","624,998,754.74",33,417,1
,,"133,222,448.00","1,823,520.00","131,398,928.00",1,417,1
"Agriculture, Livestock
and Fisheries","Livestock Pests &
Disease Manage-
ment & Control","61,891,447.00",-,"61,891,447.00",-,417,1
"Agriculture, Livestock and Fish-
eries","Livestock Informa-
tion Management","71,331,001.00","1,823,520.00","69,507,481.00",3,417,1
,,"29,682,503.00",-,"29,682,503.00",-,417,1
"Agriculture, Livestock and Fish-
eries","Fish Products
Production","29,682,503.00",-,"29,682,503.00",-,418,0
,,"109,227,117.00","2,390,850.00","106,836,267.00",2,418,0
"Lands, Housing, Physical
Planning & Urban Development","Development
Planning and Land
Reforms","109,227,117.00","2,390,850.00","106,836,267.00",2,418,0
,,"225,720,809.00","1,691,215.00","224,029,594.00",1,418,0
"Lands, Housing, Physical
Planning & Urban Development","Housing Develop-
ment","225,720,809.00","1,691,215.00","224,029,594.00",1,418,0
,,"258,368,217.00","84,117,373.00","174,250,844.00",33,418,0
"Lands, Housing, Physical
Planning & Urban Development","Metropolitan Plan-
ning & Infrastruc-
ture Development","253,495,217.00","84,117,373.00","169,377,844.00",33,418,0
"Lands, Housing, Physical
Planning & Urban Development","SP2 Urban Plan-
ning, Investment
and Research","4,873,000.00",-,"4,873,000.00",-,418,0
,,"2,511,445,045.00","1,143,654,836.20","1,367,790,208.80",46,418,0
"Administration and Public
Service Management","General Adminis-
tration, Planning
and Support
Services","79,320,509.00","731,371,549.20","-652,051,040.20",922,418,0
"Transport, Public works
and infrastructure","Construction of
Roads and Bridges","2,331,737,763.00","385,575,688.00","1,946,162,075.00",17,418,0
"Transport, Public works
and infrastructure","Maintenance of
Roads","100,386,773.00","26,707,599.00","73,679,174.00",27,418,0
,,"229,107,511.00","5,484,118.00","223,623,393.00",2,418,0
"Treasury, Economic
Planning and ICT","ICT Infrastructure
Development","229,107,511.00","5,484,118.00","223,623,393.00",2,418,0
,,"265,160,000.00","161,240.00","264,998,760.00",-,418,0
"Administration and Public Ser-
vice Management","Administrative
Services","7,189,648.00",-,"7,189,648.00",-,418,0
Trade and Industrialisation,"Cooperative
Development &
Management","38,486,530.00",-,"38,486,530.00",-,418,0
Trade and Industrialisation,"Trade Develop-
ment and Promo-
tion","219,483,822.00","161,240.00","219,322,582.00",-,418,0
,,"868,163,514.00","30,810,816.00","837,352,698.00",4,418,0
Tourism and Wildlife,"Tourism Promo-
tion and Marketing","754,655,356.00","30,810,816.00","723,844,540.00",4,418,0
Tourism and Wildlife,"Tourism Infra-
structure Develop-
ment","113,508,158.00",-,"113,508,158.00",-,418,0
,,"1,300,937,004.00","606,307,602.30","694,629,401.70",47,418,0
Health and Sanitation,Health Promotion,"1,300,937,004.00","606,307,602.30","694,629,401.70",47,418,0
,,"432,151,700.00","195,777,667.00","236,374,033.00",45,418,0
Health and Sanitation,Referral Services,"432,151,700.00","195,777,667.00","236,374,033.00",45,418,0
,,"2,473,145,566.00","1,947,889,835.60","525,255,730.40",79,418,0
Health and Sanitation,"Health Policy,
Planning and
Financing","2,473,145,566.00","1,947,889,835.60","525,255,730.40",79,419,0
,,"1,676,753,748.00","1,484,068,870.50","192,684,877.50",89,419,0
"Education Youth Affairs, Sports
Culture and Social Services","Early Child
Development and
Education","1,676,753,748.00","1,484,068,870.50","192,684,877.50",89,419,0
,,"1,184,111,226.00","209,049,536.50","975,061,689.50",18,419,0
"Administration and Public
Service Management","Administrative
Services","229,914,781.00","19,955,012.00","209,959,769.00",9,419,0
"Administration and Public
Service Management","Coordination and
Administrative
Services","430,876,185.00","112,515,679.50","318,360,505.50",26,419,0
"Administration and Public
Service Management","Public Service and
Field Administra-
tive Services","427,740,260.00","52,494,085.00","375,246,175.00",12,419,0
Public Service Board,"Board Manage-
ment Services","95,580,000.00","24,084,760.00","71,495,240.00",25,419,0
,,"606,852,052.00","343,572,585.00","263,279,467.00",57,419,0
"Treasury, Economic
Planning and ICT","Accounting ser-
vices","62,676,419.00","11,008,522.00","51,667,897.00",18,419,0
"Treasury, Economic
Planning and ICT","Resource Mobili-
sation","311,027,722.00","273,278,397.00","37,749,325.00",88,419,0
"Treasury, Economic
Planning and ICT","Budget Formula-
tion, Coordination
and Management","41,860,423.00","5,009,030.00","36,851,393.00",12,419,0
"Treasury, Economic
Planning and ICT","Supply Chain
Management
Services","117,927,102.00","42,802,804.00","75,124,298.00",36,419,0
"Treasury, Economic
Planning and ICT","Internal Audit
Services","73,360,386.00","11,473,832.00","61,886,554.00",16,419,0
,,"645,884,947.00","293,491,305.00","352,393,642.00",45,419,0
"Treasury, Economic
Planning and ICT","Economic Plan-
ning Coordination","607,275,128.00","282,298,850.00","324,976,278.00",46,419,0
"Treasury, Economic
Planning and ICT","Monitoring and
Evaluation Services","38,609,819.00","11,192,455.00","27,417,364.00",29,419,0
,,"355,230,000.00",-,"355,230,000.00",-,419,0
"Treasury, Economic Planning and
ICT","County Co-ordina-
tion Services","355,230,000.00",-,"355,230,000.00",-,419,0
,,"444,139,196.00","108,070,751.00","336,068,445.00",24,419,0
"Education Youth Affairs, Sports
Culture and Social service","Gender and Youth
Development","47,954,358.00","1,339,400.00","46,614,958.00",3,419,0
"Education Youth Affairs, Sports
Culture and Social service","Social Assistance
to Vulnerable
Groups","21,803,130.00",-,"21,803,130.00",-,419,0
"Education Youth Affairs, Sports
Culture and Social service","Development
and Promotion of
Culture","19,852,699.00","990,400.00","18,862,299.00",5,419,0
"Education Youth Affairs, Sports
Culture and Social service","Development and
Management of
sports facilities","202,812,944.00","102,000,000.00","100,812,944.00",50,419,0
